mode	K	L	M	C	n_xi	div_count	resid	n_pos	n_real	max_ratio	argmax_xi	mean_ratio	max_alpha	mean_alpha	n_zeroS	orbit_dev	top5_xi
sampled	20	10	989527	184756	101000	-	-	-	-	0.128149	549737	0.00141951	0.830577	0.428980	0	0.03	549737:0.1281,891796:0.1213,285049:0.06714,842931:0.06153,134381:0.05351
sampled	20	11	871429	167960	101000	-	-	-	-	0.116947	505644	0.00149621	0.821632	0.427729	0	0.026	505644:0.1169,792534:0.06287,780655:0.05425,90774:0.05425,867843:0.05337
sampled	20	12	517135	125970	101000	-	-	-	-	0.100751	217069	0.00176289	0.804569	0.427054	0	0.02	217069:0.1008,343410:0.05817,343410:0.05817,343410:0.05817,173725:0.05817
sampled	21	11	1920005	352716	101000	-	-	-	-	0.110002	213334	0.00100539	0.827200	0.429511	0	0.0109	213334:0.11,892842:0.0441,1027163:0.0441,1600004:0.04156,969221:0.04019
sampled	21	12	1565711	293930	101000	-	-	-	-	0.0786221	173968	0.00111896	0.798024	0.429302	0	0.0263	173968:0.07862,1500473:0.05549,1559595:0.05027,1375277:0.04147,1340436:0.03865
sampled	21	13	502829	203490	101000	-	-	-	-	0.085034	302801	0.00137316	0.798361	0.428003	0	0.0152	302801:0.08503,79149:0.08125,316596:0.05867,186233:0.05867,469491:0.04836
sampled	22	11	4017157	705432	101000	-	-	-	-	0.117778	1785403	0.000701419	0.841165	0.431883	0	0.00806	1785403:0.1178,1140675:0.04783,1983781:0.03951,3012868:0.03656,3692855:0.03218
sampled	22	12	3662863	646646	101000	-	-	-	-	0.125995	90441	0.000741944	0.845173	0.431304	0	0.00688	90441:0.126,1967093:0.04091,748651:0.03643,1040072:0.03497,2075120:0.03283
sampled	22	13	2599981	497420	101000	-	-	-	-	0.0816278	812494	0.000858011	0.808985	0.430294	0	0.00559	812494:0.08163,2054306:0.07037,1503114:0.05553,1917590:0.04968,2193734:0.04678
