p,sg,sg_over_pm1,k,m,linf,linf_ratio,l2,c_linf,c_l2
251,250,1.0000,10,5,2.380952e-02,5.9762,3.637503e-03,0.6764,0.0165
251,250,1.0000,12,6,9.740260e-03,2.4448,8.602982e-04,0.8382,0.2774
251,250,1.0000,14,7,6.993007e-03,1.7552,2.425760e-04,0.8982,0.5065
251,250,1.0000,16,8,5.594406e-03,1.4042,7.363113e-05,0.9386,0.7223
251,250,1.0000,18,9,4.833402e-03,1.2132,1.818948e-05,0.9650,0.9753
251,250,1.0000,20,10,4.432874e-03,1.1127,4.441816e-06,0.9807,1.2305
251,250,1.0000,22,11,4.146395e-03,1.0407,1.017142e-06,0.9928,1.4973
251,250,1.0000,24,12,4.061896e-03,1.0195,1.952176e-07,0.9965,1.7960
251,250,1.0000,26,13,4.027460e-03,1.0109,4.750307e-08,0.9980,2.0518
251,250,1.0000,28,14,4.004427e-03,1.0051,9.613301e-09,0.9991,2.3409
251,250,1.0000,30,15,3.991361e-03,1.0018,1.876410e-09,0.9997,2.6366
251,250,1.0000,32,16,3.987537e-03,1.0009,4.490819e-10,0.9998,2.8954
251,250,1.0000,34,17,3.986167e-03,1.0005,1.047140e-10,0.9999,3.1589
251,250,1.0000,36,18,3.984782e-03,1.0002,2.318132e-11,1.0000,3.4318
251,250,1.0000,38,19,3.984567e-03,1.0001,4.226683e-12,1.0000,3.7398
251,250,1.0000,40,20,3.984298e-03,1.0001,9.703679e-13,1.0000,4.0061
251,250,1.0000,42,21,3.984158e-03,1.0000,2.525185e-13,1.0000,4.2498
251,250,1.0000,44,22,3.984119e-03,1.0000,6.756661e-14,1.0000,4.4884
251,250,1.0000,46,23,3.984086e-03,1.0000,1.305553e-14,1.0000,4.7859
251,250,1.0000,48,24,3.984074e-03,1.0000,2.918672e-15,1.0000,5.0570
251,250,1.0000,50,25,3.984070e-03,1.0000,7.129713e-16,1.0000,5.3121
7,6,1.0000,8,4,1.571429e-01,1.1000,1.224490e-03,0.9510,2.4458
7,6,1.0000,10,5,1.706349e-01,1.1944,9.133283e-04,0.9087,2.5965
7,6,1.0000,12,6,1.450216e-01,1.0152,8.433125e-05,0.9923,3.8208
7,6,1.0000,14,7,1.468531e-01,1.0280,2.270457e-05,0.9858,4.4951
7,6,1.0000,16,8,1.437451e-01,1.0062,2.533942e-06,0.9968,5.6220
