p,k,m,logp,k_over_logp,ord2,ord3,sg,sg_over_pm1,Ckm,linf,linf_ratio,collision,coll_ratio,l2,c_linf,c_l2
7,12,7,1.9459,6.167,3,6,6,1.0000,792,1.515152e-01,1.0606,1.429446e-01,1.0006,8.745463e-05,0.9698,3.8021
7,12,8,1.9459,6.167,3,6,6,1.0000,495,1.515152e-01,1.0606,1.429446e-01,1.0006,8.745463e-05,0.9698,3.8021
7,16,5,1.9459,8.222,3,6,6,1.0000,4368,1.515568e-01,1.0609,1.431326e-01,1.0019,2.754800e-04,0.9696,3.2124
7,16,6,1.9459,8.222,3,6,6,1.0000,8008,1.498501e-01,1.0490,1.429176e-01,1.0004,6.050393e-05,0.9754,3.9914
7,16,8,1.9459,8.222,3,6,6,1.0000,12870,1.437451e-01,1.0062,1.428597e-01,1.0000,2.533942e-06,0.9968,5.6220
7,16,10,1.9459,8.222,3,6,6,1.0000,8008,1.451049e-01,1.0157,1.428714e-01,1.0001,1.422154e-05,0.9920,4.7355
7,16,11,1.9459,8.222,3,6,6,1.0000,4368,1.460623e-01,1.0224,1.428722e-01,1.0001,1.509480e-05,0.9886,4.7049
7,20,6,1.9459,10.278,3,6,6,1.0000,38760,1.475748e-01,1.0330,1.429117e-01,1.0004,5.451561e-05,0.9833,4.0450
7,20,8,1.9459,10.278,3,6,6,1.0000,125970,1.435501e-01,1.0049,1.428577e-01,1.0000,5.753198e-07,0.9975,6.3839
7,20,10,1.9459,10.278,3,6,6,1.0000,184756,1.436056e-01,1.0052,1.428578e-01,1.0000,6.780014e-07,0.9973,6.2995
7,20,12,1.9459,10.278,3,6,6,1.0000,125970,1.431690e-01,1.0022,1.428575e-01,1.0000,3.983648e-07,0.9989,6.5728
7,20,14,1.9459,10.278,3,6,6,1.0000,38760,1.430857e-01,1.0016,1.428577e-01,1.0000,5.344053e-07,0.9992,6.4218
7,24,7,1.9459,12.334,3,6,6,1.0000,346104,1.442110e-01,1.0095,1.428650e-01,1.0001,7.876164e-06,0.9952,5.0392
7,24,10,1.9459,12.334,3,6,6,1.0000,1961256,1.429767e-01,1.0008,1.428572e-01,1.0000,1.781289e-08,0.9996,8.1697
7,24,12,1.9459,12.334,3,6,6,1.0000,2704156,1.430213e-01,1.0011,1.428572e-01,1.0000,4.249295e-08,0.9994,7.7229
7,24,14,1.9459,12.334,3,6,6,1.0000,1961256,1.429574e-01,1.0007,1.428572e-01,1.0000,1.373024e-08,0.9996,8.3034
7,24,17,1.9459,12.334,3,6,6,1.0000,346104,1.432806e-01,1.0030,1.428574e-01,1.0000,2.157455e-07,0.9985,6.8879
7,30,9,1.9459,15.417,3,6,6,1.0000,14307150,1.430402e-01,1.0013,1.428573e-01,1.0000,1.479384e-07,0.9993,7.0818
7,30,12,1.9459,15.417,3,6,6,1.0000,86493225,1.429008e-01,1.0003,1.428571e-01,1.0000,2.379790e-09,0.9998,9.2041
7,30,15,1.9459,15.417,3,6,6,1.0000,155117520,1.428726e-01,1.0001,1.428571e-01,1.0000,3.028185e-10,0.9999,10.2636
7,30,18,1.9459,15.417,3,6,6,1.0000,86493225,1.428766e-01,1.0001,1.428571e-01,1.0000,4.812927e-10,0.9999,10.0255
7,30,21,1.9459,15.417,3,6,6,1.0000,14307150,1.428925e-01,1.0002,1.428571e-01,1.0000,2.387947e-09,0.9999,9.2023
7,40,12,1.9459,20.556,3,6,6,1.0000,5586853480,1.428779e-01,1.0001,1.428571e-01,1.0000,7.354127e-10,0.9999,9.8076
7,40,16,1.9459,20.556,3,6,6,1.0000,62852101650,1.428588e-01,1.0000,1.428571e-01,1.0000,5.990791e-12,1.0000,12.2795
7,40,20,1.9459,20.556,3,6,6,1.0000,137846528820,1.428576e-01,1.0000,1.428571e-01,1.0000,2.066125e-13,1.0000,14.0099
7,40,24,1.9459,20.556,3,6,6,1.0000,62852101650,1.428572e-01,1.0000,1.428571e-01,1.0000,1.962319e-14,1.0000,15.2197
7,40,28,1.9459,20.556,3,6,6,1.0000,5586853480,1.428580e-01,1.0000,1.428571e-01,1.0000,1.117884e-12,1.0000,13.1423
7,50,15,1.9459,25.695,3,6,6,1.0000,2250829575120,1.428587e-01,1.0000,1.428571e-01,1.0000,3.382350e-12,1.0000,12.5733
7,50,20,1.9459,25.695,3,6,6,1.0000,47129212243960,1.428572e-01,1.0000,1.428571e-01,1.0000,4.635181e-15,1.0000,15.9613
7,50,25,1.9459,25.695,3,6,6,1.0000,126410606437752,1.428572e-01,1.0000,1.428571e-01,1.0000,1.387779e-16,1.0000,17.7643
7,50,30,1.9459,25.695,3,6,6,1.0000,47129212243960,1.428571e-01,1.0000,1.428571e-01,1.0000,8.326673e-17,1.0000,18.0268
7,50,35,1.9459,25.695,3,6,6,1.0000,2250829575120,1.428572e-01,1.0000,1.428571e-01,1.0000,2.997602e-15,1.0000,16.1853
11,12,4,2.3979,5.004,10,5,10,1.0000,495,1.030303e-01,1.1333,9.127640e-02,1.0040,3.673095e-04,0.9478,2.2984
11,12,5,2.3979,5.004,10,5,10,1.0000,792,9.595960e-02,1.0556,9.104301e-02,1.0015,1.339149e-04,0.9775,2.7192
11,12,6,2.3979,5.004,10,5,10,1.0000,924,9.415584e-02,1.0357,9.098171e-02,1.0008,7.261858e-05,0.9854,2.9744
11,12,7,2.3979,5.004,10,5,10,1.0000,792,9.469697e-02,1.0417,9.102388e-02,1.0013,1.147842e-04,0.9830,2.7835
11,12,8,2.3979,5.004,10,5,10,1.0000,495,9.898990e-02,1.0889,9.111315e-02,1.0022,2.040608e-04,0.9645,2.5436
11,16,5,2.3979,6.673,10,5,10,1.0000,4368,9.294872e-02,1.0224,9.093105e-02,1.0002,2.195607e-05,0.9907,3.4733
11,16,6,2.3979,6.673,10,5,10,1.0000,8008,9.190809e-02,1.0110,9.091683e-02,1.0001,7.734523e-06,0.9954,3.9084
11,16,8,2.3979,6.673,10,5,10,1.0000,12870,9.184149e-02,1.0103,9.091143e-02,1.0000,2.342473e-06,0.9957,4.4065
11,16,10,2.3979,6.673,10,5,10,1.0000,8008,9.215784e-02,1.0137,9.091988e-02,1.0001,1.079091e-05,0.9943,3.7695
11,16,11,2.3979,6.673,10,5,10,1.0000,4368,9.203297e-02,1.0124,9.091606e-02,1.0001,6.966096e-06,0.9949,3.9520
11,20,6,2.3979,8.341,10,5,10,1.0000,38760,9.184727e-02,1.0103,9.091051e-02,1.0000,1.423479e-06,0.9957,4.6143
11,20,8,2.3979,8.341,10,5,10,1.0000,125970,9.114869e-02,1.0026,9.090922e-02,1.0000,1.246270e-07,0.9989,5.6300
11,20,10,2.3979,8.341,10,5,10,1.0000,184756,9.109312e-02,1.0020,9.090930e-02,1.0000,2.076475e-07,0.9992,5.4171
11,20,12,2.3979,8.341,10,5,10,1.0000,125970,9.116456e-02,1.0028,9.090938e-02,1.0000,2.913731e-07,0.9988,5.2758
11,20,14,2.3979,8.341,10,5,10,1.0000,38760,9.117647e-02,1.0029,9.090993e-02,1.0000,8.417186e-07,0.9988,4.8334
11,24,7,2.3979,10.009,10,5,10,1.0000,346104,9.103622e-02,1.0014,9.090922e-02,1.0000,1.307310e-07,0.9994,5.6100
11,24,10,2.3979,10.009,10,5,10,1.0000,1961256,9.093102e-02,1.0002,9.090910e-02,1.0000,5.386160e-09,0.9999,6.9401
11,24,12,2.3979,10.009,10,5,10,1.0000,2704156,9.094853e-02,1.0004,9.090910e-02,1.0000,9.146655e-09,0.9998,6.7192
11,24,14,2.3979,10.009,10,5,10,1.0000,1961256,9.093917e-02,1.0003,9.090910e-02,1.0000,5.991902e-09,0.9999,6.8956
11,24,17,2.3979,10.009,10,5,10,1.0000,346104,9.111423e-02,1.0023,9.090917e-02,1.0000,7.448160e-08,0.9991,5.8446
11,30,9,2.3979,12.511,10,5,10,1.0000,14307150,9.092090e-02,1.0001,9.090909e-02,1.0000,9.303912e-10,0.9999,7.6724
11,30,12,2.3979,12.511,10,5,10,1.0000,86493225,9.091340e-02,1.0000,9.090909e-02,1.0000,8.785936e-11,1.0000,8.6565
11,30,15,2.3979,12.511,10,5,10,1.0000,155117520,9.091159e-02,1.0000,9.090909e-02,1.0000,5.346214e-11,1.0000,8.8637
11,30,18,2.3979,12.511,10,5,10,1.0000,86493225,9.091790e-02,1.0001,9.090909e-02,1.0000,1.898639e-10,1.0000,8.3352
11,30,21,2.3979,12.511,10,5,10,1.0000,14307150,9.093495e-02,1.0003,9.090909e-02,1.0000,1.573437e-09,0.9999,7.4532
11,40,12,2.3979,16.681,10,5,10,1.0000,5586853480,9.090933e-02,1.0000,9.090909e-02,1.0000,2.995104e-13,1.0000,11.0258
11,40,16,2.3979,16.681,10,5,10,1.0000,62852101650,9.090917e-02,1.0000,9.090909e-02,1.0000,4.554690e-14,1.0000,11.8112
11,40,20,2.3979,16.681,10,5,10,1.0000,137846528820,9.090921e-02,1.0000,9.090909e-02,1.0000,2.106648e-14,1.0000,12.1328
11,40,24,2.3979,16.681,10,5,10,1.0000,62852101650,9.090918e-02,1.0000,9.090909e-02,1.0000,3.705369e-14,1.0000,11.8973
11,40,28,2.3979,16.681,10,5,10,1.0000,5586853480,9.090944e-02,1.0000,9.090909e-02,1.0000,1.651373e-12,1.0000,10.3138
11,50,15,2.3979,20.852,10,5,10,1.0000,2250829575120,9.090911e-02,1.0000,9.090909e-02,1.0000,4.440892e-16,1.0000,13.7423
11,50,20,2.3979,20.852,10,5,10,1.0000,47129212243960,9.090909e-02,1.0000,9.090909e-02,1.0000,0.000000e+00,1.0000,inf
11,50,25,2.3979,20.852,10,5,10,1.0000,126410606437752,9.090909e-02,1.0000,9.090909e-02,1.0000,0.000000e+00,1.0000,inf
11,50,30,2.3979,20.852,10,5,10,1.0000,47129212243960,9.090909e-02,1.0000,9.090909e-02,1.0000,2.775558e-17,1.0000,14.8986
11,50,35,2.3979,20.852,10,5,10,1.0000,2250829575120,9.090913e-02,1.0000,9.090909e-02,1.0000,2.192690e-15,1.0000,13.0764
13,12,4,2.5649,4.678,12,3,12,1.0000,495,8.282828e-02,1.0768,7.713907e-02,1.0028,2.159905e-04,0.9712,2.2906
13,12,5,2.5649,4.678,12,3,12,1.0000,792,8.080808e-02,1.0505,7.711904e-02,1.0025,1.959671e-04,0.9808,2.3286
13,12,6,2.5649,4.678,12,3,12,1.0000,924,8.225108e-02,1.0693,7.736690e-02,1.0058,4.438202e-04,0.9739,2.0098
13,12,7,2.5649,4.678,12,3,12,1.0000,792,8.712121e-02,1.1326,7.795123e-02,1.0134,1.028153e-03,0.9515,1.6823
13,12,8,2.5649,4.678,12,3,12,1.0000,495,9.696970e-02,1.2606,7.915519e-02,1.0290,2.232111e-03,0.9097,1.3801
13,16,5,2.5649,6.238,12,3,12,1.0000,4368,8.150183e-02,1.0595,7.697884e-02,1.0007,5.576688e-05,0.9775,2.8185
13,16,6,2.5649,6.238,12,3,12,1.0000,8008,7.929570e-02,1.0308,7.694584e-02,1.0003,2.276694e-05,0.9882,3.1678
13,16,8,2.5649,6.238,12,3,12,1.0000,12870,7.754468e-02,1.0081,7.692619e-02,1.0000,3.115248e-06,0.9969,3.9433
13,16,10,2.5649,6.238,12,3,12,1.0000,8008,8.191808e-02,1.0649,7.703180e-02,1.0014,1.087200e-04,0.9755,2.5583
13,16,11,2.5649,6.238,12,3,12,1.0000,4368,8.333333e-02,1.0833,7.737823e-02,1.0059,4.551500e-04,0.9688,2.0000
13,20,6,2.5649,7.797,12,3,12,1.0000,38760,7.724458e-02,1.0042,7.692353e-02,1.0000,4.521159e-07,0.9984,4.6958
13,20,8,2.5649,7.797,12,3,12,1.0000,125970,7.751052e-02,1.0076,7.692515e-02,1.0000,2.074180e-06,0.9970,4.1018
13,20,10,2.5649,7.797,12,3,12,1.0000,184756,7.735608e-02,1.0056,7.692410e-02,1.0000,1.022066e-06,0.9978,4.3778
13,20,12,2.5649,7.797,12,3,12,1.0000,125970,7.811384e-02,1.0155,7.692626e-02,1.0000,3.179897e-06,0.9940,3.9352
13,20,14,2.5649,7.797,12,3,12,1.0000,38760,8.152735e-02,1.0599,7.697332e-02,1.0007,5.023853e-05,0.9773,2.8592
13,24,7,2.5649,9.357,12,3,12,1.0000,346104,7.728313e-02,1.0047,7.692348e-02,1.0000,4.013681e-07,0.9982,4.7422
13,24,10,2.5649,9.357,12,3,12,1.0000,1961256,7.705929e-02,1.0018,7.692316e-02,1.0000,8.049127e-08,0.9993,5.3686
13,24,12,2.5649,9.357,12,3,12,1.0000,2704156,7.700998e-02,1.0011,7.692319e-02,1.0000,1.139819e-07,0.9996,5.2330
13,24,14,2.5649,9.357,12,3,12,1.0000,1961256,7.711538e-02,1.0025,7.692315e-02,1.0000,7.563130e-08,0.9990,5.3929
13,24,17,2.5649,9.357,12,3,12,1.0000,346104,7.822215e-02,1.0169,7.693086e-02,1.0001,7.787719e-06,0.9935,3.5860
13,30,9,2.5649,11.696,12,3,12,1.0000,14307150,7.695460e-02,1.0004,7.692308e-02,1.0000,3.435881e-09,0.9998,6.5982
13,30,12,2.5649,11.696,12,3,12,1.0000,86493225,7.694502e-02,1.0003,7.692308e-02,1.0000,9.068926e-10,0.9999,7.1175
13,30,15,2.5649,11.696,12,3,12,1.0000,155117520,7.693997e-02,1.0002,7.692308e-02,1.0000,1.506693e-09,0.9999,6.9196
13,30,18,2.5649,11.696,12,3,12,1.0000,86493225,7.694538e-02,1.0003,7.692308e-02,1.0000,1.678536e-09,0.9999,6.8775
13,30,21,2.5649,11.696,12,3,12,1.0000,14307150,7.711047e-02,1.0024,7.692328e-02,1.0000,1.986569e-07,0.9991,5.0164
13,40,12,2.5649,15.595,12,3,12,1.0000,5586853480,7.692377e-02,1.0000,7.692308e-02,1.0000,1.015329e-11,1.0000,8.8689
13,40,16,2.5649,15.595,12,3,12,1.0000,62852101650,7.692339e-02,1.0000,7.692308e-02,1.0000,1.696074e-12,1.0000,9.5666
13,40,20,2.5649,15.595,12,3,12,1.0000,137846528820,7.692326e-02,1.0000,7.692308e-02,1.0000,2.258471e-13,1.0000,10.3526
13,40,24,2.5649,15.595,12,3,12,1.0000,62852101650,7.692476e-02,1.0000,7.692308e-02,1.0000,1.224221e-11,1.0000,8.7960
13,40,28,2.5649,15.595,12,3,12,1.0000,5586853480,7.693522e-02,1.0002,7.692308e-02,1.0000,7.152191e-10,0.9999,7.2101
13,50,15,2.5649,19.494,12,3,12,1.0000,2250829575120,7.692313e-02,1.0000,7.692308e-02,1.0000,3.705369e-14,1.0000,11.0573
13,50,20,2.5649,19.494,12,3,12,1.0000,47129212243960,7.692310e-02,1.0000,7.692308e-02,1.0000,1.401657e-15,1.0000,12.3340
13,50,25,2.5649,19.494,12,3,12,1.0000,126410606437752,7.692311e-02,1.0000,7.692308e-02,1.0000,2.026157e-15,1.0000,12.1904
13,50,30,2.5649,19.494,12,3,12,1.0000,47129212243960,7.692314e-02,1.0000,7.692308e-02,1.0000,2.903233e-14,1.0000,11.1524
13,50,35,2.5649,19.494,12,3,12,1.0000,2250829575120,7.692370e-02,1.0000,7.692308e-02,1.0000,1.609185e-12,1.0000,9.5871
17,12,4,2.8332,4.235,8,16,16,1.0000,495,7.070707e-02,1.2020,5.929599e-02,1.0080,4.724608e-04,0.9351,1.7028
17,12,5,2.8332,4.235,8,16,16,1.0000,792,6.818182e-02,1.1591,5.936257e-02,1.0092,5.390356e-04,0.9479,1.6563
17,12,6,2.8332,4.235,8,16,16,1.0000,924,7.142857e-02,1.2143,5.936217e-02,1.0092,5.386452e-04,0.9315,1.6565
17,12,7,2.8332,4.235,8,16,16,1.0000,792,6.944444e-02,1.1806,5.963358e-02,1.0138,8.100539e-04,0.9414,1.5125
17,12,8,2.8332,4.235,8,16,16,1.0000,495,7.272727e-02,1.2364,5.933680e-02,1.0087,5.132730e-04,0.9251,1.6735
17,16,5,2.8332,5.647,8,16,16,1.0000,4368,6.341575e-02,1.0781,5.887148e-02,1.0008,4.795434e-05,0.9735,2.5102
17,16,6,2.8332,5.647,8,16,16,1.0000,8008,6.131369e-02,1.0423,5.886883e-02,1.0008,4.529906e-05,0.9854,2.5303
17,16,8,2.8332,5.647,8,16,16,1.0000,12870,6.076146e-02,1.0329,5.885204e-02,1.0005,2.851382e-05,0.9886,2.6937
17,16,10,2.8332,5.647,8,16,16,1.0000,8008,6.081419e-02,1.0338,5.885040e-02,1.0005,2.686719e-05,0.9883,2.7147
17,16,11,2.8332,5.647,8,16,16,1.0000,4368,6.112637e-02,1.0391,5.885618e-02,1.0006,3.264989e-05,0.9864,2.6459
17,20,6,2.8332,7.059,8,16,16,1.0000,38760,6.029412e-02,1.0250,5.883394e-02,1.0002,1.041177e-05,0.9913,3.0493
17,20,8,2.8332,7.059,8,16,16,1.0000,125970,5.977614e-02,1.0162,5.882600e-02,1.0000,2.474597e-06,0.9943,3.5565
17,20,10,2.8332,7.059,8,16,16,1.0000,184756,5.922406e-02,1.0068,5.882545e-02,1.0000,1.917048e-06,0.9976,3.6466
17,20,12,2.8332,7.059,8,16,16,1.0000,125970,5.903787e-02,1.0036,5.882396e-02,1.0000,4.325567e-07,0.9987,4.1721
17,20,14,2.8332,7.059,8,16,16,1.0000,38760,5.923633e-02,1.0070,5.882666e-02,1.0001,3.132452e-06,0.9975,3.4733
17,24,7,2.8332,8.471,8,16,16,1.0000,346104,5.912385e-02,1.0051,5.882472e-02,1.0000,1.195437e-06,0.9982,3.8133
17,24,10,2.8332,8.471,8,16,16,1.0000,1961256,5.894386e-02,1.0020,5.882366e-02,1.0000,1.312863e-07,0.9993,4.5929
17,24,12,2.8332,8.471,8,16,16,1.0000,2704156,5.892042e-02,1.0016,5.882364e-02,1.0000,1.056761e-07,0.9994,4.6695
17,24,14,2.8332,8.471,8,16,16,1.0000,1961256,5.890460e-02,1.0014,5.882361e-02,1.0000,7.766542e-08,0.9995,4.7782
17,24,17,2.8332,8.471,8,16,16,1.0000,346104,5.894471e-02,1.0021,5.882373e-02,1.0000,1.984919e-07,0.9993,4.4470
17,30,9,2.8332,10.589,8,16,16,1.0000,14307150,5.893759e-02,1.0019,5.882356e-02,1.0000,2.834558e-08,0.9993,5.1340
17,30,12,2.8332,10.589,8,16,16,1.0000,86493225,5.886074e-02,1.0006,5.882353e-02,1.0000,3.732847e-09,0.9998,5.8495
17,30,15,2.8332,10.589,8,16,16,1.0000,155117520,5.883938e-02,1.0003,5.882353e-02,1.0000,8.813204e-10,0.9999,6.3590
17,30,18,2.8332,10.589,8,16,16,1.0000,86493225,5.883840e-02,1.0003,5.882353e-02,1.0000,1.136461e-09,0.9999,6.2693
17,30,21,2.8332,10.589,8,16,16,1.0000,14307150,5.884317e-02,1.0003,5.882353e-02,1.0000,4.051632e-09,0.9999,5.8206
17,40,12,2.8332,14.118,8,16,16,1.0000,5586853480,5.883005e-02,1.0001,5.882353e-02,1.0000,1.286450e-10,1.0000,7.0382
17,40,16,2.8332,14.118,8,16,16,1.0000,62852101650,5.882524e-02,1.0000,5.882353e-02,1.0000,5.097318e-12,1.0000,8.1777
17,40,20,2.8332,14.118,8,16,16,1.0000,137846528820,5.882379e-02,1.0000,5.882353e-02,1.0000,3.122641e-13,1.0000,9.1633
17,40,24,2.8332,14.118,8,16,16,1.0000,62852101650,5.882393e-02,1.0000,5.882353e-02,1.0000,6.710743e-13,1.0000,8.8933
17,40,28,2.8332,14.118,8,16,16,1.0000,5586853480,5.882457e-02,1.0000,5.882353e-02,1.0000,2.003557e-12,1.0000,8.5073
17,50,15,2.8332,17.648,8,16,16,1.0000,2250829575120,5.882373e-02,1.0000,5.882353e-02,1.0000,3.084477e-13,1.0000,9.1677
17,50,20,2.8332,17.648,8,16,16,1.0000,47129212243960,5.882358e-02,1.0000,5.882353e-02,1.0000,6.633583e-15,1.0000,10.5228
17,50,25,2.8332,17.648,8,16,16,1.0000,126410606437752,5.882353e-02,1.0000,5.882353e-02,1.0000,9.714451e-17,1.0000,12.0136
17,50,30,2.8332,17.648,8,16,16,1.0000,47129212243960,5.882354e-02,1.0000,5.882353e-02,1.0000,4.649059e-16,1.0000,11.4610
17,50,35,2.8332,17.648,8,16,16,1.0000,2250829575120,5.882355e-02,1.0000,5.882353e-02,1.0000,3.191891e-15,1.0000,10.7810
19,12,4,2.9444,4.075,18,18,18,1.0000,495,6.262626e-02,1.1899,5.332925e-02,1.0133,6.976732e-04,0.9410,1.4683
19,12,5,2.9444,4.075,18,18,18,1.0000,792,6.944444e-02,1.3194,5.315146e-02,1.0099,5.198852e-04,0.9059,1.5682
