k,label,step,nu,u,val_over_c1,H,argmin_digit,margin,transport_frac
16,cospine,2,3,4,0.6324101729073702,1.8654133295308186,2,0.15478400631050832,0.0020163961073987407
16,cospine,3,4,62,0.4400785918329546,1.861652195331877,0,0.027328984610380032,0.0027607757755435665
16,cospine,4,5,124,0.30601138909273906,1.856512898632118,2,0.10126796979793527,0.003347175332743924
16,cospine,5,6,5,0.21266180874547658,1.850299196075122,0,0.10316835649685427,0.0043316097326980465
16,cospine,6,7,10,0.1476427781630251,1.8422846838852935,1,0.10775895006369395,0.00801262403134655
16,cospine,7,8,2207,0.10212365399127601,1.8275234339900523,2,0.03165402080385583,0.008711674965339424
16,cospine,8,9,17536,0.0705885629861255,1.8116029781773761,1,0.05802763451525337,0.012295466450966736
16,cospine,9,10,54755,0.0486148983864624,1.789328764999515,0,0.06853473146456496,0.0225481449179439
16,cospine,10,11,109510,0.03313391548532591,1.7489830378906226,0,0.06344757122181675,0.02986227959470344
16,cospine,11,12,219020,0.022413730132774153,1.696754666086394,0,0.03283548888039965,0.03429076248705732
17,spine,0,0,0,1.0,1.0,1,0.4393662558295663,0.0006581390947262176
17,spine,1,1,3,0.6947502040914935,0.9993419968444983,0,0.21038553139764057,0.0009385567182830787
17,spine,2,2,6,0.4825424419221451,0.9984042687215489,1,0.06661740534259143,0.0013921740431020854
17,spine,3,3,39,0.33500021573515076,0.9970144530514431,2,0.020026916795145948,0.0018701628571407471
17,spine,4,4,240,0.232459207939118,0.9951500674659813,0,0.05377911093071623,0.0034012172921686107
17,spine,5,5,480,0.16105777740967137,0.9917654629153454,2,0.14145260921045186,0.0045837284619099665
17,spine,6,6,231,0.11145538222721063,0.987219625179809,2,0.025804748494193137,0.0054229260413742875
17,spine,7,7,4836,0.07706445481304293,0.9818661790935183,1,0.012203229238817833,0.0076966035591939435
17,spine,8,8,16233,0.053163453235185364,0.9743092573371339,1,0.022528542193777,0.014461917676600685
17,spine,9,9,52149,0.03642513729207508,0.9602190091823469,1,0.05803425457875444,0.02261751804341445
17,spine,10,10,163347,0.024750293449101513,0.9385013684015929,1,0.0009524278880616722,0.029395135508039228
17,spine,11,11,503841,0.01670080584428727,0.910914133765216,2,0.05749536808416791,0.03737980215650476
17,cospine,0,1,2,1.3094770828761488,1.8835769102576962,2,0.09293641234303635,0.0005051827284973035
17,cospine,1,2,1,0.9098986668130863,1.882625514621164,0,0.050893499032779906,0.000752035710558766
17,cospine,2,3,2,0.6320929016482444,1.8812100082728336,1,0.1528924195463403,0.0010811056217057211
17,cospine,3,4,31,0.4389608214339393,1.879176544296388,0,0.027132654508148956,0.0019555714885851057
17,cospine,4,5,62,0.30457218159601346,1.8755019194345859,1,0.09938103647384885,0.0026387025218067833
17,cospine,5,6,367,0.2111822233521289,1.8705533211246614,2,0.0986221509046709,0.003251427263258812
17,cospine,6,7,5,0.14633816486497175,1.8644716963235946,2,0.10638510836124342,0.004267164968413323
17,cospine,7,8,4384,0.10130130257187507,1.85651591215233,0,0.027344817830554893,0.007655805115254432
17,cospine,8,9,8768,0.0698862873162527,1.84230305088912,2,0.055082561964498004,0.008477572674623091
17,cospine,9,10,56902,0.04817360318634898,1.8266851099846297,2,0.057174063850545444,0.012469014238840153
17,cospine,10,11,54755,0.033073066831350535,1.8039084044524718,0,0.07041139016494548,0.023461787527993556
17,cospine,11,12,109510,0.022453204030316927,1.761585764367027,0,0.03415182706193793,0.029429422803482125
18,spine,0,0,0,1.0,1.0,2,0.44296996208348777,0.0004514907499279008
18,spine,1,1,6,0.6930151190092075,0.999548647821428,2,0.20930926239198577,0.0006410618810159276
18,spine,2,2,3,0.48017886768092705,0.9989080115810408,2,0.062395707576134794,0.0009136386786142681
18,spine,3,3,60,0.33261735524814084,0.9979955062716831,0,0.01374036043140205,0.0013578450646528793
18,spine,4,4,120,0.23029983795960582,0.9966405168105906,0,0.044988112911978614,0.0018315549851532125
18,spine,5,5,240,0.15938090983363376,0.9948152510499617,1,0.14944757120164712,0.0034524929726857806
18,spine,6,6,1209,0.11012175933662137,0.9913807931569363,0,0.02440616111472505,0.004593252095311059
18,spine,7,7,2418,0.07599981815575599,0.9868272631020746,2,0.011475249584709257,0.005472551353547381
18,spine,8,8,17958,0.05240444924110026,0.9814269367806846,1,0.025310692473132015,0.007726896252668672
18,spine,9,9,55599,0.03605273472321497,0.9738436848340741,1,0.062269900717896544,0.014009309277501898
18,spine,10,10,170247,0.024646193916431157,0.9602009405663895,2,0.00020955503124387868,0.02407714680070282
18,spine,11,11,163347,0.016676472155256954,0.9370821711413216,2,0.048477919339768735,0.030378654682693237
18,cospine,0,1,1,1.3083086208432,1.886997955782785,1,0.09537730766832303,0.000354853058603621
18,cospine,1,2,5,0.9067653027170854,1.8863285880995513,2,0.05612584173049366,0.0004886231871296671
18,cospine,2,3,1,0.6283787179057034,1.8854071407031876,2,0.1537777568625279,0.0007728946969543406
18,cospine,3,4,56,0.43533592412765004,1.8839501766601237,2,0.02546548914097812,0.0010439276562314742
18,cospine,4,5,31,0.30151556101280313,1.8819837258898846,2,0.09127022517305529,0.002107665304136173
18,cospine,5,6,548,0.20860861953886853,1.8780173867876215,0,0.1078426705300201,0.002693568428491738
18,cospine,6,7,1096,0.1442446457528627,1.8729590733191124,0,0.11399436929654158,0.003122190164108025
18,cospine,7,8,2192,0.09969662648302496,1.8671115936443141,0,0.02769453350273603,0.004214588149878222
18,cospine,8,9,4384,0.0688311547074697,1.8592427411212236,1,0.0661556987694108,0.00739185436361861
18,cospine,9,10,28451,0.04736981876250646,1.8454997426557782,1,0.058405317230013444,0.008418487410155898
18,cospine,10,11,115951,0.03256634182137707,1.8299636767292182,2,0.06401526261659943,0.012885976110053056
18,cospine,11,12,54755,0.022288207008105493,1.8063830596338528,0,0.03772453337939914,0.022887065523332577
19,spine,0,0,0,1.0,1.0,1,0.44635150021559716,0.00029919427787147656
19,spine,1,1,3,0.6913948648381374,0.999700943645343,1,0.22020743982514496,0.0004283645702935034
19,spine,2,2,15,0.4779650906689132,0.9992728385494047,0,0.07937448522448597,0.0006542521322239196
19,spine,3,3,30,0.3303452396078594,0.9986191963360419,0,0.024221741767357287,0.0008746978642800506
19,spine,4,4,60,0.2282675169221787,0.9977458369952166,0,0.04402386518214633,0.0013008172858564634
19,spine,5,5,120,0.15766486280543185,0.9964480909775206,2,0.15362814915194667,0.0017727787104604505
19,spine,6,6,1698,0.10884799459956006,0.994681743086492,2,0.027902014971649177,0.003675911704092773
19,spine,7,7,1209,0.07500274673492546,0.9910255137366312,1,0.02012172023384778,0.004451134416224116
19,spine,8,8,8979,0.05164114427604963,0.9866144604355821,2,0.02856273035019033,0.005546882738005984
19,spine,9,9,57324,0.03551700017524937,0.9811419601690401,1,0.06996716855569142,0.007764204614415384
19,spine,10,10,173697,0.024372903857130465,0.9735243077423811,0,0.004232294182357748,0.013997751027163406
19,spine,11,11,347394,0.016620392952347945,0.95989728742953,0,0.04621033497276919,0.02371858381717959
19,cospine,0,1,2,1.3165942232194265,1.9036885494638496,1,0.0952451472634662,0.00023660975367613714
19,cospine,1,2,7,0.9103434634809535,1.903238363149927,0,0.05265523437904196,0.00033951703672381627
19,cospine,2,3,14,0.6293814086038433,1.9025924429693606,0,0.15444124978026116,0.0004980154866334887
19,cospine,3,4,28,0.43506453035239173,1.9016451829690966,1,0.028937995489587205,0.0007959308657737975
19,cospine,4,5,137,0.3006519177887027,1.9001318632356814,0,0.08665503759326154,0.0010438190078969798
19,cospine,5,6,274,0.20771436089530257,1.898148728596524,0,0.10697271625715418,0.0020415159319253496
19,cospine,6,7,548,0.1433623475114585,1.8942738803307613,0,0.10231002328343389,0.002640098493599628
19,cospine,7,8,1096,0.09888789058785646,1.889273062858905,0,0.029095336715482843,0.003115368549256351
19,cospine,8,9,2192,0.06817797848595647,1.8833875361661034,2,0.060260281885866816,0.004172247220944166
19,cospine,9,10,43750,0.04695528190162762,1.8755298332971098,1,0.05972121910739885,0.007242174967402421
19,cospine,10,11,146549,0.03223917190710449,1.8619471724483,0,0.06547194055089861,0.008332289225867436
19,cospine,11,12,293098,0.02211088663392276,1.8464331439351167,2,0.029670064210452415,0.012665731338747158
