k,label,step,nu,u,val_over_c1,H,argmin_digit,margin,transport_frac
15,spine,0,0,0,1.0,1.0,1,0.4316519502875008,0.0015127265929310552
15,spine,1,1,3,0.6984937922930098,0.9984874406157835,2,0.21003330028369105,0.002030790999083365
15,spine,2,2,24,0.48764046715359444,0.9964599546198566,1,0.05001985795525115,0.0033000480077357837
15,spine,3,3,75,0.34000412340475494,0.9931717346821995,1,0.01914094248779538,0.004646560960468023
15,spine,4,4,231,0.23674538933182568,0.9885570842459512,0,0.05481325356605072,0.005548578139376294
15,spine,5,5,462,0.16469679364175757,0.9830722180586134,0,0.14749460273080742,0.00804285782143021
15,spine,6,6,924,0.11428732463902816,0.9751656631539238,2,0.019010620443335187,0.014337515066361257
15,spine,7,7,6222,0.07880364595637256,0.9611843728071108,2,0.008428651887966767,0.02268916525117475
15,spine,8,8,5883,0.05387645852290826,0.9393760562498439,1,0.017544921702072606,0.02817164548831676
15,spine,9,9,31449,0.03662761415647152,0.9129124548575008,1,0.06254349171046247,0.03882383309729578
15,spine,10,10,121947,0.024628141696861137,0.8774698459532495,2,0.007725951518942715,0.06606171676054987
15,cospine,0,1,2,1.2906264241038432,1.8449330390812748,0,0.09729863937754969,0.001151172314148049
15,cospine,1,2,4,0.9018210133193827,1.8428095831604143,0,0.06150491389657592,0.0019822596861552395
15,cospine,2,3,8,0.6296201622272668,1.8391569562400116,1,0.1565551746215411,0.002825857131271553
15,cospine,3,4,43,0.4392074137465979,1.8339601102177616,2,0.02193243986434835,0.003353811797433631
15,cospine,4,5,5,0.3062179999315116,1.8278097693689317,0,0.10733746961195068,0.004432418464000709
15,cospine,5,6,10,0.21326592672559488,1.8197084367874072,0,0.1022820512015001,0.008365008784272994
15,cospine,6,7,20,0.1479426306973835,1.8044868733233956,2,0.11399956361881636,0.008911694612347105
15,cospine,7,8,4414,0.1025712664731845,1.7884061875218211,1,0.03620819641047122,0.012320682550700486
15,cospine,8,9,15389,0.07086988094859248,1.7663721343096894,1,0.0758942016641101,0.022604079249540904
15,cospine,9,10,50461,0.04845652397804515,1.726445265493348,2,0.0724093546082513,0.03007963230029153
15,cospine,10,11,41873,0.03287822455309376,1.6745147229856108,2,0.060758196012032965,0.03456952120658645
16,spine,0,0,0,1.0,1.0,2,0.43556295785621035,0.0009902386813813316
16,spine,1,1,6,0.696590835342634,0.9990099931537767,0,0.20501797604947786,0.0014426477006544436
16,spine,2,2,12,0.48501900889655203,0.9975689250086031,2,0.06476190339427168,0.0019683908420209677
16,spine,3,3,78,0.337528984512446,0.995605532273341,1,0.019269534959844757,0.003214633499784518
16,spine,4,4,237,0.2345960561157977,0.9924051544183083,2,0.05172977748752947,0.004723382415757298
16,spine,5,5,231,0.16280678679892138,0.987717811984595,0,0.14497608165299805,0.0052907785662803545
16,spine,6,6,462,0.11292150538004157,0.9824922107868967,1,0.02403223707909316,0.007861417371457855
16,spine,7,7,3111,0.07811905472497054,0.9747685584763147,1,0.008974614805694423,0.014518638469076518
16,spine,8,8,12783,0.05368010865232769,0.9606163965660828,1,0.022156013602128526,0.022361246156150188
16,spine,9,9,45249,0.03659314902735342,0.9391359584961667,1,0.0552209607561899,0.02851595503611525
16,spine,10,10,149547,0.024788112310751176,0.9123557563583592,1,0.002229646590842387,0.037905483797672314
16,spine,11,11,476241,0.016629116609672975,0.877772592204014,0,0.05351031911458933,0.0654628199185152
16,cospine,0,1,1,1.303183988777732,1.8689505541177374,0,0.09232904998441367,0.0007766096174977535
16,cospine,1,2,2,0.9079800928434906,1.8674994351412761,0,0.053475594877000265,0.0011172467092625306
