k,nu,u,val
15,1,0,1.0
15,1,1,0.6984937922930098
15,1,2,1.2906264241038432
15,2,0,1.0
15,2,1,0.9895669708774418
15,2,2,0.641196213446123
15,2,3,0.6984937922930098
15,2,4,0.9018210133193827
15,2,5,0.5900612038217448
15,2,6,1.2906264241038432
15,2,7,1.379698312333678
15,2,8,0.48764046715359444
15,3,0,1.0
15,3,1,0.454159196083059
15,3,2,1.0913379294490981
15,3,3,0.9895669708774418
15,3,4,0.4474487714491785
15,3,5,1.3696850229783495
15,3,6,0.641196213446123
15,3,7,0.35701108136166043
15,3,8,0.6296201622272668
15,3,9,0.6984937922930098
15,3,10,0.41168584658184326
15,3,11,0.6910684764708073
15,3,12,0.9018210133193827
15,3,13,0.5819936264206554
15,3,14,0.9855938438499201
15,3,15,0.5900612038217448
15,3,16,0.40736960952826456
15,3,17,0.6683448960926031
15,3,18,1.2906264241038432
15,3,19,0.5143371088260343
15,3,20,0.8010442818595215
15,3,21,1.379698312333678
15,3,22,0.45653096569446416
15,3,23,0.9640023222701435
15,3,24,0.48764046715359444
15,3,25,0.34000412340475494
15,3,26,0.7005867348341125
15,4,0,1.0
15,4,1,0.7624129483939512
15,4,2,0.34899314557268757
15,4,3,0.454159196083059
15,4,4,0.9586244675792023
15,4,5,0.31206517106350795
15,4,6,1.0913379294490981
15,4,7,0.46639364220018786
15,4,8,0.3119842295765208
15,4,9,0.9895669708774418
15,4,10,0.9568341824876265
15,4,11,0.3586720583184938
15,4,12,0.4474487714491785
15,4,13,0.5590905316297001
15,4,14,0.26048350855637586
15,4,15,1.3696850229783495
15,4,16,0.5376642602373526
15,4,17,0.32379771785669315
15,4,18,0.641196213446123
15,4,19,0.776154241391918
15,4,20,0.28686124160106297
15,4,21,0.35701108136166043
15,4,22,0.5382542626696021
15,4,23,0.24127691921327687
15,4,24,0.6296201622272668
15,4,25,0.4888739270210872
15,4,26,0.5083422304169579
15,4,27,0.6984937922930098
15,4,28,1.0430953223962656
15,4,29,0.3165371692121018
15,4,30,0.41168584658184326
15,4,31,0.7775163089942109
15,4,32,0.3067504191829669
15,4,33,0.6910684764708073
15,4,34,0.487926260829022
15,4,35,0.3260584441075839
15,4,36,0.9018210133193827
15,4,37,1.3999241040511505
15,4,38,0.4226213482525219
15,4,39,0.5819936264206554
15,4,40,0.7431659901946803
15,4,41,0.25863941985019423
15,4,42,0.9855938438499201
15,4,43,0.4392074137465979
15,4,44,0.43786245539952584
15,4,45,0.5900612038217448
15,4,46,0.6729853316605213
15,4,47,0.3713381963976868
15,4,48,0.40736960952826456
15,4,49,0.5170355376002704
15,4,50,0.24363194816185554
15,4,51,0.6683448960926031
15,4,52,0.5409190054336045
15,4,53,0.4231973532181104
15,4,54,1.2906264241038432
15,4,55,0.6878679119733875
15,4,56,0.31774103029465006
15,4,57,0.5143371088260343
15,4,58,0.7620641318473657
15,4,59,0.28391465382320685
15,4,60,0.8010442818595215
15,4,61,0.6040187298545837
15,4,62,0.3172608247560175
15,4,63,1.379698312333678
15,4,64,1.0433789103551219
15,4,65,0.37134588757237974
15,4,66,0.45653096569446416
15,4,67,0.6720298962957799
15,4,68,0.24868033982818777
15,4,69,0.9640023222701435
15,4,70,0.5079676071007719
15,4,71,0.3183080264895856
15,4,72,0.48764046715359444
15,4,73,0.7693125650033296
15,4,74,0.30669075493415565
15,4,75,0.34000412340475494
15,4,76,0.482037217622517
15,4,77,0.23674538933182568
15,4,78,0.7005867348341125
15,4,79,0.5076301949933987
15,4,80,0.4060326423602945
16,1,0,1.0
16,1,1,1.303183988777732
16,1,2,0.696590835342634
16,2,0,1.0
16,2,1,0.6384260062691771
16,2,2,0.9079800928434906
16,2,3,1.303183988777732
16,2,4,0.48501900889655203
16,2,5,0.9918130322204898
16,2,6,0.696590835342634
16,2,7,0.5844566244460468
16,2,8,1.388769537437277
16,3,0,1.0
16,3,1,1.0894768581440228
16,3,2,0.444498313369326
16,3,3,0.6384260062691771
16,3,4,0.6324101729073702
16,3,5,0.40685925918679733
16,3,6,0.9079800928434906
16,3,7,0.9858852179299642
16,3,8,0.4046007939305508
16,3,9,1.303183988777732
16,3,10,0.7929775845772501
16,3,11,0.4572999866086529
16,3,12,0.48501900889655203
16,3,13,0.6960256189395214
16,3,14,0.44977424769890856
16,3,15,0.9918130322204898
16,3,16,1.3729715869391101
16,3,17,0.3593880040002077
16,3,18,0.696590835342634
16,3,19,0.6908384373027887
16,3,20,0.5793716704890085
16,3,21,0.5844566244460468
16,3,22,0.6662286831098585
16,3,23,0.5091754486610613
16,3,24,1.388769537437277
16,3,25,0.9676855569848587
16,3,26,0.337528984512446
16,4,0,1.0
16,4,1,0.3482101048548187
16,4,2,0.958949805532244
16,4,3,1.0894768581440228
16,4,4,0.30922170900895707
16,4,5,0.9565811829110267
16,4,6,0.444498313369326
16,4,7,0.25862699145796414
16,4,8,0.5347506878441743
16,4,9,0.6384260062691771
16,4,10,0.28290970223795636
16,4,11,0.5399465924902301
16,4,12,0.6324101729073702
16,4,13,0.5121387273976193
16,4,14,1.0444127171669457
16,4,15,0.40685925918679733
16,4,16,0.3069154534693469
16,4,17,0.4869233466394937
16,4,18,0.9079800928434906
16,4,19,0.4232205710950049
16,4,20,0.7357019926675106
16,4,21,0.9858852179299642
16,4,22,0.43674686136629054
16,4,23,0.6739446542459153
16,4,24,0.4046007939305508
16,4,25,0.2434156311437045
16,4,26,0.5473528947297659
16,4,27,1.303183988777732
16,4,28,0.31530719952551023
16,4,29,0.7588298138111227
16,4,30,0.7929775845772501
16,4,31,0.3132499840486173
16,4,32,1.043214361148486
16,4,33,0.4572999866086529
16,4,34,0.24985518676089163
16,4,35,0.5081957193683463
16,4,36,0.48501900889655203
16,4,37,0.30737890661559947
16,4,38,0.48092451866769914
16,4,39,0.6960256189395214
16,4,40,0.40323119227238186
16,4,41,0.7576915986928617
16,4,42,0.44977424769890856
16,4,43,0.31310670097836546
16,4,44,0.46358951928593006
16,4,45,0.9918130322204898
16,4,46,0.3542820005440762
16,4,47,0.5521476693175124
16,4,48,1.3729715869391101
16,4,49,0.32092596163277615
16,4,50,0.7793604612026492
16,4,51,0.3593880040002077
16,4,52,0.23911661302056275
16,4,53,0.48447785693775075
16,4,54,0.696590835342634
16,4,55,0.312891672892
16,4,56,0.7768266906428694
16,4,57,0.6908384373027887
16,4,58,0.32134994356200686
16,4,59,1.4322774952555495
16,4,60,0.5793716704890085
16,4,61,0.2566634464561499
16,4,62,0.4400785918329546
16,4,63,0.5844566244460468
16,4,64,0.37122686326211446
16,4,65,0.5201769426658732
16,4,66,0.6662286831098585
16,4,67,0.4230834435796034
16,4,68,0.6866373898498781
16,4,69,0.5091754486610613
16,4,70,0.2813301073802436
16,4,71,0.6036519112120877
16,4,72,1.388769537437277
16,4,73,0.3678163714038795
16,4,74,0.6690757706849751
16,4,75,0.9676855569848587
16,4,76,0.3181062012279023
16,4,77,0.7680888581790919
16,4,78,0.337528984512446
16,4,79,0.2345960561157977
16,4,80,0.5098191049310644
17,1,0,1.0
17,1,1,0.6947502040914935
17,1,2,1.3094770828761488
17,2,0,1.0
17,2,1,0.9098986668130863
17,2,2,0.4825424419221451
17,2,3,0.6947502040914935
17,2,4,1.3991510584944469
17,2,5,0.6349905104950143
17,2,6,1.3094770828761488
17,2,7,0.9944613845024063
17,2,8,0.5840623899878508
17,3,0,1.0
17,3,1,0.440974840773621
17,3,2,0.6320929016482444
17,3,3,0.9098986668130863
17,3,4,0.40275068857836505
17,3,5,0.7921365868940436
17,3,6,0.4825424419221451
17,3,7,0.4489978065992686
17,3,8,1.3759590406218694
17,3,9,0.6947502040914935
17,3,10,0.5815597718486216
17,3,11,0.6642623211269063
17,3,12,1.3991510584944469
17,3,13,0.33500021573515076
17,3,14,1.1019974882939643
17,3,15,0.6349905104950143
17,3,16,0.4055841861089351
17,3,17,0.9832209964314713
17,3,18,1.3094770828761488
17,3,19,0.4523284619039364
17,3,20,0.6955044466964768
17,3,21,0.9944613845024063
17,3,22,0.35731706089663484
17,3,23,0.6908916056677148
17,3,24,0.5840623899878508
17,3,25,0.5070956610247199
17,3,26,0.9722019943643666
17,4,0,1.0
17,4,1,0.9643331911347397
17,4,2,0.3061314465791107
17,4,3,0.440974840773621
17,4,4,0.5351023111866348
17,4,5,0.2815068117150665
17,4,6,0.6320929016482444
17,4,7,1.0512845382666574
17,4,8,0.3039676766635126
17,4,9,0.9098986668130863
17,4,10,0.7333602923030336
17,4,11,0.4356792473922678
17,4,12,0.40275068857836505
17,4,13,0.5429718900196487
17,4,14,0.3117089016990203
17,4,15,0.7921365868940436
17,4,16,1.04916623603451
17,4,17,0.2479584184575345
17,4,18,0.4825424419221451
17,4,19,0.47980950640252673
17,4,20,0.40383776516503694
17,4,21,0.4489978065992686
17,4,22,0.46132421668889717
17,4,23,0.3520875989336036
17,4,24,1.3759590406218694
17,4,25,0.7805805274063906
17,4,26,0.23711464915478025
17,4,27,0.6947502040914935
17,4,28,0.7738721832857292
17,4,29,0.32008038618441315
17,4,30,0.5815597718486216
17,4,31,0.4389608214339393
17,4,32,0.36920013572994187
17,4,33,0.6642623211269063
17,4,34,0.6830991452080262
17,4,35,0.27953337994283906
17,4,36,1.3991510584944469
17,4,37,0.6666413596349877
17,4,38,0.31401103307159167
17,4,39,0.33500021573515076
17,4,40,0.5071333046921394
17,4,41,0.3458058742161053
17,4,42,1.1019974882939643
17,4,43,0.9560945452626127
17,4,44,0.255907690437753
17,4,45,0.6349905104950143
17,4,46,0.539740847927224
17,4,47,0.5119410617389775
17,4,48,0.4055841861089351
17,4,49,0.4842831896694659
17,4,50,0.4242462960427933
17,4,51,0.9832209964314713
17,4,52,0.6753923472173126
17,4,53,0.24122688963761083
17,4,54,1.3094770828761488
17,4,55,0.7656007469739449
17,4,56,0.3130107623765051
17,4,57,0.4523284619039364
17,4,58,0.5060746035090232
17,4,59,0.30396102140965026
17,4,60,0.6955044466964768
17,4,61,0.7627809377285408
17,4,62,0.31138946936246553
17,4,63,0.9944613845024063
17,4,64,0.5501959246370577
17,4,65,0.31720303775294434
17,4,66,0.35731706089663484
17,4,67,0.48305581467449304
17,4,68,0.3124890202499318
17,4,69,0.6908916056677148
17,4,70,1.4420187402955968
17,4,71,0.2558493370146375
17,4,72,0.5840623899878508
17,4,73,0.5185201658053838
17,4,74,0.4229885977682456
17,4,75,0.5070956610247199
17,4,76,0.6026824204033191
17,4,77,0.3665546837181352
17,4,78,0.9722019943643666
17,4,79,0.7720196430453681
17,4,80,0.232459207939118
18,1,0,1.0
18,1,1,1.3083086208432
18,1,2,0.6930151190092075
18,2,0,1.0
18,2,1,0.48017886768092705
18,2,2,1.4009619151706496
18,2,3,1.3083086208432
18,2,4,0.5806847522914408
18,2,5,0.9067653027170854
18,2,6,0.6930151190092075
18,2,7,0.6353997197330437
18,2,8,0.993250135977293
18,3,0,1.0
18,3,1,0.6283787179057034
18,3,2,0.4002428191797437
18,3,3,0.48017886768092705
18,3,4,1.387575281957808
18,3,5,0.5763705439284247
18,3,6,1.4009619151706496
18,3,7,1.1106764437833956
18,3,8,0.4023005141737937
18,3,9,1.3083086208432
18,3,10,0.693003805948535
18,3,11,0.3533712504809512
18,3,12,0.5806847522914408
18,3,13,0.9710123048433601
18,3,14,0.4402344478575519
18,3,15,0.9067653027170854
18,3,16,0.7953738348866884
18,3,17,0.44608198164569357
18,3,18,0.6930151190092075
18,3,19,0.6636470023736895
18,3,20,0.33261735524814084
18,3,21,0.6353997197330437
18,3,22,0.9832081137840553
18,3,23,0.45237898575157753
18,3,24,0.993250135977293
18,3,25,0.6883449311717755
