k,center,j,count,mass_frac,mean_osc,mw_mean_osc,p_osc_gt_02,mass_osc_gt_02,max_osc
16,minus1,6,13122,1.260222e-02,9.450473e-02,1.123858e-01,5.608901e-02,1.493754e-03,4.034639e-01
16,minus1,7,4374,5.758186e-03,1.055449e-01,1.244080e-01,8.504801e-02,9.392307e-04,3.847154e-01
16,minus1,8,1458,2.611141e-03,1.176934e-01,1.383079e-01,1.330590e-01,5.754349e-04,3.879066e-01
16,minus1,9,486,1.176101e-03,1.354376e-01,1.570124e-01,2.181070e-01,3.771625e-04,4.089086e-01
16,minus1,10,162,5.239330e-04,1.452393e-01,1.705181e-01,2.407407e-01,1.809980e-04,4.039430e-01
16,inv4_n1,1,3188646,6.077646e-01,6.519415e-02,8.379459e-02,1.524001e-02,3.202263e-02,6.066387e-01
16,inv4_n1,2,1062882,2.018437e-01,6.065001e-02,7.181088e-02,1.134275e-02,6.406257e-03,3.766563e-01
16,inv4_n1,3,354294,1.008968e-01,6.365047e-02,7.447631e-02,1.324324e-02,3.494897e-03,3.652935e-01
16,inv4_n1,4,118098,4.797205e-02,6.914707e-02,8.023849e-02,1.779878e-02,2.063230e-03,3.704684e-01
16,inv4_n1,5,39366,2.245186e-02,7.570808e-02,8.705702e-02,2.443733e-02,1.217013e-03,3.675488e-01
16,inv4_n1,6,13122,1.039908e-02,8.349473e-02,9.509806e-02,3.612254e-02,7.555763e-04,3.823296e-01
16,inv4_n1,7,4374,4.762450e-03,9.205734e-02,1.041606e-01,5.052583e-02,4.388314e-04,3.708232e-01
16,inv4_n1,8,1458,2.162523e-03,1.035681e-01,1.158269e-01,7.818930e-02,2.732753e-04,3.644293e-01
16,inv4_n1,9,486,9.744725e-04,1.161335e-01,1.290850e-01,1.358025e-01,1.845009e-04,3.600489e-01
16,inv4_n1,10,162,4.346493e-04,1.283860e-01,1.422295e-01,1.851852e-01,1.100372e-04,3.656554e-01
16,inv4_n2,1,3188646,8.856714e-01,6.519415e-02,8.133799e-02,1.524001e-02,4.270294e-02,6.066387e-01
16,inv4_n2,2,1062882,5.883332e-02,6.065001e-02,7.181088e-02,1.134275e-02,1.867293e-03,3.766564e-01
16,inv4_n2,3,354294,2.940935e-02,6.365047e-02,7.447631e-02,1.324324e-02,1.018691e-03,3.652935e-01
16,inv4_n2,4,118098,1.398287e-02,6.914707e-02,8.023849e-02,1.779878e-02,6.013895e-04,3.704684e-01
16,inv4_n2,5,39366,6.544259e-03,7.570808e-02,8.705702e-02,2.443733e-02,3.547344e-04,3.675487e-01
16,inv4_n2,6,13122,3.031119e-03,8.349473e-02,9.509805e-02,3.612254e-02,2.202350e-04,3.823297e-01
16,inv4_n2,7,4374,1.388157e-03,9.205734e-02,1.041606e-01,5.052583e-02,1.279104e-04,3.708233e-01
16,inv4_n2,8,1458,6.303314e-04,1.035681e-01,1.158269e-01,7.818930e-02,7.965417e-05,3.644293e-01
16,inv4_n2,9,486,2.840388e-04,1.161334e-01,1.290850e-01,1.358025e-01,5.377824e-05,3.600489e-01
16,inv4_n2,10,162,1.266914e-04,1.283860e-01,1.422295e-01,1.851852e-01,3.207358e-05,3.656554e-01
16,inv4_n3,1,3188646,5.065640e-01,6.266021e-02,7.596556e-02,1.300991e-02,1.946790e-02,3.823297e-01
16,inv4_n3,2,1062882,4.245365e-01,7.081200e-02,8.770477e-02,2.027412e-02,2.538185e-02,6.066387e-01
16,inv4_n3,3,354294,4.545627e-02,6.199157e-02,7.428317e-02,1.231745e-02,1.614506e-03,3.742960e-01
16,inv4_n3,4,118098,1.643808e-02,6.171208e-02,7.111394e-02,1.209165e-02,4.892809e-04,3.578727e-01
16,inv4_n3,5,39366,4.090754e-03,5.551550e-02,6.045047e-02,6.198242e-03,5.343064e-05,3.222755e-01
16,inv4_n3,6,13122,1.778675e-03,6.155427e-02,6.863769e-02,9.525987e-03,3.711209e-05,3.080133e-01
16,inv4_n3,7,4374,6.420787e-04,6.587586e-02,7.279522e-02,1.303155e-02,1.677634e-05,3.166909e-01
16,inv4_n3,8,1458,2.955605e-04,7.766859e-02,8.476587e-02,2.400549e-02,1.263551e-05,3.180082e-01
16,inv4_n3,9,486,1.130666e-04,8.756494e-02,9.654713e-02,4.526749e-02,8.161554e-06,3.004993e-01
16,inv4_n3,10,162,5.003616e-05,1.010236e-01,1.106596e-01,7.407407e-02,5.626798e-06,3.150737e-01
17,minus1,1,9565938,5.045495e-01,5.733443e-02,7.017983e-02,9.809179e-03,1.575599e-02,3.877945e-01
17,minus1,2,3188646,2.596683e-01,5.908579e-02,7.284468e-02,1.062771e-02,8.838819e-03,3.887475e-01
17,minus1,3,1062882,1.250934e-01,6.381869e-02,7.837332e-02,1.377952e-02,5.223782e-03,3.872263e-01
17,minus1,4,354294,5.919080e-02,6.997560e-02,8.546805e-02,1.899835e-02,3.138656e-03,3.843118e-01
17,minus1,5,118098,2.776579e-02,7.705350e-02,9.328626e-02,2.667276e-02,1.906851e-03,3.846918e-01
17,minus1,6,39366,1.287652e-02,8.548393e-02,1.026828e-01,3.909465e-02,1.180729e-03,3.845806e-01
17,minus1,7,13122,5.925376e-03,9.528769e-02,1.134775e-01,5.944216e-02,7.405206e-04,3.852059e-01
17,minus1,8,4374,2.707534e-03,1.065324e-01,1.257559e-01,8.733425e-02,4.492539e-04,4.025126e-01
17,minus1,9,1458,1.229500e-03,1.190050e-01,1.401107e-01,1.385460e-01,2.847724e-04,3.955321e-01
17,minus1,10,486,5.538050e-04,1.369926e-01,1.584739e-01,2.242798e-01,1.826073e-04,4.058701e-01
17,inv4_n1,1,9565938,6.084292e-01,5.955688e-02,7.721707e-02,1.133407e-02,2.567216e-02,6.138619e-01
17,inv4_n1,2,3188646,2.006193e-01,5.554809e-02,6.640697e-02,8.620273e-03,5.225673e-03,3.858104e-01
17,inv4_n1,3,1062882,1.006990e-01,5.819765e-02,6.879511e-02,1.005756e-02,2.865466e-03,3.838675e-01
17,inv4_n1,4,354294,4.811897e-02,6.316028e-02,7.397388e-02,1.319808e-02,1.662978e-03,3.780158e-01
17,inv4_n1,5,118098,2.264959e-02,6.888045e-02,8.000555e-02,1.801047e-02,9.876655e-04,3.770633e-01
17,inv4_n1,6,39366,1.055688e-02,7.577300e-02,8.722454e-02,2.525022e-02,5.866898e-04,3.735194e-01
17,inv4_n1,7,13122,4.868729e-03,8.406154e-02,9.583705e-02,3.589392e-02,3.509623e-04,3.748660e-01
17,inv4_n1,8,4374,2.227598e-03,9.302059e-02,1.053540e-01,5.372657e-02,2.167300e-04,3.877944e-01
17,inv4_n1,9,1458,1.011970e-03,1.045342e-01,1.171797e-01,7.956104e-02,1.300680e-04,3.721720e-01
17,inv4_n1,10,486,4.563691e-04,1.170027e-01,1.300261e-01,1.316872e-01,8.460597e-05,3.591934e-01
