metric,bin_log2_lo,count,ccdf
tau,0,458323,0.083333833
tau,1,35012,0.013308293
tau,2,6343,0.00062201368
tau,3,297,2.8000616e-05
tau,4,14,0
tc,0,250000,0.40650987
tc,1,62502,0.2581326
tc,2,63081,0.10838079
tc,3,44105,0.0036772648
tc,4,1511,9.0210499e-05
tc,5,38,0
h,0,456587,0.086826
h,1,1,0.086824
h,2,1,0.086822
h,3,39414,0.007994
h,4,0,0.007994
h,5,0,0.007994
h,6,0,0.007994
h,7,3620,0.000754
h,8,0,0.000754
h,9,0,0.000754
h,10,342,7e-05
h,11,0,7e-05
h,12,0,7e-05
h,13,0,7e-05
h,14,33,4e-06
h,15,0,4e-06
h,16,0,4e-06
h,17,2,0
