metric,bin_log2_lo,count,ccdf
tau,0,374997,0.2500015
tau,1,70313,0.10937466
tau,2,38732,0.031910191
tau,3,13643,0.0046240277
tau,4,2226,0.00017200103
tau,5,86,0
tc,0,250000,0.43214728
tc,1,62500,0.2901841
tc,2,50790,0.17481914
tc,3,41239,0.081148425
tc,4,29219,0.014780071
tc,5,6324,0.00041566819
tc,6,183,0
h,0,361665,0.27667
h,1,10,0.27665
h,2,93741,0.089168
h,3,51,0.089066
h,4,29738,0.02959
h,5,89,0.029412
h,6,9741,0.00993
h,7,92,0.009746
h,8,3208,0.00333
h,9,100,0.00313
h,10,1002,0.001126
h,11,76,0.000974
h,12,305,0.000364
h,13,35,0.000294
h,14,75,0.000144
h,15,18,0.000108
h,16,28,5.2e-05
h,17,14,2.4e-05
h,18,8,8e-06
h,19,2,4e-06
h,20,0,4e-06
h,21,2,0
