metric,bin_log2_lo,count,ccdf
tau,0,416662,0.16666767
tau,1,57871,0.050924509
tau,2,21666,0.0075920759
tau,3,3619,0.00035400354
tau,4,177,0
tc,0,250000,0.42147039
tc,1,62502,0.27683336
tc,2,51107,0.15856571
tc,3,51630,0.039087775
tc,4,16546,0.00079837086
tc,5,345,0
h,0,410080,0.17984
h,1,1,0.179838
h,2,72107,0.035624
h,3,5,0.035614
h,4,0,0.035614
h,5,14296,0.007022
h,6,0,0.007022
h,7,2714,0.001594
h,8,99,0.001396
h,9,0,0.001396
h,10,558,0.00028
h,11,0,0.00028
h,12,0,0.00028
h,13,113,5.4e-05
h,14,0,5.4e-05
h,15,24,6e-06
h,16,0,6e-06
h,17,0,6e-06
h,18,3,0
