metric,bin_log2_lo,count,ccdf
tau,0,83332,0.16668833
tau,1,11575,0.050939491
tau,2,4348,0.0074599254
tau,3,722,0.0002399976
tau,4,24,0
tc,0,250000,0.43507549
tc,1,62502,0.29383984
tc,2,50777,0.17909915
tc,3,38526,0.092042021
tc,4,28365,0.027945686
tc,5,12348,4.2934263e-05
tc,6,19,0
h,0,83337,0.833326
h,1,0,0.833326
h,2,13442,0.806442
h,3,0,0.806442
h,4,0,0.806442
h,5,2593,0.801256
h,6,0,0.801256
h,7,502,0.800252
h,8,8,0.800236
h,9,0,0.800236
h,10,100,0.800036
h,11,0,0.800036
h,12,0,0.800036
h,13,20,0.799996
h,14,0,0.799996
h,15,4,0.799988
h,16,0,0.799988
h,17,0,0.799988
h,18,0,0.799988
h,19,0,0.799988
h,20,0,0.799988
h,21,0,0.799988
h,22,0,0.799988
h,23,0,0.799988
h,24,0,0.799988
h,25,0,0.799988
h,26,0,0.799988
h,27,0,0.799988
h,28,0,0.799988
h,29,0,0.799988
h,30,0,0.799988
h,31,0,0.799988
h,32,0,0.799988
h,33,0,0.799988
h,34,0,0.799988
h,35,0,0.799988
h,36,0,0.799988
h,37,0,0.799988
h,38,0,0.799988
h,39,0,0.799988
h,40,0,0.799988
h,41,0,0.799988
h,42,0,0.799988
h,43,0,0.799988
h,44,0,0.799988
h,45,0,0.799988
h,46,0,0.799988
h,47,0,0.799988
h,48,0,0.799988
h,49,0,0.799988
h,50,0,0.799988
h,51,0,0.799988
h,52,0,0.799988
h,53,0,0.799988
h,54,0,0.799988
h,55,0,0.799988
h,56,0,0.799988
h,57,0,0.799988
h,58,0,0.799988
h,59,0,0.799988
h,60,0,0.799988
h,61,0,0.799988
h,62,0,0.799988
h,63,0,0.799988
h,64,0,0.799988
h,65,0,0.799988
h,66,0,0.799988
h,67,0,0.799988
h,68,0,0.799988
h,69,0,0.799988
h,70,0,0.799988
h,71,0,0.799988
h,72,0,0.799988
h,73,0,0.799988
h,74,0,0.799988
h,75,0,0.799988
h,76,0,0.799988
h,77,0,0.799988
h,78,0,0.799988
h,79,0,0.799988
h,80,0,0.799988
h,81,129128,0.541732
h,82,3841,0.53405
h,83,992,0.532066
h,84,222950,0.086166
h,85,36,0.086094
h,86,26644,0.032806
h,87,9493,0.01382
h,88,0,0.01382
h,89,5765,0.00229
h,90,33,0.002224
h,91,81,0.002062
h,92,857,0.000348
h,93,0,0.000348
h,94,141,6.6e-05
h,95,12,4.2e-05
h,96,0,4.2e-05
h,97,20,2e-06
h,98,0,2e-06
h,99,1,0
