metric,bin_log2_lo,count,ccdf
tau,0,250000,0.499997
tau,1,125000,0.2499955
tau,2,74218,0.10155861
tau,3,31018,0.039522237
tau,4,14183,0.011156067
tau,5,4716,0.0017240103
tau,6,851,2.2000132e-05
tau,7,11,0
tc,0,250000,0.5
tc,1,62500,0.375
tc,2,50783,0.273434
tc,3,38537,0.19636
tc,4,28562,0.139236
tc,5,56030,0.027176
tc,6,13588,0
h,0,375001,0.249998
h,1,81350,0.087298
h,2,22828,0.041642
h,3,10000,0.021642
h,4,5673,0.010296
h,5,2569,0.005158
h,6,1288,0.002582
h,7,603,0.001376
h,8,322,0.000732
h,9,188,0.000356
h,10,104,0.000148
h,11,46,5.6e-05
h,12,17,2.2e-05
h,13,7,8e-06
h,14,4,0
