metric,bin_log2_lo,count,ccdf
tau,0,374988,0.2500015
tau,1,70321,0.10935528
tau,2,38246,0.032860986
tau,3,13942,0.0049761493
tau,4,2373,0.0002300069
tau,5,114,2.00006e-06
tau,6,1,0
tc,0,250000,0.43253267
tc,1,62500,0.29066584
tc,2,59985,0.15450773
tc,3,48924,0.043456648
tc,4,18066,0.002449189
tc,5,1076,6.8096079e-06
tc,6,3,0
h,0,346358,0.307284
h,1,373,0.306538
h,2,58,0.306422
h,3,65,0.306292
h,4,93568,0.119156
h,5,9361,0.100434
h,6,3982,0.09247
h,7,647,0.091176
h,8,29579,0.032018
h,9,914,0.03019
h,10,375,0.02944
h,11,77,0.029286
h,12,9899,0.009488
h,13,46,0.009396
h,14,16,0.009364
h,15,0,0.009364
h,16,3080,0.003204
h,17,5,0.003194
h,18,2,0.00319
h,19,1,0.003188
h,20,1049,0.00109
h,21,0,0.00109
h,22,0,0.00109
h,23,0,0.00109
h,24,389,0.000312
h,25,0,0.000312
h,26,0,0.000312
h,27,0,0.000312
h,28,96,0.00012
h,29,0,0.00012
h,30,0,0.00012
h,31,0,0.00012
h,32,30,6e-05
h,33,0,6e-05
h,34,0,6e-05
h,35,0,6e-05
h,36,21,1.8e-05
h,37,0,1.8e-05
h,38,0,1.8e-05
h,39,0,1.8e-05
h,40,4,1e-05
h,41,0,1e-05
h,42,0,1e-05
h,43,0,1e-05
h,44,2,6e-06
h,45,0,6e-06
h,46,0,6e-06
h,47,0,6e-06
h,48,1,4e-06
h,49,0,4e-06
h,50,0,4e-06
h,51,0,4e-06
h,52,2,0
