metric,bin_log2_lo,count,ccdf
tau,0,250000,0.39348064
tau,1,62500,0.24185081
tau,2,50780,0.11865459
tau,3,19841,0.070518792
tau,4,14936,0.0342829
tau,5,8651,0.013294904
tau,6,3978,0.0036439683
tau,7,1358,0.00034935515
tau,8,142,4.8521548e-06
tau,9,2,0
tc,0,250000,0.48291981
tc,1,62500,0.35364976
tc,2,50783,0.24861423
tc,3,38528,0.16892596
tc,4,28506,0.10996641
tc,5,22053,0.064353732
tc,6,18164,0.026784754
tc,7,8878,0.0084222022
tc,8,4072,0
h,0,6507,0.986986
h,1,176559,0.633868
h,2,74733,0.484402
h,3,33294,0.417814
h,4,21733,0.374348
h,5,16429,0.34149
h,6,10875,0.31974
h,7,8059,0.303622
h,8,6604,0.290414
h,9,5738,0.278938
h,10,5393,0.268152
h,11,3539,0.261074
h,12,2913,0.255248
h,13,2403,0.250442
h,14,2072,0.246298
h,15,1844,0.24261
h,16,1698,0.239214
h,17,1474,0.236266
h,18,1260,0.233746
h,19,1344,0.231058
h,20,959,0.22914
h,21,764,0.227612
h,22,735,0.226142
h,23,643,0.224856
h,24,581,0.223694
h,25,532,0.22263
h,26,528,0.221574
h,27,399,0.220776
h,28,390,0.219996
h,29,431,0.219134
h,30,281,0.218572
h,31,286,0.218
h,32,318,0.217364
h,33,284,0.216796
h,34,325,0.216146
h,35,367,0.215412
h,36,411,0.21459
h,37,387,0.213816
h,38,503,0.21281
h,39,366,0.212078
h,40,266,0.211546
h,41,213,0.21112
h,42,151,0.210818
h,43,150,0.210518
h,44,147,0.210224
h,45,181,0.209862
h,46,156,0.20955
h,47,213,0.209124
h,48,169,0.208786
h,49,169,0.208448
h,50,182,0.208084
h,51,181,0.207722
h,52,147,0.207428
h,53,134,0.20716
h,54,117,0.206926
h,55,120,0.206686
h,56,94,0.206498
h,57,57,0.206384
h,58,32,0.20632
h,59,21,0.206278
h,60,15,0.206248
h,61,36,0.206176
h,62,65,0.206046
h,63,112,0.205822
h,64,126,0.20557
h,65,103,0.205364
h,66,118,0.205128
h,67,92,0.204944
h,68,75,0.204794
h,69,49,0.204696
h,70,40,0.204616
h,71,59,0.204498
h,72,50,0.204398
h,73,29,0.20434
h,74,38,0.204264
h,75,47,0.20417
h,76,91,0.203988
h,77,91,0.203806
h,78,116,0.203574
h,79,126,0.203322
h,80,90,0.203142
h,81,23406,0.15633
h,82,38281,0.079768
h,83,20224,0.03932
h,84,10083,0.019154
h,85,4892,0.00937
h,86,2399,0.004572
h,87,1164,0.002244
h,88,596,0.001052
h,89,268,0.000516
h,90,137,0.000242
h,91,65,0.000112
h,92,26,6e-05
h,93,16,2.8e-05
h,94,6,1.6e-05
h,95,7,2e-06
h,96,1,0
