metric,bin_log2_lo,count,ccdf
tau,0,250000,0.16612465
tau,1,0,0.16612465
tau,2,42968,0.022804823
tau,3,4970,0.0062273811
tau,4,1598,0.00089724988
tau,5,262,2.334851e-05
tau,6,7,0
tc,0,250000,0.45900444
tc,1,62500,0.32375555
tc,2,50784,0.21385987
tc,3,38523,0.13049679
tc,4,28121,0.069643441
tc,5,20196,0.025939655
tc,6,11987,0
h,0,51,0.999898
h,1,5,0.999888
h,2,35157,0.929574
h,3,67025,0.795524
h,4,5396,0.784732
h,5,32766,0.7192
h,6,20825,0.67755
h,7,954,0.675642
h,8,14062,0.647518
h,9,10485,0.626548
h,10,126,0.626296
h,11,8145,0.610006
h,12,6589,0.596828
h,13,35,0.596758
h,14,5466,0.585826
h,15,4642,0.576542
h,16,8,0.576526
h,17,4007,0.568512
h,18,3531,0.56145
h,19,3089,0.555272
h,20,0,0.555272
h,21,2714,0.549844
h,22,2435,0.544974
h,23,0,0.544974
h,24,2257,0.54046
h,25,2084,0.536292
h,26,0,0.536292
h,27,1848,0.532596
h,28,1737,0.529122
h,29,0,0.529122
h,30,1592,0.525938
h,31,1542,0.522854
h,32,2,0.52285
h,33,1374,0.520102
h,34,1348,0.517406
h,35,5,0.517396
h,36,1217,0.514962
h,37,1174,0.512614
h,38,1064,0.510486
h,39,0,0.510486
h,40,994,0.508498
h,41,956,0.506586
h,42,0,0.506586
h,43,857,0.504872
h,44,817,0.503238
h,45,0,0.503238
h,46,780,0.501678
h,47,795,0.500088
h,48,0,0.500088
h,49,728,0.498632
h,50,684,0.497264
h,51,2,0.49726
h,52,652,0.495956
h,53,627,0.494702
h,54,599,0.493504
h,55,0,0.493504
h,56,591,0.492322
h,57,558,0.491206
h,58,0,0.491206
h,59,549,0.490108
h,60,542,0.489024
h,61,0,0.489024
h,62,513,0.487998
h,63,477,0.487044
h,64,0,0.487044
h,65,467,0.48611
h,66,447,0.485216
h,67,1,0.485214
h,68,435,0.484344
h,69,425,0.483494
h,70,0,0.483494
h,71,445,0.482604
h,72,396,0.481812
h,73,403,0.481006
h,74,0,0.481006
h,75,368,0.48027
h,76,377,0.479516
h,77,0,0.479516
h,78,354,0.478808
h,79,343,0.478122
h,80,0,0.478122
h,81,30934,0.416254
h,82,68477,0.2793
h,83,66146,0.147008
h,84,36771,0.073466
h,85,18434,0.036598
h,86,9228,0.018142
h,87,4530,0.009082
h,88,2337,0.004408
h,89,1134,0.00214
h,90,523,0.001094
h,91,270,0.000554
h,92,155,0.000244
h,93,60,0.000124
h,94,31,6.2e-05
h,95,16,3e-05
h,96,7,1.6e-05
h,97,5,6e-06
h,98,1,4e-06
h,99,2,0
