metric,bin_log2_lo,count,ccdf
tau,0,374994,0.2500015
tau,1,70314,0.10937153
tau,2,38779,0.031812445
tau,3,13550,0.004712066
tau,4,2260,0.00019200269
tau,5,96,0
tc,0,250000,0.45363551
tc,1,62503,0.31703783
tc,2,50577,0.20650392
tc,3,59859,0.075684595
tc,4,30788,0.008398715
tc,5,3835,1.7483664e-05
tc,6,8,0
h,0,357280,0.28544
h,1,58,0.285324
h,2,23,0.285278
h,3,98935,0.087408
h,4,12,0.087384
h,5,4,0.087376
h,6,29295,0.028786
h,7,2,0.028782
h,8,0,0.028782
h,9,9590,0.009602
h,10,0,0.009602
h,11,0,0.009602
h,12,3312,0.002978
h,13,0,0.002978
h,14,0,0.002978
h,15,1015,0.000948
h,16,0,0.000948
h,17,0,0.000948
h,18,329,0.00029
h,19,0,0.00029
h,20,0,0.00029
h,21,105,8e-05
h,22,0,8e-05
h,23,0,8e-05
h,24,31,1.8e-05
h,25,0,1.8e-05
h,26,0,1.8e-05
h,27,4,1e-05
h,28,0,1e-05
h,29,0,1e-05
h,30,3,4e-06
h,31,0,4e-06
h,32,0,4e-06
h,33,0,4e-06
h,34,0,4e-06
h,35,0,4e-06
h,36,1,2e-06
h,37,0,2e-06
h,38,0,2e-06
h,39,1,0
