metric,bin_log2_lo,count,ccdf
tau,0,374991,0.2500015
tau,1,70320,0.10935841
tau,2,38440,0.032476714
tau,3,13827,0.0048221061
tau,4,2300,0.00022200488
tau,5,111,0
tc,0,250000,0.41839906
tc,1,62502,0.27299417
tc,2,57108,0.14013791
tc,3,48274,0.027833094
tc,4,11321,0.0014958776
tc,5,641,4.6528075e-06
tc,6,2,0
h,0,351276,0.297448
h,1,96,0.297256
h,2,1391,0.294474
h,3,98455,0.097564
h,4,1968,0.093628
h,5,1043,0.091542
h,6,510,0.090522
h,7,29781,0.03096
h,8,226,0.030508
h,9,106,0.030296
h,10,9662,0.010972
h,11,17,0.010938
h,12,7,0.010924
h,13,5,0.010914
h,14,3714,0.003486
h,15,3,0.00348
h,16,1,0.003478
h,17,671,0.002136
h,18,537,0.001062
h,19,0,0.001062
h,20,0,0.001062
h,21,361,0.00034
h,22,0,0.00034
h,23,0,0.00034
h,24,0,0.00034
h,25,114,0.000112
h,26,0,0.000112
h,27,0,0.000112
h,28,20,7.2e-05
h,29,0,7.2e-05
h,30,0,7.2e-05
h,31,0,7.2e-05
h,32,24,2.4e-05
h,33,0,2.4e-05
h,34,0,2.4e-05
h,35,6,1.2e-05
h,36,5,2e-06
h,37,0,2e-06
h,38,0,2e-06
h,39,0,2e-06
h,40,0,2e-06
h,41,0,2e-06
h,42,0,2e-06
h,43,1,0
