metric,bin_log2_lo,count,ccdf
tau,0,83330,0.16619972
tau,1,11590,0.050230138
tau,2,4290,0.0073043826
tau,3,700,0.00030018011
tau,4,30,0
tc,0,250000,0.4228807
tc,1,62502,0.27859626
tc,2,50914,0.16106245
tc,3,38812,0.071465837
tc,4,26990,0.0091600375
tc,5,3968,0
h,0,45707,0.908586
h,1,0,0.908586
h,2,1,0.908584
h,3,19165,0.870254
h,4,36,0.870182
h,5,2,0.870178
h,6,7,0.870164
h,7,2921,0.864322
h,8,0,0.864322
h,9,0,0.864322
h,10,5648,0.853026
h,11,27,0.852972
h,12,14,0.852944
h,13,2,0.85294
h,14,656,0.851628
h,15,0,0.851628
h,16,0,0.851628
h,17,1894,0.84784
h,18,1075,0.84569
h,19,7,0.845676
h,20,2,0.845672
h,21,387,0.844898
h,22,0,0.844898
h,23,0,0.844898
h,24,0,0.844898
h,25,2016,0.840866
h,26,16,0.840834
h,27,0,0.840834
h,28,285,0.840264
h,29,0,0.840264
h,30,0,0.840264
h,31,0,0.840264
h,32,1515,0.837234
h,33,4,0.837226
h,34,0,0.837226
h,35,173,0.83688
h,36,62,0.836756
h,37,0,0.836756
h,38,0,0.836756
h,39,1238,0.83428
h,40,0,0.83428
h,41,0,0.83428
h,42,0,0.83428
h,43,182,0.833916
h,44,0,0.833916
h,45,0,0.833916
h,46,904,0.832108
h,47,2,0.832104
h,48,0,0.832104
h,49,0,0.832104
h,50,145,0.831814
h,51,0,0.831814
h,52,0,0.831814
h,53,662,0.83049
h,54,126,0.830238
h,55,0,0.830238
h,56,0,0.830238
h,57,141,0.829956
h,58,0,0.829956
h,59,0,0.829956
h,60,0,0.829956
h,61,698,0.82856
h,62,9,0.828542
h,63,3,0.828536
h,64,108,0.82832
h,65,4,0.828312
h,66,2,0.828308
h,67,0,0.828308
h,68,551,0.827206
h,69,2,0.827202
h,70,1,0.8272
h,71,83,0.827034
h,72,6,0.827022
h,73,1,0.82702
h,74,0,0.82702
h,75,513,0.825994
h,76,4,0.825986
h,77,0,0.825986
h,78,0,0.825986
h,79,94,0.825798
h,80,0,0.825798
h,81,25,0.825748
h,82,283473,0.258802
h,83,62,0.258678
h,84,5,0.258668
h,85,9,0.25865
h,86,118634,0.021382
h,87,18,0.021346
h,88,7,0.021332
h,89,9367,0.002598
h,90,431,0.001736
h,91,1,0.001734
h,92,2,0.00173
h,93,802,0.000126
h,94,4,0.000118
h,95,2,0.000114
h,96,27,6e-05
h,97,30,0
