metric,bin_log2_lo,count,ccdf
tau,0,437493,0.12500175
tau,1,47852,0.02929641
tau,2,13337,0.0026220367
tau,3,1283,5.6000784e-05
tau,4,28,0
tc,0,250000,0.41219208
tc,1,62503,0.26523304
tc,2,50502,0.14649114
tc,3,55769,0.015365299
tc,4,6436,0.00023277194
tc,5,99,0
h,0,433590,0.13282
h,1,1,0.132818
h,2,0,0.132818
h,3,56999,0.01882
h,4,0,0.01882
h,5,0,0.01882
h,6,8035,0.00275
h,7,0,0.00275
h,8,0,0.00275
h,9,1176,0.000398
h,10,0,0.000398
h,11,0,0.000398
h,12,176,4.6e-05
h,13,0,4.6e-05
h,14,0,4.6e-05
h,15,20,6e-06
h,16,0,6e-06
h,17,0,6e-06
h,18,3,0
