metric,bin_log2_lo,count,ccdf
tau,0,166664,0.33347997
tau,1,37036,0.18536619
tau,2,25648,0.08279511
tau,3,14114,0.026350624
tau,4,5391,0.0047910226
tau,5,1108,0.00035992657
tau,6,90,0
tc,0,250000,0.45469259
tc,1,62502,0.31836137
tc,2,50871,0.20740004
tc,3,38968,0.12240188
tc,4,28366,0.060529123
tc,5,19894,0.01713574
tc,6,7667,0.0004122524
tc,7,189,0
h,0,102513,0.794974
h,1,55,0.794864
h,2,52868,0.689128
h,3,437,0.688254
h,4,112,0.68803
h,5,19615,0.6488
h,6,20,0.64876
h,7,11867,0.625026
h,8,4318,0.61639
h,9,21,0.616348
h,10,5880,0.604588
h,11,119,0.60435
h,12,0,0.60435
h,13,6964,0.590422
h,14,40,0.590342
h,15,1714,0.586914
h,16,894,0.585126
h,17,3,0.58512
h,18,3611,0.577898
h,19,227,0.577444
h,20,16,0.577412
h,21,1407,0.574598
h,22,29,0.57454
h,23,1745,0.57105
h,24,872,0.569306
h,25,9,0.569288
h,26,955,0.567378
h,27,68,0.567242
h,28,184,0.566874
h,29,1724,0.563426
h,30,36,0.563354
h,31,470,0.562414
h,32,267,0.56188
h,33,1,0.561878
h,34,1380,0.559118
h,35,130,0.558858
h,36,103,0.558652
h,37,530,0.557592
h,38,13,0.557566
h,39,822,0.555922
h,40,375,0.555172
h,41,4,0.555164
h,42,410,0.554344
h,43,68,0.554208
h,44,235,0.553738
h,45,714,0.55231
h,46,30,0.55225
h,47,302,0.551646
h,48,170,0.551306
h,49,19,0.551268
h,50,689,0.54989
h,51,128,0.549634
h,52,112,0.54941
h,53,302,0.548806
h,54,13,0.54878
h,55,518,0.547744
h,56,254,0.547236
h,57,20,0.547196
h,58,306,0.546584
h,59,29,0.546526
h,60,215,0.546096
h,61,441,0.545214
h,62,49,0.545116
h,63,186,0.544744
h,64,97,0.54455
h,65,47,0.544456
h,66,468,0.54352
h,67,54,0.543412
h,68,81,0.54325
h,69,146,0.542958
h,70,18,0.542922
h,71,267,0.542388
h,72,130,0.542128
h,73,18,0.542092
h,74,182,0.541728
h,75,22,0.541684
h,76,126,0.541432
h,77,315,0.540802
h,78,12,0.540778
h,79,96,0.540586
h,80,58,0.54047
h,81,20269,0.499932
h,82,115915,0.268102
h,83,28217,0.211668
h,84,51152,0.109364
h,85,35997,0.03737
h,86,2577,0.032216
h,87,10981,0.010254
h,88,2469,0.005316
h,89,714,0.003888
h,90,1385,0.001118
h,91,161,0.000796
h,92,209,0.000378
h,93,133,0.000112
h,94,13,8.6e-05
h,95,33,2e-05
h,96,5,1e-05
h,97,3,4e-06
h,98,1,2e-06
h,99,1,0
