metric,bin_log2_lo,count,ccdf
tau,0,333325,0.33333533
tau,1,74091,0.18515007
tau,2,50955,0.083237831
tau,3,28276,0.026684587
tau,4,10921,0.0048421065
tau,5,2253,0.00033600739
tau,6,166,4.000088e-06
tau,7,2,0
tc,0,250000,0.43928713
tc,1,62502,0.29910443
tc,2,56075,0.17333653
tc,3,50036,0.061113217
tc,4,22846,0.0098730322
tc,5,4038,0.00081639794
tc,6,364,0
h,0,293798,0.412404
h,1,139,0.412126
h,2,796,0.410534
h,3,112514,0.185506
h,4,3364,0.178778
h,5,1873,0.175032
h,6,597,0.173838
h,7,44872,0.084094
h,8,382,0.08333
h,9,189,0.082952
h,10,20973,0.041006
h,11,25,0.040956
h,12,18,0.04092
h,13,5,0.04091
h,14,10572,0.019766
h,15,5,0.019756
h,16,2,0.019752
h,17,2333,0.015086
h,18,3096,0.008894
h,19,0,0.008894
h,20,0,0.008894
h,21,2390,0.004114
h,22,0,0.004114
h,23,0,0.004114
h,24,0,0.004114
h,25,1069,0.001976
h,26,0,0.001976
h,27,0,0.001976
h,28,480,0.001016
h,29,2,0.001012
h,30,0,0.001012
h,31,0,0.001012
h,32,281,0.00045
h,33,0,0.00045
h,34,0,0.00045
h,35,49,0.000352
h,36,67,0.000218
h,37,0,0.000218
h,38,0,0.000218
h,39,48,0.000122
h,40,0,0.000122
h,41,0,0.000122
h,42,0,0.000122
h,43,24,7.4e-05
h,44,0,7.4e-05
h,45,0,7.4e-05
h,46,16,4.2e-05
h,47,0,4.2e-05
h,48,0,4.2e-05
h,49,0,4.2e-05
h,50,14,1.4e-05
h,51,0,1.4e-05
h,52,0,1.4e-05
h,53,0,1.4e-05
h,54,0,1.4e-05
h,55,0,1.4e-05
h,56,0,1.4e-05
h,57,1,1.2e-05
h,58,0,1.2e-05
h,59,0,1.2e-05
h,60,0,1.2e-05
h,61,4,4e-06
h,62,0,4e-06
h,63,0,4e-06
h,64,2,0
