metric,bin_log2_lo,count,ccdf
tau,0,416657,0.16666767
tau,1,57873,0.05091912
tau,2,21461,0.0079961759
tau,3,3804,0.00038800854
tau,4,189,1.000022e-05
tau,5,5,0
tc,0,250000,0.43384861
tc,1,62502,0.29230623
tc,2,60704,0.15483561
tc,3,53412,0.033878499
tc,4,14820,0.00031704478
tc,5,140,0
h,0,408178,0.183644
h,1,200,0.183244
h,2,70,0.183104
h,3,73835,0.035434
h,4,32,0.03537
h,5,16,0.035338
h,6,8,0.035322
h,7,13956,0.00741
h,8,3,0.007404
h,9,1,0.007402
h,10,2931,0.00154
h,11,1,0.001538
h,12,0,0.001538
h,13,0,0.001538
h,14,578,0.000382
h,15,0,0.000382
h,16,0,0.000382
h,17,103,0.000176
h,18,47,8.2e-05
h,19,0,8.2e-05
h,20,0,8.2e-05
h,21,27,2.8e-05
h,22,0,2.8e-05
h,23,0,2.8e-05
h,24,0,2.8e-05
h,25,13,2e-06
h,26,0,2e-06
h,27,0,2e-06
h,28,0,2e-06
h,29,0,2e-06
h,30,0,2e-06
h,31,0,2e-06
h,32,1,0
