metric,bin_log2_lo,count,ccdf
tau,0,249996,0.4822277
tau,1,62499,0.35278462
tau,2,50760,0.24765445
tau,3,38749,0.16740053
tau,4,28453,0.10847089
tau,5,20079,0.066884825
tau,6,14268,0.037334051
tau,7,9023,0.018646314
tau,8,6375,0.0054429095
tau,9,2384,0.00050535385
tau,10,242,4.1422447e-06
tau,11,2,0
tc,0,250000,0.46559958
tc,1,62502,0.33199519
tc,2,50928,0.22313142
tc,3,39408,0.13889281
tc,4,26963,0.081256653
tc,5,16635,0.045697649
tc,6,9340,0.025732449
tc,7,8374,0.0078321726
tc,8,2894,0.0016459533
tc,9,662,0.00023086098
tc,10,108,0
h,0,208985,0.58203
h,1,78,0.581874
h,2,82745,0.416384
h,3,1168,0.414048
h,4,48,0.413952
h,5,44774,0.324404
h,6,150,0.324104
h,7,20429,0.283246
h,8,9122,0.265002
h,9,18,0.264966
h,10,18392,0.228182
h,11,1375,0.225432
h,12,132,0.225168
h,13,15234,0.1947
h,14,911,0.192878
h,15,5820,0.181238
h,16,5032,0.171174
h,17,180,0.170814
h,18,6651,0.157512
h,19,1847,0.153818
h,20,235,0.153348
h,21,6005,0.141338
h,22,861,0.139616
h,23,2243,0.13513
h,24,3213,0.128704
h,25,529,0.127646
h,26,3181,0.121284
h,27,1480,0.118324
h,28,387,0.11755
h,29,2788,0.111974
h,30,930,0.110114
h,31,1134,0.107846
h,32,1947,0.103952
h,33,633,0.102686
h,34,1551,0.099584
h,35,1168,0.097248
h,36,498,0.096252
h,37,1279,0.093694
h,38,690,0.092314
h,39,840,0.090634
h,40,1163,0.088308
h,41,588,0.087132
h,42,836,0.08546
h,43,897,0.083666
h,44,568,0.08253
h,45,875,0.08078
h,46,785,0.07921
h,47,552,0.078106
h,48,893,0.07632
h,49,464,0.075392
h,50,620,0.074152
h,51,543,0.073066
h,52,409,0.072248
h,53,548,0.071152
h,54,445,0.070262
h,55,2970,0.064322
h,56,1079,0.062164
h,57,865,0.060434
h,58,780,0.058874
h,59,693,0.057488
h,60,512,0.056464
h,61,472,0.05552
h,62,430,0.05466
h,63,297,0.054066
h,64,408,0.05325
h,65,392,0.052466
h,66,336,0.051794
h,67,436,0.050922
h,68,359,0.050204
h,69,386,0.049432
h,70,453,0.048526
h,71,392,0.047742
h,72,331,0.04708
h,73,304,0.046472
h,74,262,0.045948
h,75,237,0.045474
h,76,200,0.045074
h,77,242,0.04459
h,78,225,0.04414
h,79,260,0.04362
h,80,224,0.043172
h,81,2594,0.037984
h,82,5186,0.027612
h,83,6699,0.014214
h,84,3638,0.006938
h,85,1774,0.00339
h,86,871,0.001648
h,87,413,0.000822
h,88,221,0.00038
h,89,85,0.00021
h,90,46,0.000118
h,91,17,8.4e-05
h,92,23,3.8e-05
h,93,17,4e-06
h,94,0,4e-06
h,95,1,2e-06
h,96,1,0
