metric,bin_log2_lo,count,ccdf
tau,0,249999,0.28530262
tau,1,62499,0.10663042
tau,2,15625,0.061961652
tau,3,12686,0.025694903
tau,4,7061,0.0055089095
tau,5,1689,0.00068039463
tau,6,232,1.7152806e-05
tau,7,6,0
tc,0,250000,0.46900813
tc,1,62500,0.33626016
tc,2,50782,0.22840084
tc,3,38529,0.1465665
tc,4,28368,0.086313791
tc,5,20137,0.043543457
tc,6,14221,0.013338516
tc,7,6280,0
h,0,250000,0.5
h,1,62500,0.375
h,2,8936,0.357128
h,3,12066,0.332996
h,4,4699,0.323598
h,5,4261,0.315076
h,6,2509,0.310058
h,7,1855,0.306348
h,8,1120,0.304108
h,9,688,0.302732
h,10,379,0.301974
h,11,278,0.301418
h,12,167,0.301084
h,13,117,0.30085
h,14,75,0.3007
h,15,64,0.300572
h,16,31,0.30051
h,17,17,0.300476
h,18,21,0.300434
h,19,11,0.300412
h,20,5,0.300402
h,21,1,0.3004
h,22,2,0.300396
h,23,2,0.300392
h,24,0,0.300392
h,25,0,0.300392
h,26,0,0.300392
h,27,0,0.300392
h,28,0,0.300392
h,29,0,0.300392
h,30,0,0.300392
h,31,0,0.300392
h,32,0,0.300392
h,33,0,0.300392
h,34,0,0.300392
h,35,0,0.300392
h,36,0,0.300392
h,37,0,0.300392
h,38,0,0.300392
h,39,0,0.300392
h,40,0,0.300392
h,41,0,0.300392
h,42,0,0.300392
h,43,0,0.300392
h,44,0,0.300392
h,45,0,0.300392
h,46,0,0.300392
h,47,0,0.300392
h,48,0,0.300392
h,49,0,0.300392
h,50,0,0.300392
h,51,0,0.300392
h,52,0,0.300392
h,53,0,0.300392
h,54,0,0.300392
h,55,0,0.300392
h,56,0,0.300392
h,57,0,0.300392
h,58,0,0.300392
h,59,0,0.300392
h,60,0,0.300392
h,61,0,0.300392
h,62,0,0.300392
h,63,0,0.300392
h,64,0,0.300392
h,65,0,0.300392
h,66,0,0.300392
h,67,0,0.300392
h,68,0,0.300392
h,69,0,0.300392
h,70,0,0.300392
h,71,0,0.300392
h,72,0,0.300392
h,73,0,0.300392
h,74,0,0.300392
h,75,0,0.300392
h,76,0,0.300392
h,77,0,0.300392
h,78,0,0.300392
h,79,0,0.300392
h,80,0,0.300392
h,81,25616,0.24916
h,82,52109,0.144942
h,83,36167,0.072608
h,84,18124,0.03636
h,85,9005,0.01835
h,86,4635,0.00908
h,87,2272,0.004536
h,88,1129,0.002278
h,89,566,0.001146
h,90,298,0.00055
h,91,141,0.000268
h,92,70,0.000128
h,93,32,6.4e-05
h,94,20,2.4e-05
h,95,4,1.6e-05
h,96,5,6e-06
h,97,1,4e-06
h,98,2,0
