metric,bin_log2_lo,count,ccdf
tau,0,249999,0.5
tau,1,124999,0.250001
tau,2,74220,0.10156041
tau,3,31019,0.039522158
tau,4,14249,0.011024044
tau,5,4713,0.0015980064
tau,6,782,3.4000136e-05
tau,7,17,0
tc,0,250000,0.45439507
tc,1,62500,0.31799383
tc,2,50781,0.20716838
tc,3,38523,0.12309502
tc,4,28402,0.061109935
tc,5,20720,0.015890198
tc,6,7281,0
h,0,350015,0.29997
h,1,83196,0.133578
h,2,32746,0.068086
h,3,16513,0.03506
h,4,9096,0.016868
h,5,4251,0.008366
h,6,2057,0.004252
h,7,1077,0.002098
h,8,516,0.001066
h,9,267,0.000532
h,10,126,0.00028
h,11,83,0.000114
h,12,35,4.4e-05
h,13,6,3.2e-05
h,14,10,1.2e-05
h,15,6,0
