base	hi	c1	c2	c3	c4	c5	c6	c7	c8	overflow	cap	exc_log2	exc_argn
750000001	760000000	2898	5474	1114	0	0	0	0	0	9990514	0	121.3219	758065191
760000001	770000000	2967	3472	1043	0	0	0	0	0	9992518	0	121.3219	764654033
770000001	780000000	2982	5537	1092	0	0	0	0	0	9990389	0	121.3219	772102215
780000001	790000000	3587	4419	1346	0	0	0	0	0	9990648	0	121.3219	787219741
790000001	800000000	2194	4645	983	0	0	0	0	0	9992178	0	121.3219	794888329
800000001	810000000	3468	4294	1319	0	0	0	0	0	9990919	0	121.3219	802631653
810000001	820000000	2411	4821	1054	0	0	0	0	0	9991714	0	121.3219	813119529
820000001	830000000	3058	4200	1150	0	0	0	0	0	9991592	0	121.3219	821896183
830000001	840000000	2229	5043	1057	0	0	0	0	0	9991671	0	121.3219	836244745
840000001	850000000	3238	4061	1073	0	0	0	0	0	9991628	0	121.3219	841621503
850000001	860000000	2312	4957	1102	0	0	0	0	0	9991629	0	121.3219	853504863
860000001	870000000	3255	4078	1024	0	0	0	0	0	9991643	0	121.3219	861818981
870000001	880000000	2168	4692	1162	0	0	0	0	0	9991978	0	121.3219	877779741
880000001	890000000	3215	4131	928	0	0	0	0	0	9991726	0	121.3219	886330933
890000001	900000000	2294	4332	1135	0	0	0	0	0	9992239	0	121.3219	898846157
900000001	910000000	2945	3845	980	0	0	0	0	0	9992230	0	121.3219	907602345
910000001	920000000	2969	4656	1137	0	0	0	0	0	9991238	0	121.3219	911538641
920000001	930000000	2157	3544	818	0	0	0	0	0	9993481	0	121.3219	929385511
930000001	940000000	3139	3179	1065	0	0	0	0	0	9992617	0	121.3219	934386871
940000001	950000000	2517	5327	1181	0	0	0	0	0	9990975	0	121.3219	947581489
950000001	960000000	2847	2930	1075	0	0	0	0	0	9993148	0	121.3219	951690585
960000001	970000000	3053	3756	550	0	0	0	0	0	9992641	0	121.3219	969313991
970000001	980000000	2647	4979	1007	0	0	0	0	0	9991367	0	121.3219	979774893
980000001	990000000	2949	3816	1353	0	0	0	0	0	9991882	0	121.3219	984024487
990000001	1000000000	2064	5005	1082	0	0	0	0	0	9991849	0	121.3219	993610953
1000000001	1010000000	2918	3942	1483	0	0	0	0	0	9991657	0	121.3219	1002247277
1010000001	1020000000	2552	4847	1120	0	0	0	0	0	9991481	0	121.3219	1012006679
1020000001	1030000000	2306	4111	1251	0	0	0	0	0	9992332	0	121.3219	1027370229
1030000001	1040000000	3416	2730	751	0	0	0	0	0	9993103	0	121.3219	1031825093
1040000001	1050000000	1886	5550	847	0	0	0	0	0	9991717	0	121.3219	1041875441
1050000001	1060000000	3154	4241	1287	0	0	0	0	0	9991318	0	121.3219	1052026879
1060000001	1070000000	1940	4763	1113	0	0	0	0	0	9992184	0	121.3219	1066882153
1070000001	1080000000	1948	4164	1085	0	0	0	0	0	9992803	0	121.3219	1071508041
1080000001	1090000000	3620	2212	625	0	0	0	0	0	9993543	0	121.3219	1081946423
1090000001	1100000000	1782	5427	934	0	0	0	0	0	9991857	0	121.3219	1092486047
1100000001	1110000000	2152	3751	979	0	0	0	0	0	9993118	0	121.3219	1107913805
1110000001	1120000000	3169	3025	927	0	0	0	0	0	9992879	0	121.3219	1113877023
1120000001	1130000000	2310	4258	623	0	0	0	0	0	9992809	0	121.3219	1124727381
1130000001	1140000000	3310	3923	1048	0	0	0	0	0	9991719	0	121.3219	1135684149
1140000001	1150000000	2285	4891	1293	0	0	0	0	0	9991531	0	121.3219	1140610001
1150000001	1160000000	1893	3667	954	0	0	0	0	0	9993486	0	121.3219	1156715935
1160000001	1170000000	3204	1775	664	0	0	0	0	0	9994357	0	121.3219	1161731889
1170000001	1180000000	2288	4763	888	0	0	0	0	0	9992061	0	121.3219	1178136025
1180000001	1190000000	2354	4222	999	0	0	0	0	0	9992425	0	121.3219	1184474647
1190000001	1200000000	2758	2610	1194	0	0	0	0	0	9993438	0	121.3219	1194771807
1200000001	1210000000	3051	3702	510	0	0	0	0	0	9992737	0	121.3219	1201199917
1210000001	1220000000	1592	4785	1005	0	0	0	0	0	9992618	0	121.3219	1212904713
1220000001	1230000000	3024	3055	1324	0	0	0	0	0	9992597	0	121.3219	1224719733
1230000001	1240000000	2944	3427	712	0	0	0	0	0	9992917	0	121.3219	1230031021
1240000001	1250000000	1780	5147	945	0	0	0	0	0	9992128	0	121.3219	1247399967
1250000001	1260000000	2654	3139	1365	0	0	0	0	0	9992842	0	121.3219	1254112829
1260000001	1270000000	3058	3522	751	0	0	0	0	0	9992669	0	121.3219	1265012773
1270000001	1280000000	1650	5299	955	0	0	0	0	0	9992096	0	121.3219	1277337565
1280000001	1290000000	2525	3302	1390	0	0	0	0	0	9992783	0	121.3219	1289780703
1290000001	1300000000	3174	2971	816	0	0	0	0	0	9993039	0	121.3219	1295373125
1300000001	1310000000	1233	5749	871	0	0	0	0	0	9992147	0	121.3219	1302343529
1310000001	1320000000	2314	3519	1382	0	0	0	0	0	9992785	0	121.3219	1315033599
1320000001	1330000000	3477	2717	393	0	0	0	0	0	9993413	0	121.3219	1326463089
1330000001	1340000000	1528	5930	1259	0	0	0	0	0	9991283	0	121.3219	1333602041
1340000001	1350000000	1861	3633	1291	0	0	0	0	0	9993215	0	121.3219	1346592945
1350000001	1360000000	3417	2592	298	0	0	0	0	0	9993693	0	121.3219	1359712853
1360000001	1370000000	1990	5282	1371	0	0	0	0	0	9991357	0	121.3219	1365607559
1370000001	1380000000	1795	2231	174	0	0	0	0	0	9995800	0	121.3219	1378912887
1380000001	1390000000	3286	4520	1326	0	0	0	0	0	9990868	0	121.3219	1384891719
1390000001	1400000000	1831	2407	839	0	0	0	0	0	9994923	0	121.3219	1392346279
1400000001	1410000000	2081	4403	782	0	0	0	0	0	9992734	0	121.3219	1404446261
1410000001	1420000000	1942	3794	1034	0	0	0	0	0	9993230	0	121.3219	1412004991
1420000001	1430000000	3160	2393	1155	0	0	0	0	0	9993292	0	121.3219	1424279127
1430000001	1440000000	1966	4823	612	0	0	0	0	0	9992599	0	121.3219	1439651101
1440000001	1450000000	2113	4066	1092	0	0	0	0	0	9992729	0	121.3219	1445895093
1450000001	1460000000	3307	1941	245	0	0	0	0	0	9994507	0	121.3219	1452164517
1460000001	1470000000	2145	4211	1556	0	0	0	0	0	9992088	0	121.3219	1464784375
1470000001	1480000000	2115	2339	129	0	0	0	0	0	9995417	0	121.3219	1479055781
1480000001	1490000000	1857	4404	1068	0	0	0	0	0	9992671	0	121.3219	1487016837
1490000001	1500000000	2678	2459	1275	0	0	0	0	0	9993588	0	121.3219	1493464759
1500000001	1510000000	2437	4270	557	0	0	0	0	0	9992736	0	121.3219	1501502997
1510000001	1520000000	2087	4389	1253	0	0	0	0	0	9992271	0	121.3219	1516130421
1520000001	1530000000	3148	2307	275	0	0	0	0	0	9994270	0	121.3219	1522704029
1530000001	1540000000	1626	3107	1275	0	0	0	0	0	9993992	0	121.3219	1530900837
1540000001	1550000000	2958	3224	679	0	0	0	0	0	9993139	0	121.3219	1545814965
1550000001	1560000000	1640	5329	1053	0	0	0	0	0	9991978	0	121.3219	1559249959
1560000001	1570000000	2604	2164	470	0	0	0	0	0	9994762	0	121.3219	1566010685
1570000001	1580000000	2983	4895	1660	0	0	0	0	0	9990462	0	121.3219	1574440221
1580000001	1590000000	1918	2098	346	0	0	0	0	0	9995638	0	121.3219	1582913737
1590000001	1600000000	1622	4997	1145	0	0	0	0	0	9992236	0	121.3219	1596670809
1600000001	1610000000	2101	3307	1571	0	0	0	0	0	9993021	0	121.3219	1605265821
1610000001	1620000000	3286	3480	489	0	0	0	0	0	9992745	0	121.3219	1612226861
1620000001	1630000000	1710	3282	453	0	0	0	0	0	9994555	0	121.3219	1620904501
1630000001	1640000000	2246	4145	1183	0	0	0	0	0	9992426	0	121.3219	1634991397
1640000001	1650000000	1565	3526	1439	0	0	0	0	0	9993470	0	121.3219	1643791999
1650000001	1660000000	3250	3139	464	0	0	0	0	0	9993147	0	121.3219	1650919561
1660000001	1670000000	1534	3876	877	0	0	0	0	0	9993713	0	121.3219	1667002757
1670000001	1680000000	2168	3979	796	0	0	0	0	0	9993057	0	121.3219	1674227703
1680000001	1690000000	1615	3542	1356	0	0	0	0	0	9993487	0	121.3219	1683243045
1690000001	1700000000	3327	2839	380	0	0	0	0	0	9993454	0	121.3219	1690541607
1700000001	1710000000	1579	3722	944	0	0	0	0	0	9993755	0	121.3219	1707010597
1710000001	1720000000	2103	4062	805	0	0	0	0	0	9993030	0	121.3219	1714413361
1720000001	1730000000	1564	3686	1318	0	0	0	0	0	9993432	0	121.3219	1723640839
1730000001	1740000000	3424	2739	368	0	0	0	0	0	9993469	0	121.3219	1731114649
1740000001	1750000000	1548	2757	915	0	0	0	0	0	9994780	0	121.3219	1740432849
1750000001	1760000000	1884	4657	916	0	0	0	0	0	9992543	0	121.3219	1755558901
1760000001	1770000000	1739	4144	1219	0	0	0	0	0	9992898	0	121.3219	1765006377
1770000001	1780000000	3298	2428	308	0	0	0	0	0	9993966	0	121.3219	1772659735
1780000001	1790000000	1960	1721	991	0	0	0	0	0	9995328	0	121.3219	1780348909
1790000001	1800000000	1610	5112	746	0	0	0	0	0	9992532	0	121.3219	1797689309
1800000001	1810000000	1853	2543	349	0	0	0	0	0	9995255	0	121.3219	1807368649
1810000001	1820000000	2821	3579	1296	0	0	0	0	0	9992304	0	121.3219	1815206077
1820000001	1830000000	2265	1701	1078	0	0	0	0	0	9994956	0	121.3219	1824974121
1830000001	1840000000	2294	5690	709	0	0	0	0	0	9991307	0	121.3219	1830980469
1840000001	1850000000	1820	1051	132	0	0	0	0	0	9996997	0	121.3219	1842753341
1850000001	1860000000	1586	4324	1160	0	0	0	0	0	9992930	0	121.3219	1858770967
1860000001	1870000000	3138	2047	328	0	0	0	0	0	9994487	0	121.3219	1866830949
1870000001	1880000000	1817	3108	1337	0	0	0	0	0	9993738	0	121.3219	1876877997
1880000001	1890000000	2286	3539	623	0	0	0	0	0	9993552	0	121.3219	1886980269
1890000001	1900000000	1561	4707	1258	0	0	0	0	0	9992474	0	121.3219	1895159831
1900000001	1910000000	3096	2162	296	0	0	0	0	0	9994446	0	121.3219	1903381457
1910000001	1920000000	1500	2292	1353	0	0	0	0	0	9994855	0	121.3219	1913624741
1920000001	1930000000	2622	4728	631	0	0	0	0	0	9992019	0	121.3219	1921922885
1930000001	1940000000	2082	1353	268	0	0	0	0	0	9996297	0	121.3219	1932264273
1940000001	1950000000	1513	5217	1198	0	0	0	0	0	9992072	0	121.3219	1940647295
1950000001	1960000000	2752	2379	388	0	0	0	0	0	9994481	0	121.3219	1959551605
1960000001	1970000000	1735	2628	1444	0	0	0	0	0	9994193	0	121.3219	1968050265
1970000001	1980000000	2781	3563	577	0	0	0	0	0	9993079	0	121.3219	1978640501
1980000001	1990000000	1558	3776	393	0	0	0	0	0	9994273	0	121.3219	1985155101
1990000001	2000000000	1805	3799	1265	0	0	0	0	0	9993131	0	121.3219	1997919005
2000000001	2010000000	2324	2103	1047	0	0	0	0	0	9994526	0	121.3219	2006581855
2010000001	2020000000	2293	4076	1252	0	0	0	0	0	9992379	0	121.3219	2015283045
2020000001	2030000000	2983	2004	246	0	0	0	0	0	9994767	0	121.3219	2026130525
2030000001	2040000000	1050	5528	1447	0	0	0	0	0	9991975	0	121.3219	2030681965
2040000001	2050000000	2357	2700	327	0	0	0	0	0	9994616	0	121.3219	2045869061
2050000001	2060000000	1408	3522	1661	0	0	0	0	0	9993409	0	121.3219	2054739999
2060000001	2070000000	3112	3142	545	0	0	0	0	0	9993201	0	121.3219	2063644453
2070000001	2080000000	2173	1536	583	0	0	0	0	0	9995708	0	121.3219	2072596863
