base	hi	c1	c2	c3	c4	c5	c6	c7	c8	overflow	cap	exc_log2	exc_argn
1	10000000	10000000	0	0	0	0	0	0	0	0	0	45.7782	6631675
10000001	20000000	10000000	0	0	0	0	0	0	0	0	0	48.1219	19638399
20000001	30000000	10000000	0	0	0	0	0	0	0	0	0	48.1219	29457599
30000001	40000000	10000000	0	0	0	0	0	0	0	0	0	48.7538	38595583
40000001	50000000	10000000	0	0	0	0	0	0	0	0	0	48.1219	44186399
50000001	60000000	10000000	0	0	0	0	0	0	0	0	0	48.7538	54213823
60000001	70000000	10000000	0	0	0	0	0	0	0	0	0	48.1219	62913839
70000001	80000000	10000000	0	0	0	0	0	0	0	0	0	48.7538	77191167
80000001	90000000	10000000	0	0	0	0	0	0	0	0	0	50.9566	80049391
90000001	100000000	10000000	0	0	0	0	0	0	0	0	0	50.9566	93596391
100000001	110000000	10000000	0	0	0	0	0	0	0	0	0	50.9566	101312511
110000001	120000000	10000000	0	0	0	0	0	0	0	0	0	48.7538	115786751
120000001	130000000	10000000	0	0	0	0	0	0	0	0	0	51.5417	120080895
130000001	140000000	10000000	0	0	0	0	0	0	0	0	0	48.7538	130260095
140000001	150000000	10000000	0	0	0	0	0	0	0	0	0	50.9566	140394587
150000001	160000000	10000000	0	0	0	0	0	0	0	0	0	50.9566	157943911
160000001	170000000	10000000	0	0	0	0	0	0	0	0	0	50.9566	160098783
170000001	180000000	10000000	0	0	0	0	0	0	0	0	0	48.9320	179481327
180000001	190000000	10000000	0	0	0	0	0	0	0	0	0	51.5417	180121343
190000001	200000000	10000000	0	0	0	0	0	0	0	0	0	49.5523	193766367
200000001	210000000	10000000	0	0	0	0	0	0	0	0	0	50.9566	202625023
210000001	220000000	10000000	0	0	0	0	0	0	0	0	0	52.5081	210964383
220000001	230000000	10000000	0	0	0	0	0	0	0	0	0	52.5081	222250543
230000001	240000000	10000000	0	0	0	0	0	0	0	0	0	47.6172	239721983
240000001	250000000	10000000	0	0	0	0	0	0	0	0	0	52.5081	246666523
250000001	260000000	10000000	0	0	0	0	0	0	0	0	0	52.4534	254134431
260000001	270000000	10000000	0	0	0	0	0	0	0	0	0	50.9143	265932703
270000001	280000000	10000000	0	0	0	0	0	0	0	0	0	52.5081	277499839
280000001	290000000	10000000	0	0	0	0	0	0	0	0	0	51.2392	281051839
290000001	300000000	10000000	0	0	0	0	0	0	0	0	0	51.1004	290483839
300000001	310000000	10000000	0	0	0	0	0	0	0	0	0	52.5081	300377023
310000001	320000000	10000000	0	0	0	0	0	0	0	0	0	60.2947	319804831
320000001	330000000	10000000	0	0	0	0	0	0	0	0	0	53.2158	323330559
