base	hi	c1	c2	c3	c4	c5	c6	c7	c8	overflow	cap	exc_log2	exc_argn
1	10000000	3273791	3244985	3481224	0	0	0	0	0	0	0	44.7958	8612097
10000001	20000000	3269810	3247018	3483172	0	0	0	0	0	0	0	44.7958	17224193
20000001	30000000	3266541	3248118	3485341	0	0	0	0	0	0	0	46.1744	23911397
30000001	40000000	3269016	3246527	3484457	0	0	0	0	0	0	0	45.4628	38939157
40000001	50000000	3276600	3247814	3475586	0	0	0	0	0	0	0	46.1744	47822793
50000001	60000000	3254329	3250790	3494881	0	0	0	0	0	0	0	47.8535	58882625
60000001	70000000	3303801	3250540	3445659	0	0	0	0	0	0	0	46.1744	60525721
70000001	80000000	3232129	3243636	3524235	0	0	0	0	0	0	0	50.9683	75567105
80000001	90000000	3257454	3257784	3484762	0	0	0	0	0	0	0	49.5508	83727621
90000001	100000000	3293847	3233593	3472560	0	0	0	0	0	0	0	49.5508	94193573
100000001	110000000	3289705	3303558	3406737	0	0	0	0	0	0	0	49.8445	105449561
110000001	120000000	3217941	3208030	3574029	0	0	0	0	0	0	0	50.9683	113350657
120000001	130000000	3266202	3348947	3384851	0	0	0	0	0	0	0	49.2125	120974097
130000001	140000000	3343804	3129468	3526728	0	0	0	0	0	0	0	49.6965	130106945
140000001	150000000	3217064	3252197	3530739	0	0	0	0	0	0	0	49.4592	141596673
150000001	160000000	3242855	3263344	3493801	0	0	0	0	0	0	0	50.9683	151134209
160000001	170000000	3275732	3230690	3493578	0	0	0	0	0	0	0	49.8445	160332353
170000001	180000000	3242735	3287990	3469275	0	0	0	0	0	0	0	50.9683	170025985
180000001	190000000	3272227	3258705	3469068	0	0	0	0	0	0	0	49.2125	181461145
190000001	200000000	3310099	3201531	3488370	0	0	0	0	0	0	0	49.6965	197823041
200000001	210000000	3339069	3222049	3438882	0	0	0	0	0	0	0	50.2776	202719585
210000001	220000000	3269358	3348926	3381716	0	0	0	0	0	0	0	49.5508	211935537
220000001	230000000	3160835	3300040	3539125	0	0	0	0	0	0	0	50.9683	226701313
230000001	240000000	3248071	3167855	3584074	0	0	0	0	0	0	0	49.0573	232019969
240000001	250000000	3353328	3233557	3413115	0	0	0	0	0	0	0	50.2776	240260249
250000001	260000000	3208177	3418173	3373650	0	0	0	0	0	0	0	50.9683	255038977
