d	a0	b0	a1	b1	a2	b2	drift	drift_flag	n_cycles	cycle_mins	frac_c1	frac_c2	frac_c3	frac_c4	frac_overflow	frac_cap	fate_H	rigidity_min_H	rigidity_argmin_m	max_exc_log2	mean_steps	name
2	1	0	6	4	-	-	0.202733	0	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	35.730	5.23	COLLATZ
2	1	0	6	2	-	-	0.202733	0	3	17;1;5	0.348970	0.327679	0.323351	0.000000	0.000000	0.000000	1.584185	1.584099	36	36.192	5.24	NEG3X
2	1	0	10	6	-	-	0.458145	0	3	13;1;17	0.007327	0.004324	0.001671	0.000000	0.986678	0.000000	0.092101	0.090039	16	101.322	126.71	FIVEX
2	3	0	3	1	-	-	0.405465	0	1	1	0.000001	0.000000	0.000000	0.000000	0.999999	0.000000	0.000000	0.000000	2	100.585	139.85	HYDRA
2	1	0	1	1	-	-	-0.693147	0	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	19.932	1.00	RIGID
