d	a0	b0	a1	b1	a2	b2	drift	drift_flag	n_cycles	cycle_mins	frac_c1	frac_c2	frac_c3	frac_c4	frac_overflow	frac_cap	fate_H	rigidity_min_H	rigidity_argmin_m	max_exc_log2	mean_steps	name
3	4	4	3	6	2	3	-0.039261	0	6	321;369;79;33	0.012580	0.004590	0.000570	0.000220	0.982000	0.000000	0.014077	0.012824	36	100.415	332.92	-
3	0	2	1	5	6	2	-0.501359	1	2	2;7	0.499980	0.000010	0.000000	0.000000	0.500010	0.000000	1.000000	0.037040	27	101.000	29.10	-
3	4	5	6	6	5	5	0.497218	0	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	101.000	132.60	-
3	0	5	6	4	1	1	-0.501359	1	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	101.000	29.10	-
3	1	4	1	3	2	3	-0.867563	0	3	5;6;4	0.992310	0.007680	0.000010	0.000000	0.000000	0.000000	0.046329	0.029946	36	16.610	1.00	-
3	4	4	0	4	6	1	-0.039261	1	1	4	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	21.322	2.00	-
3	4	1	2	6	4	4	0.056633	0	6	1716;31008;48;56	0.008550	0.004040	0.000180	0.000080	0.987110	0.000000	0.077718	0.076366	36	100.415	239.04	-
3	6	1	0	1	2	6	-0.270310	1	2	1;14	0.999990	0.000010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	17.610	1.33	-
3	4	4	1	3	0	3	-0.636514	1	2	3;4	0.999990	0.000010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	20.322	1.51	-
3	6	2	1	4	0	6	-0.501359	1	1	6	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	17.610	1.33	-
3	5	3	6	3	5	4	0.571599	0	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	101.000	106.16	-
3	4	5	4	3	4	5	0.287682	0	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	100.415	204.91	-
3	3	1	1	5	3	6	-0.366204	0	2	8;7	0.999950	0.000050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	2.00	-
3	6	1	5	6	2	5	0.266169	0	3	31;771;11	0.000120	0.000100	0.000020	0.000000	0.999760	0.000000	0.000000	0.000000	2	101.000	108.17	-
3	0	1	0	5	1	5	-1.098612	1	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
3	0	1	4	1	5	6	-0.100035	1	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	30.618	3.00	-
3	5	2	5	2	2	2	0.205395	0	2	42;2	0.001510	0.000020	0.000000	0.000000	0.998470	0.000000	0.000000	0.000000	2	100.737	150.86	-
3	1	3	0	6	0	2	-1.098612	1	1	2	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
3	6	2	1	3	2	4	-0.270310	0	3	8;48;4	0.846720	0.153260	0.000020	0.000000	0.000000	0.000000	0.616605	0.615994	36	20.907	2.17	-
3	6	6	3	4	2	3	0.095894	0	1	5	0.000010	0.000000	0.000000	0.000000	0.500000	0.499990	1.000000	0.037040	27	101.000	16695.77	-
3	4	6	0	6	1	6	-0.636514	1	2	6;8	0.999990	0.000010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	20.322	1.51	-
3	5	2	2	6	4	5	0.131014	0	6	1038;900;932;2414	0.002090	0.000440	0.000360	0.000220	0.996800	0.000000	0.009178	0.008445	36	100.737	175.82	-
3	6	4	6	4	3	4	0.462098	0	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	101.000	85.64	-
3	4	0	5	4	1	3	-0.100035	0	11	12;193;37;273	0.573410	0.109170	0.093590	0.073270	0.000000	0.000000	2.143550	2.139176	36	46.466	6.90	-
3	5	5	3	3	4	6	0.266169	0	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	100.737	180.31	-
3	1	1	2	1	4	5	-0.405465	0	4	2;17;20;1	0.667560	0.175270	0.157160	0.000010	0.000000	0.000000	1.249765	1.248930	36	20.322	1.63	-
3	0	6	4	6	2	1	-0.405465	1	2	6;25	0.999980	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	20.322	1.61	-
3	0	2	6	1	2	5	-0.270310	1	2	1;11	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	29.11	-
3	3	5	6	5	2	4	0.095894	0	7	16;82;2974;52	0.687090	0.288150	0.017690	0.006910	0.000000	0.000000	1.048524	1.047508	36	21.585	3.07	-
3	1	3	2	5	1	2	-0.867563	0	3	3;13;2	0.923480	0.076510	0.000010	0.000000	0.000000	0.000000	0.388142	0.387559	36	16.610	1.00	-
3	0	2	4	4	6	2	-0.039261	1	1	2	0.500000	0.000000	0.000000	0.000000	0.500000	0.000000	1.000000	0.037040	27	101.000	43.56	-
3	3	4	5	4	6	1	0.401324	0	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	101.000	132.76	-
3	2	0	2	5	0	4	-0.636514	1	2	4;13	0.999990	0.000010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
