d	a0	b0	a1	b1	a2	b2	drift	drift_flag	n_cycles	cycle_mins	frac_c1	frac_c2	frac_c3	frac_c4	frac_overflow	frac_cap	fate_H	rigidity_min_H	rigidity_argmin_m	max_exc_log2	mean_steps	name
2	1	4	4	7	-	-	0.000000	0	1	8	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	5	4	1	-	-	0.000000	0	2	1;10	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	5	4	2	-	-	0.000000	0	3	11;15;10	0.800000	0.199980	0.000020	0.000000	0.000000	0.000000	0.721928	0.721928	36	17.610	2.00	-
2	1	5	4	3	-	-	0.000000	0	1	10	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	5	4	4	-	-	0.000000	0	1	10	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.932	25002.50	-
2	1	5	4	5	-	-	0.000000	0	1	10	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	5	4	6	-	-	0.000000	0	4	13;11;17;10	0.428570	0.428570	0.142840	0.000020	0.000000	0.000000	1.448820	1.448819	36	17.610	2.00	-
2	1	5	4	7	-	-	0.000000	0	1	10	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	6	4	1	-	-	0.000000	0	2	1;12	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	6	4	2	-	-	0.000000	0	1	12	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.932	25003.00	-
2	1	6	4	3	-	-	0.000000	0	1	12	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	6	4	4	-	-	0.000000	0	4	15;13;19;12	0.428580	0.428560	0.142840	0.000020	0.000000	0.000000	1.448820	1.448819	36	17.610	2.00	-
2	1	6	4	5	-	-	0.000000	0	1	12	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	6	4	6	-	-	0.000000	0	1	12	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	19.195	25003.00	-
2	1	6	4	7	-	-	0.000000	0	1	12	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	7	4	1	-	-	0.000000	0	2	1;14	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	7	4	2	-	-	0.000000	0	4	15;17;21;14	0.428580	0.428570	0.142830	0.000020	0.000000	0.000000	1.448820	1.448819	36	17.610	2.00	-
2	1	7	4	3	-	-	0.000000	0	1	14	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	7	4	4	-	-	0.000000	0	1	14	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	19.195	25003.50	-
2	1	7	4	5	-	-	0.000000	0	1	14	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	7	4	6	-	-	0.000000	0	4	15;17;23;14	0.666670	0.222220	0.111090	0.000020	0.000000	0.000000	1.224362	0.000000	9	17.610	2.00	-
2	1	7	4	7	-	-	0.000000	0	1	14	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	2	0	2	1	-	-	0.000000	0	32	1;2;3;4	0.000010	0.000010	0.000010	0.000010	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
2	2	0	2	2	-	-	0.000000	0	32	2;4;6;8	0.000020	0.000020	0.000020	0.000020	0.000000	0.000000	0.000000	0.000000	2	16.610	1.50	-
2	2	0	2	3	-	-	0.000000	0	32	2;4;6;8	0.000010	0.000010	0.000010	0.000010	0.000000	0.500000	1.000000	0.000000	2	17.610	25000.50	-
2	2	0	2	4	-	-	0.000000	0	32	4;6;8;10	0.000020	0.000020	0.000020	0.000020	0.000000	0.000000	0.000000	0.000000	2	16.610	1.50	-
2	2	0	2	5	-	-	0.000000	0	32	2;4;6;8	0.000010	0.000010	0.000010	0.000010	0.000000	0.500000	1.000000	0.000000	2	18.195	25000.50	-
