d	a0	b0	a1	b1	a2	b2	drift	drift_flag	n_cycles	cycle_mins	frac_c1	frac_c2	frac_c3	frac_c4	frac_overflow	frac_cap	fate_H	rigidity_min_H	rigidity_argmin_m	max_exc_log2	mean_steps	name
2	0	1	0	1	-	-	-0.693147	1	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
2	0	1	0	2	-	-	-0.693147	1	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
2	0	1	0	3	-	-	-0.693147	1	1	3	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
2	0	1	1	1	-	-	-0.693147	1	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
2	0	1	1	2	-	-	-0.693147	1	2	1;3	0.999990	0.000010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
2	0	1	1	3	-	-	-0.693147	1	2	1;5	0.999990	0.000010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.00	-
2	0	1	2	1	-	-	-0.346574	1	32	1;3;5;7	0.500010	0.000010	0.000010	0.000010	0.000000	0.000000	1.000000	0.000000	2	16.610	1.00	-
2	0	1	2	2	-	-	-0.346574	1	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	16.610	1.50	-
2	0	1	2	3	-	-	-0.346574	1	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	17.610	25000.50	-
2	0	1	3	1	-	-	-0.143841	1	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	25.359	2.00	-
2	0	1	3	2	-	-	-0.143841	1	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	25.359	2.00	-
2	0	1	3	3	-	-	-0.143841	1	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	25.359	2.00	-
2	0	2	0	1	-	-	-0.693147	1	2	1;2	0.500000	0.500000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	2	16.610	1.00	-
