mode	K	L	M	C	n_xi	div_count	resid	n_pos	n_real	max_ratio	argmax_xi	mean_ratio	max_alpha	mean_alpha	n_zeroS	orbit_dev	top5_xi
exhaustive	19	11	347141	75582	347141	0	1.72e-18	0	0	0.212671	167142	0.00230661	0.862191	0.426077	0	-	-
exhaustive	20	10	989527	184756	989527	2	4.63e-17	2	2	0.191352	256544	0.00142299	0.863637	0.429049	0	-	-
exhaustive	20	11	871429	167960	871429	0	1.89e-18	0	0	0.216786	225926	0.00150094	0.872930	0.427908	0	-	-
exhaustive	20	12	517135	125970	517135	0	6.49e-18	0	0	0.161858	383063	0.00176319	0.844936	0.427036	0	-	-
exhaustive	21	11	1920005	352716	1920005	0	2.99e-18	0	0	0.204112	711113	0.00101213	0.875594	0.429948	0	-	-
exhaustive	21	12	1565711	293930	1565711	0	1.76e-18	0	0	0.206011	579893	0.0011215	0.874528	0.429133	0	-	-
exhaustive	21	13	502829	203490	502829	0	3.39e-18	0	0	0.15783	300042	0.00137218	0.848959	0.428211	0	-	-
exhaustive	22	11	4017157	705432	4017157	2	6.29e-18	2	2	0.187839	743918	0.000701469	0.875828	0.431743	0	-	-
exhaustive	22	12	3662863	646646	3662863	0	3.85e-18	0	0	0.207435	678308	0.000736179	0.882437	0.430890	0	-	-
exhaustive	22	13	2599981	497420	2599981	0	1.85e-18	0	0	0.173924	2118503	0.00085318	0.866653	0.430128	0	-	-
