threshold,k,parent_depth,child_depth,parent_bin,parent_bin_mass,first_parent_depth,weights,parent_bin_weight_num,parent_bin_weight_den,parent_bin_weight_decimal,weighted_high_child_mass_num,weighted_high_child_mass_den,weighted_high_child_mass_decimal,weighted_parent_mass_num,weighted_parent_mass_den,weighted_parent_mass_decimal,ratio_num,ratio_den,ratio_decimal,rho_num,rho_den,rho_decimal,rho_minus_ratio_num,rho_minus_ratio_den,rho_minus_ratio_decimal,selection_scope,source,source_sha256,source_sha256_verified
1/5,12,6,7,7,639679787958193899,3,31/25;69/50;1;34/25,34,25,1.36,30993037104544994987,50,6.19860742091e+17,21749112790578592566,25,8.69964511623e+17,30993037104544994987,43498225581157185132,0.712512675873,68,69,0.985507246377,273119926435027978291,1000459188366615258036,0.272994570504,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,7,8,4,118498952571970850,3,31/25;69/50;1;34/25,31,25,1.24,1690064119909338513,25,6.76025647964e+16,146938701189243854,1,1.46938701189e+17,1690064119909338513,3673467529731096350,0.460073243123,68,69,0.985507246377,133181367747970194403,253469259551445648150,0.525434003254,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,7,8,5,112908545113802686,3,31/25;69/50;1;34/25,69,50,1.38,387854577349592664,5,7.75709154699e+16,3895344806426192667,25,1.55813792257e+17,646424295582654440,1298448268808730889,0.49784370399,68,69,0.985507246377,1899617647121328004,3895344806426192667,0.487663542387,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,7,8,6,254300918615537486,3,31/25;69/50;1;34/25,1,1,1,4792288431189404884,25,1.91691537248e+17,254300918615537486,1,2.54300918616e+17,2396144215594702442,3178761482694218575,0.753798052682,68,69,0.985507246377,50821829947172394602,219334542305901081675,0.231709193695,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,7,8,7,400879316498874951,3,31/25;69/50;1;34/25,34,25,1.36,3658722543624288627,10,3.65872254362e+17,13629896760961748334,25,5.45195870438e+17,6097870906040481045,9086597840641165556,0.671084052908,68,69,0.985507246377,197135560646806065703,626975251004240423364,0.314423193469,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,8,9,4,143279962802037881,3,31/25;69/50;1;34/25,31,25,1.24,3509970909718160203,50,7.01994181944e+16,4441678846863174311,25,1.77667153875e+17,3509970909718160203,8883357693726348622,0.395117593002,68,69,0.985507246377,361880330402838652289,612951680867118054918,0.590389653375,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,8,9,5,133481594850506216,3,31/25;69/50;1;34/25,69,50,1.38,395144060189449199,5,7.90288120379e+16,4605115022342464452,25,1.84204600894e+17,1975720300947245995,4605115022342464452,0.429027351404,68,69,0.985507246377,2562653923969965349,4605115022342464452,0.556479894973,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,8,9,6,257982935355669718,3,31/25;69/50;1;34/25,1,1,1,9343344544282596349,50,1.86866890886e+17,257982935355669718,1,2.57982935356e+17,9343344544282596349,12899146767783485900,0.72433818395,68,69,0.985507246377,232451206653777893119,890041126977060527100,0.261169062427,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,8,9,7,227464184720498083,3,31/25;69/50;1;34/25,34,25,1.36,10163673980366789323,50,2.03273479607e+17,7733782280496934822,25,3.0935129122e+17,10163673980366789323,15467564560993869644,0.65709594683,68,69,0.985507246377,350500885502274672505,1067261954708577005436,0.328411299546,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,9,10,4,166024103399636603,3,31/25;69/50;1;34/25,31,25,1.24,3211641354065968059,50,6.42328270813e+16,5146747205388734693,25,2.05869888216e+17,3211641354065968059,10293494410777469386,0.312006907072,68,69,0.985507246377,478354366502316122177,710251114343645387634,0.673500339305,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,9,10,5,144191319927099983,3,31/25;69/50;1;34/25,69,50,1.38,1820365205297411253,25,7.28146082119e+16,9949201074969898827,50,1.98984021499e+17,39147638823600242,106980656720106439,0.365931935958,68,69,0.985507246377,198847720788644398,320941970160319317,0.619575310419,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,9,10,6,174583611662208415,3,31/25;69/50;1;34/25,1,1,1,597410398980820169,5,1.19482079796e+17,174583611662208415,1,1.74583611662e+17,597410398980820169,872918058311042075,0.684383136874,68,69,0.985507246377,18137110435474269439,60231346023461903175,0.301124109503,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,9,10,7,97555566389287341,3,31/25;69/50;1;34/25,34,25,1.36,2112175433728398771,25,8.44870173491e+16,3316889257235769594,25,1.32675570289e+17,704058477909466257,1105629752411923198,0.636794077198,68,69,0.985507246377,26602788188257605731,76288452916422700662,0.348713169179,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,10,11,4,148247628861942465,3,31/25;69/50;1;34/25,31,25,1.24,2091143110065406289,50,4.18228622013e+16,919135298944043283,5,1.83827059789e+17,2091143110065406289,9191352989440432830,0.22751200095,68,69,0.985507246377,160241042895812132833,211401118757129955090,0.757995245427,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,10,11,5,97219719135559014,3,31/25;69/50;1;34/25,69,50,1.38,212443034013565286,5,4.24886068027e+16,3354080310176785983,25,1.34163212407e+17,1062215170067826430,3354080310176785983,0.316693421694,68,69,0.985507246377,2243255280541180046,3354080310176785983,0.668813824682,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,10,11,6,94262961227333170,3,31/25;69/50;1;34/25,1,1,1,1591356616903103169,25,6.36542646761e+16,94262961227333170,1,9.42629612273e+16,1591356616903103169,2356574030683329250,0.675283948725,68,69,0.985507246377,50443427520152270339,162603608117149718250,0.310223297652,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,10,11,7,14257411993291398,3,31/25;69/50;1;34/25,34,25,1.36,124161300268173023,10,1.24161300268e+16,484752007771907532,25,1.93900803109e+16,620806501340865115,969504015543815064,0.640334120734,68,69,0.985507246377,2565624940495525713,7432864119169248824,0.345173125643,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,3,4,4,505712697880117618,3,31/25;69/50;1;34/25,31,25,1.24,3064684280929200908,5,6.12936856186e+17,15677093634283646158,25,6.27083745371e+17,696519154756636570,712595165194711189,0.977440191538,68,69,0.985507246377,396649555032437522,49169066398435072041,0.00806705483928,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,3,4,7,3969608789042225542,3,31/25;69/50;1;34/25,34,25,1.36,127300583894865853514,25,5.09202335579e+18,134966698827435668428,25,5.3986679531e+18,63650291947432926757,67483349413717834214,0.943199952291,68,69,0.985507246377,196997615759940780319,4656351109546530560766,0.0423072940861,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,4,5,4,709034187035162629,3,31/25;69/50;1;34/25,31,25,1.24,36827744671856731503,50,7.36554893437e+17,21980059798090041499,25,8.79202391924e+17,36827744671856731503,43960119596180082998,0.837753514098,68,69,0.985507246377,448173750182131170157,3033248252136425726862,0.147753732279,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,4,5,6,232571238666397673,3,31/25;69/50;1;34/25,1,1,1,822384474892523119,5,1.64476894979e+17,232571238666397673,1,2.32571238666e+17,822384474892523119,1162856193331988365,0.707210813863,68,69,0.985507246377,970856190390917983,3488568579995965095,0.278296432513,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,4,5,7,3377343074551819845,3,31/25;69/50;1;34/25,34,25,1.36,19969413772507539608,5,3.9938827545e+18,22965932906952374946,5,4.59318658139e+18,9984706886253769804,11482966453476187473,0.86952330016,68,69,0.985507246377,30632314561623543896,264108228429952311879,0.115983946217,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,5,6,4,533229479991574309,3,31/25;69/50;1;34/25,31,25,1.24,28353482982666785369,50,5.67069659653e+17,16530113879738803579,25,6.6120455519e+17,28353482982666785369,33060227759477607158,0.857631205355,68,69,0.985507246377,291705161840469096283,2281155715403954893902,0.127876041022,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,5,6,5,83424281845100367,3,31/25;69/50;1;34/25,69,50,1.38,1086863485913000874,25,4.34745394365e+16,5756275447311925323,50,1.15125508946e+17,241525219091777972,639586160812436147,0.377627337629,68,69,0.985507246377,1166374731213607736,1918758482437308441,0.607879908748,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,5,6,6,415996016929354001,3,31/25;69/50;1;34/25,1,1,1,513670938699199763,2,2.5683546935e+17,415996016929354001,1,4.15996016929e+17,513670938699199763,831992033858708002,0.617398866569,68,69,0.985507246377,21132163532147360489,57407450336250852138,0.368108379807,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,5,6,7,2861151086847194777,3,31/25;69/50;1;34/25,34,25,1.36,154773818484557002269,50,3.09547636969e+18,97279136952804622418,25,3.89116547811e+18,154773818484557002269,194558273905609244836,0.795513937175,68,69,0.985507246377,2550569150146995492287,13424520899487037893684,0.189993309202,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
