k,depth,coarsenings_from_finest,threshold,threshold_num,threshold_den,node_count,high_node_count,high_mass,total_mass,tail_num,tail_den,tail_decimal,source,source_sha256,source_sha256_verified,source_sha256_kind
12,1,10,1/20,1,20,1,1,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,10,1/10,1,10,1,1,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,10,3/20,3,20,1,1,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,10,1/5,1,5,1,1,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,10,1/4,1,4,1,1,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,10,3/10,3,10,1,1,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,10,2/5,2,5,1,1,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,2,9,1/20,1,20,3,3,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,2,9,1/10,1,10,3,3,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,2,9,3/20,3,20,3,3,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,2,9,1/5,1,5,3,3,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,2,9,1/4,1,4,3,3,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,2,9,3/10,3,10,3,3,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,2,9,2/5,2,5,3,3,1373960412522506741,1373960412522506741,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
