k,parent_depth,child_depth,coarsenings_from_finest_child,parent_threshold,parent_threshold_num,parent_threshold_den,child_threshold,child_threshold_num,child_threshold_den,parent_high_node_count,child_high_node_count,persistent_high_child_count,immigration_high_child_count,parent_high_mass,child_high_mass,persistent_high_child_mass,immigration_high_child_mass,escaped_from_high_parent_mass,high_parent_high_child_count,high_parent_high_child_mass,high_parent_low_child_count,high_parent_low_child_mass,low_parent_high_child_count,low_parent_high_child_mass,low_parent_low_child_count,low_parent_low_child_mass,high_parent_0_high_children_count,high_parent_1_high_child_count,high_parent_2_high_children_count,high_parent_3_high_children_count,high_parent_0_high_children_parent_mass,high_parent_1_high_child_parent_mass,high_parent_2_high_children_parent_mass,high_parent_3_high_children_parent_mass,pointwise_retention_one_witness_count,total_mass,retention_num,retention_den,retention_decimal,closure_num,closure_den,closure_decimal,immigration_num,immigration_den,immigration_decimal,ancestry_num,ancestry_den,ancestry_decimal,immigration_share_num,immigration_share_den,immigration_share_decimal,parent_tail_num,parent_tail_den,parent_tail_decimal,child_tail_num,child_tail_den,child_tail_decimal,source,source_sha256,source_sha256_verified,source_sha256_kind
12,1,2,9,1/20,1,20,1/20,1,20,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,2,9,1/20,1,20,1/10,1,10,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,2,9,1/20,1,20,3/20,3,20,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,2,9,1/20,1,20,1/5,1,5,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,2,9,1/20,1,20,1/4,1,4,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,2,9,1/20,1,20,3/10,3,10,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,2,9,1/20,1,20,2/5,2,5,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,2,9,1/10,1,10,1/20,1,20,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,2,9,1/10,1,10,1/10,1,10,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,1,2,9,1/10,1,10,3/20,3,20,1,3,3,0,1373960412522506741,1373960412522506741,1373960412522506741,0,0,3,1373960412522506741,0,0,0,0,0,0,0,0,0,1,0,0,0,1373960412522506741,1,1373960412522506741,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
