spec_name,threshold,k,parent_depth,child_depth,terminal_offset,first_parent_depth,weights,rho,parent_potential,persistent_potential,immigration_potential,child_potential,realized_retention,recurrence_absolute_error,mass_relative_error,parent_minimum_threshold_gap,child_minimum_threshold_gap,total_mass,source_kind,source,source_sha256,source_sha256_verified
frontier_t_1_20,1/20,20,6,7,12,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,1.089705313153978,1.0742279306805964,0,1.0742279306805969,0.98579672661356055,4.4408920985006262e-16,0,7.3835298223356993e-05,3.341048985111561e-05,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,7,8,11,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,1.0742279306805969,1.0570924828139612,0.013332927689311163,1.0704254105032722,0.98404859213092777,1.1622647289044608e-16,0,3.341048985111561e-05,5.0060467318147062e-06,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,8,9,10,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,1.0704254105032722,1.0444791703933527,0.014179461900088626,1.0586586322934415,0.97576081448055252,1.5959455978986625e-16,0,5.0060467318147062e-06,5.5865371546282017e-06,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,9,10,9,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,1.0586586322934415,1.0220128546484111,0.021106195681263505,1.0431190503296748,0.96538470803790433,2.0122792321330962e-16,0,5.5865371546282017e-06,6.5300813051338835e-06,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,10,11,8,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,1.0431190503296746,0.993557669932294,0.031254062459934673,1.0248117323922286,0.9524873211914624,1.1102230246251565e-16,0,6.5300813051338835e-06,1.9445253995886702e-07,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,11,12,7,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,1.0248117323922286,0.95869357093754903,0.041661353222366554,1.0003549241599157,0.93548262635485324,8.3266726846886741e-17,0,1.9445253995886702e-07,2.8430701132231562e-07,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,12,13,6,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,1.0003549241599159,0.91143722799063132,0.055136009537986287,0.96657323752861757,0.91111385167223879,3.4694469519536142e-17,0,2.8430701132231562e-07,1.8224490153095907e-08,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,13,14,5,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,0.9665732375286179,0.85135325469936574,0.072013329005369456,0.92336658370473512,0.88079539309007526,6.9388939039072284e-17,3.8651488582220714e-16,1.8224490153095907e-08,4.8880130887329898e-08,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,14,15,4,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,0.92336658370473479,0.77579482153681123,0.090004602862998315,0.8657994243998095,0.84018074211020766,4.163336342344337e-17,5.1535318109627625e-16,4.8880130887329898e-08,5.6210613941232168e-10,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,15,16,3,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,0.86579942439980939,0.68792202388326973,0.10841316047888633,0.79633518436215622,0.79455126036859169,1.6653345369377348e-16,1.2883829527406906e-16,5.6210613941232168e-10,4.1619432761264008e-09,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,16,17,2,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,0.796335184362157,0.58146778118572839,0.11812143706780046,0.6995892182535286,0.73017969393311233,2.4980018054066022e-16,0,4.1619432761264008e-09,7.0104753946420573e-10,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,17,18,1,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,0.69958921825352904,0.45246637304862891,0.11950714601259599,0.57197351906122473,0.64676007182926087,1.6653345369377348e-16,3.8651488582220714e-16,7.0104753946420573e-10,1.6416976111877091e-10,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,18,19,0,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,0.57197351906122451,0.33731921072814475,0.13436942114963304,0.47168863187777776,0.58974620237976061,2.7755575615628914e-17,1.0307063621925525e-15,1.6416976111877091e-10,2.1812289474620883e-10,3614308.0465103118,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
