k,parent_depth,child_depth,terminal_offset,parent_node_count,child_node_count,entropy_increment,envelope,increment_over_envelope,envelope_slack,passes_envelope,envelope_scope,logarithm,arithmetic,source_kind,source,source_sha256,source_sha256_verified,source_sha256_kind
12,11,12,0,59049,177147,0.0016559087693818302,0.0084470272064208988,0.19603450171477044,0.0067911184370390686,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
13,1,2,11,1,3,0.12747702965765698,0.15000000000000002,0.84984686438437973,0.022522970342343046,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,2,3,10,3,9,0.071881893446804498,0.1125,0.63895016397159554,0.040618106553195504,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,3,4,9,9,27,0.045721059095913015,0.084375000000000006,0.54187921891452462,0.038653940904086991,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,4,5,8,27,81,0.030303906186506465,0.063281249999999997,0.47887654220652193,0.032977343813493529,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,5,6,7,81,243,0.021176552030175471,0.047460937500000001,0.44618907981275063,0.02628438546982453,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,6,7,6,243,729,0.014986684300748006,0.035595703125000003,0.42102509530770804,0.020609018824251996,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,7,8,5,729,2187,0.010752383039117323,0.026696777343750002,0.40275958782098353,0.015944394304632681,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,8,9,4,2187,6561,0.0077457448864836163,0.020022583007812501,0.38685043200776575,0.012276838121328884,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,9,10,3,6561,19683,0.0056098817433085238,0.015016937255859376,0.373570299171333,0.0094070555125508534,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
