k,parent_depth,child_depth,terminal_offset,parent_node_count,child_node_count,total_mass,chi_lower_num,chi_upper_num,chi_common_den,chi_lower_decimal,chi_upper_decimal,interval_width_num,interval_width_den,interval_width_decimal,nonzero_remainder_count,envelope_num,envelope_den,envelope_decimal,certified_upper_over_envelope_num,certified_upper_over_envelope_den,certified_upper_over_envelope_decimal,certified_envelope_slack_num,certified_envelope_slack_den,certified_envelope_slack_decimal,passes_envelope,finite_only_envelope_num,finite_only_envelope_den,finite_only_envelope_decimal,certified_upper_over_finite_only_num,certified_upper_over_finite_only_den,certified_upper_over_finite_only_decimal,passes_finite_only_envelope,finite_only_scope,envelope_scope,arithmetic,source_kind,source,source_sha256,source_sha256_verified,source_sha256_kind
12,1,2,10,1,3,1373960412522506741,883267622298839056,883267622298839057,4121881237567520223,0.21428749917600465,0.21428749917600465,1,4121881237567520223,2.4260766925689935e-19,1,6,1,6,883267622298839057,24731287425405121338,0.035714583196000779,23848019803106282281,4121881237567520223,5.7857125008239949,True,2,1,2,883267622298839057,8243762475135040446,0.10714374958800232,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,2,3,9,3,9,1373960412522506741,532825932780087547,532825932780087550,4121881237567520223,0.12926765767141038,0.12926765767141038,3,4121881237567520223,7.2782300777069806e-19,3,3,2,1.5,1065651865560175100,12365643712702560669,0.08617843844760692,11299991847142385569,8243762475135040446,1.3707323423285895,True,1,2,0.5,1065651865560175100,4121881237567520223,0.25853531534282076,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,3,4,8,9,27,1373960412522506741,343972863660026626,343972863660026635,4121881237567520223,0.083450454740180285,0.083450454740180285,9,4121881237567520223,2.1834690233120944e-18,9,2,3,0.66666666666666663,343972863660026635,2747920825045013482,0.12517568211027041,801315987128328949,1373960412522506741,0.58321621192648643,True,2,9,0.22222222222222221,1031918590980079905,2747920825045013482,0.37552704633081124,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,4,5,7,27,81,1373960412522506741,229671650402615351,229671650402615378,4121881237567520223,0.055720103798563923,0.05572010379856393,27,4121881237567520223,6.5504070699362832e-18,27,3,8,0.375,1837373203220923024,12365643712702560669,0.14858694346283716,10528270509481637645,32975049900540161784,0.31927989620143604,True,1,8,0.125,1837373203220923024,4121881237567520223,0.44576083038851144,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,5,6,6,81,243,1373960412522506741,160001792383104340,160001792383104421,4121881237567520223,0.038817661926991258,0.038817661926991279,81,4121881237567520223,1.9651221209808848e-17,81,6,25,0.23999999999999999,4000044809577610525,24731287425405121338,0.16174025802913033,20731242615827510813,103047030939188005575,0.20118233807300873,True,2,25,0.080000000000000002,4000044809577610525,8243762475135040446,0.48522077408739095,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,6,7,5,243,729,1373960412522506741,112448683808067170,112448683808067413,4121881237567520223,0.027280913089681214,0.027280913089681273,243,4121881237567520223,5.895366362942655e-17,243,1,6,0.16666666666666666,224897367616134826,1373960412522506741,0.16368547853808765,1149063044906371915,8243762475135040446,0.13938575357698541,True,1,18,0.055555555555555552,674692102848404478,1373960412522506741,0.49105643561426293,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,7,8,4,729,2187,1373960412522506741,79882358180389930,79882358180390659,4121881237567520223,0.019380072732889209,0.019380072732889386,729,4121881237567520223,1.7686099088827964e-16,729,6,49,0.12244897959183673,3914235550839142291,24731287425405121338,0.15827059398526333,20817051874565979047,201972180640808490927,0.10306890685894735,True,2,49,0.040816326530612242,3914235550839142291,8243762475135040446,0.47481178195578999,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,8,9,3,2187,6561,1373960412522506741,57126963557870977,57126963557873164,4121881237567520223,0.013859439480498906,0.013859439480499437,2187,4121881237567520223,5.3058297266483889e-16,2187,3,32,0.09375,1828062833851941248,12365643712702560669,0.14783402112532731,10537580878850619421,131900199602160647136,0.079890560519500567,True,1,32,0.03125,1828062833851941248,4121881237567520223,0.44350206337598197,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,9,10,2,6561,19683,1373960412522506741,37724978470691430,37724978470697991,4121881237567520223,0.0091523690995411553,0.0091523690995427478,6561,4121881237567520223,1.5917489179945167e-15,6561,2,27,0.07407407407407407,339524806236281919,2747920825045013482,0.12355698284382709,2408396018808731563,37096931138107682007,0.064921704974531327,True,2,81,0.024691358024691357,1018574418708845757,2747920825045013482,0.3706709485314813,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,10,11,1,19683,59049,1373960412522506741,22257710444906534,22257710444926217,4121881237567520223,0.005399891254033719,0.0053998912540384938,19683,4121881237567520223,4.7752467539835506e-15,19683,3,50,0.059999999999999998,1112885522246310850,12365643712702560669,0.089998187567308235,11252758190456249819,206094061878376011150,0.054600108745961509,True,1,50,0.02,1112885522246310850,4121881237567520223,0.26999456270192473,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,11,12,0,59049,177147,1373960412522506741,13765687960255247,13765687960314296,4121881237567520223,0.0033396614717552866,0.0033396614717696124,59049,4121881237567520223,1.4325740261950652e-14,59049,6,121,0.049586776859504134,832824121599014908,12365643712702560669,0.067349839680687182,23065639182207091522,498747629745669946983,0.046247115387734516,True,2,121,0.016528925619834711,832824121599014908,4121881237567520223,0.20204951904206156,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
13,1,2,11,1,3,4475321486922343160,2938408509950650034,2938408509950650035,13425964460767029480,0.21886014360735004,0.21886014360735004,1,13425964460767029480,7.4482544842284623e-20,1,6,1,6,65297966887792223,1790128594768937264,0.036476690601225006,5174491883643435123,895064297384468632,5.7811398563926497,True,2,1,2,195893900663376669,1790128594768937264,0.10943007180367502,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,2,3,10,3,9,4475321486922343160,1800179909822212822,1800179909822212825,13425964460767029480,0.13408198085751286,0.13408198085751286,3,13425964460767029480,2.2344763452685389e-19,3,3,2,1.5,360035981964442565,4027789338230108844,0.089387987238341904,3667753356265666279,2685192892153405896,1.3659180191424871,True,1,2,0.5,360035981964442565,1342596446076702948,0.26816396171502571,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,3,4,9,9,27,4475321486922343160,1178420622151071225,1178420622151071234,13425964460767029480,0.087771766832440104,0.087771766832440104,9,13425964460767029480,6.7034290358056163e-19,9,2,3,0.66666666666666663,589210311075535617,4475321486922343160,0.13165765024866016,3886111175846807543,6712982230383514740,0.5788948998342266,True,2,9,0.22222222222222221,1767630933226606851,4475321486922343160,0.39497295074598049,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,4,5,8,27,81,4475321486922343160,797508982536404792,797508982536404819,13425964460767029480,0.05940049855389256,0.05940049855389256,27,13425964460767029480,2.0110287107416851e-18,27,3,8,0.375,797508982536404819,5034736672787636055,0.15840132947704683,1059306922562807809,3356491115191757370,0.31559950144610743,True,1,8,0.125,797508982536404819,1678245557595878685,0.47520398843114048,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,5,6,7,81,243,4475321486922343160,563949301246563571,563949301246563652,13425964460767029480,0.042004379118872254,0.042004379118872261,81,13425964460767029480,6.0330861322250545e-18,81,6,25,0.23999999999999999,704936626558204565,4027789338230108844,0.17501824632863441,3322852711671904279,16782455575958786850,0.19799562088112774,True,2,25,0.080000000000000002,704936626558204565,1342596446076702948,0.52505473898590327,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,6,7,6,243,729,4475321486922343160,401673632131642825,401673632131643068,13425964460767029480,0.029917674317208424,0.029917674317208445,243,13425964460767029480,1.8099258396675165e-17,243,1,6,0.16666666666666666,100418408032910767,559415185865292895,0.17950604590325067,76499462972063688,559415185865292895,0.13674899234945823,True,1,18,0.055555555555555552,301255224098732301,559415185865292895,0.53851813770975199,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,7,8,5,729,2187,4475321486922343160,289249899836773504,289249899836774233,13425964460767029480,0.021544068635218818,0.021544068635218874,729,13425964460767029480,5.4297775190025495e-17,729,6,49,0.12244897959183673,14173245092001937417,80555786764602176880,0.17594322718762079,66382541672600239463,657872258577584444520,0.10090491095661785,True,2,49,0.040816326530612242,14173245092001937417,26851928921534058960,0.52782968156286236,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,8,9,4,2187,6561,4475321486922343160,208850860797307519,208850860797309706,13425964460767029480,0.015555743604685202,0.015555743604685365,2187,13425964460767029480,1.6289332557007648e-16,2187,3,32,0.09375,835403443189238824,5034736672787636055,0.16592793178331056,4199333229598397231,53703857843068117920,0.078194256395314632,True,1,32,0.03125,835403443189238824,1678245557595878685,0.49778379534993167,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,9,10,3,6561,19683,4475321486922343160,151202032160674454,151202032160681015,13425964460767029480,0.011261912140651998,0.011261912140652485,6561,13425964460767029480,4.8867997671022943e-16,6561,2,27,0.07407407407407407,272163657889225827,1790128594768937264,0.15203581389880855,1517964936879711437,24166736029380653064,0.062812161933421581,True,2,81,0.024691358024691357,816490973667677481,1790128594768937264,0.4561074416964257,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,10,11,2,19683,59049,4475321486922343160,101095967557459840,101095967557479523,13425964460767029480,0.0075298849369726546,0.0075298849369741204,19683,13425964460767029480,1.4660399301306883e-15,19683,3,50,0.059999999999999998,505479837787397615,4027789338230108844,0.12549808228290202,3522309500442711229,67129822303835147400,0.052470115063025881,True,1,50,0.02,505479837787397615,1342596446076702948,0.37649424684870603,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,11,12,1,59049,177147,4475321486922343160,60793157458219980,60793157458279029,13425964460767029480,0.0045280290764859394,0.0045280290764903378,59049,13425964460767029480,4.3981197903920653e-15,59049,6,121,0.049586776859504134,2451990684150587503,26851928921534058960,0.091315253042555153,24399938237383471457,541513899917603522360,0.045058747783013796,True,2,121,0.016528925619834711,2451990684150587503,8950642973844686320,0.27394575912766544,True,post_hoc_exact_k12_k19; not_an_all_level_target,post_hoc_exact_k12_k19,certified_integer_interval,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
