spec_name,threshold,k,parent_depth,child_depth,parent_bin,first_parent_depth,weights,rho,parent_bin_mass,weighted_high_child_mass,weighted_parent_mass,ratio,ratio_minus_rho,passes,contracts,mass_relative_error,parent_minimum_threshold_gap,child_minimum_threshold_gap,source_kind,source,source_sha256,source_sha256_verified
frontier_t_1_20,1/20,20,7,8,5,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,162698.6559049862,174550.27250643331,176963.35297429244,0.98636395373786978,-0.0080658394559292024,True,True,0,3.341048985111561e-05,5.0060467318147062e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,7,8,6,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,427575.92143866408,455110.85805955273,466364.58199421637,0.97586925686650194,-0.018560536327297039,True,True,0,3.341048985111561e-05,5.0060467318147062e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,7,8,7,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,1868379.4572141354,2034552.1379809768,2051008.6838967104,0.9919763645834655,-0.0024534286103334857,True,True,0,3.341048985111561e-05,5.0060467318147062e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,8,9,1,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,163967.7197140939,151994.8316868922,163967.7197140939,0.92698021264137542,-0.06744958055242356,True,True,0,5.0060467318147062e-06,5.5865371546282017e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,8,9,2,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,287649.88848705438,296610.07890403818,310312.70165403414,0.95584253342851255,-0.03858725976528643,True,True,0,5.0060467318147062e-06,5.5865371546282017e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,8,9,3,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,462390.58911377954,481665.31886052852,501084.64091264876,0.96124542548989145,-0.033184367703907536,True,True,0,5.0060467318147062e-06,5.5865371546282017e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,8,9,4,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,391603.09209997125,408462.48728640325,419969.26072818047,0.97260091507215141,-0.021828878121647577,True,True,0,5.0060467318147062e-06,5.5865371546282017e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,8,9,5,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,249893.11415336639,261766.41001421621,271802.63487605163,0.96307532167076981,-0.03135447152302917,True,True,0,5.0060467318147062e-06,5.5865371546282017e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,8,9,6,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,496760.10811790102,531542.84433404088,541824.99190857727,0.9810231205129214,-0.013406672680877585,True,True,0,5.0060467318147062e-06,5.5865371546282017e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,8,9,7,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,1512083.0444470434,1643027.4988789908,1659885.2245774942,0.98984404135364579,-0.004585751840153196,True,True,0,5.0060467318147062e-06,5.5865371546282017e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,9,10,1,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,237889.27218043566,225845.65025492306,237889.27218043566,0.94937299267376096,-0.045056800520038021,True,True,0,5.5865371546282017e-06,6.5300813051338835e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,9,10,2,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,411264.67254681577,412533.47443696321,443666.61257582111,0.92982762899802973,-0.064602164195769252,True,True,0,5.5865371546282017e-06,6.5300813051338835e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,9,10,3,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,525145.6639911636,538730.59335873695,569091.22430927283,0.94665067803956082,-0.047779115154238161,True,True,0,5.5865371546282017e-06,6.5300813051338835e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
frontier_t_1_20,1/20,20,9,10,4,6,1;1078786101/1000000000;1083682611/1000000000;536218009/500000000;67979723/62500000;545358799/500000000;274436849/250000000,0.99442979319379898,378712.5868058023,389204.68141393829,406145.01856049401,0.95828993001909124,-0.036139863174707743,True,True,0,5.5865371546282017e-06,6.5300813051338835e-06,uncertified_float_candidate,eigvec_k20.npy,35fa2453500ce4dec5d8a504e7dc29acd8d4088d4d3ebdc366b2f8796fb91681,True
