k,parent_depth,child_depth,terminal_offset,parent_node_count,child_node_count,martingale_increment_num,martingale_increment_den,martingale_increment_decimal,envelope_num,envelope_den,envelope_decimal,increment_over_envelope_num,increment_over_envelope_den,increment_over_envelope_decimal,envelope_slack_num,envelope_slack_den,envelope_slack_decimal,envelope_applies,passes_envelope,envelope_scope,source_kind,source,source_sha256,source_sha256_verified,source_sha256_kind
12,1,2,10,1,3,1749241037241225532,4121881237567520223,0.424379291014,9,20,0.45,34984820744824510640,37096931138107682007,0.943065091141,2112110393283171367,82437624751350404460,0.0256207089864,False,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,2,3,9,3,9,445292429378635512,1373960412522506741,0.324094075288,81,200,0.405,9895387319525233600,12365643712702560669,0.800232284661,22232307538595943621,274792082504501348200,0.0809059247121,True,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,3,4,8,9,27,1021969315699470356,4121881237567520223,0.247937593734,729,2000,0.3645,2043938631398940712000,3004851422186722242567,0.680212877185,960912790787781530567,8243762475135040446000,0.116562406266,True,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,4,5,7,27,81,813078451263700802,4121881237567520223,0.197259067984,6561,20000,0.32805,16261569025274016040000,27043662799680500183103,0.601307934718,10782093774406484143103,82437624751350404460000,0.130790932016,True,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,5,6,6,81,243,663502693872710134,4121881237567520223,0.160970842106,59049,200000,0.295245,132700538774542026800000,243392965197124501647927,0.545211069133,110692426422582474847927,824376247513504044600000,0.134274157894,True,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,6,7,5,243,729,181279422301537914,1373960412522506741,0.131939334386,531441,2000000,0.2657205,120852948201025276000000,243392965197124501647927,0.496534269604,367620050988297676943781,2747920825045013482000000,0.133781165614,True,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,7,8,4,729,2187,150566595953480904,1373960412522506741,0.109585832737,4782969,20000000,0.23914845,1003777306356539360000000,2190536686774120514831343,0.458233506162,3560278141252743464494029,27479208250450134820000000,0.129562617263,True,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,8,9,3,2187,6561,377645143697219662,4121881237567520223,0.0916196081186,43046721,200000000,0.215233605,75529028739443932400000000,177433471628703761701338783,0.425675201224,101904442889259829301338783,824376247513504044600000000,0.123613996881,True,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,9,10,2,6561,19683,8209025582916946,111402195609932979,0.073688184851,387420489,2000000000,0.1937102445,16418051165833892000000000,43159493098873887981406731,0.380404170369,26741441933039995981406731,222804391219865958000000000,0.120022059649,True,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
12,10,11,1,19683,59049,230372911133227174,4121881237567520223,0.05589023503,3486784401,20000000000,0.17433922005,4607458222664543480000000000,14372111201925004697808441423,0.320583257249,9764652979260461217808441423,82437624751350404460000000000,0.11844898502,True,True,post_hoc_k12_through_float_k20,exact_feasible_certificate,cert_k12.json,a6386bfc8d0410a3dd82a98d765690e53c620259e6b7c4a5359f150ce6d1459f,True,manifest
