threshold,k,parent_depth,child_depth,terminal_offset,first_parent_depth,weights,rho_num,rho_den,rho_decimal,parent_tail_num,parent_tail_den,parent_tail_decimal,child_tail_num,child_tail_den,child_tail_decimal,parent_potential_num,parent_potential_den,parent_potential_decimal,persistent_potential_num,persistent_potential_den,persistent_potential_decimal,immigration_potential_num,immigration_potential_den,immigration_potential_decimal,child_potential_num,child_potential_den,child_potential_decimal,realized_retention_num,realized_retention_den,realized_retention_decimal,total_mass,selection_scope,source,source_sha256,source_sha256_verified
1/5,13,5,6,6,3,31/25;69/50;1;34/25,68,69,0.985507246377,1946900432806611727,2237660743461171580,0.87006059274,3389878762229756877,4475321486922343160,0.757460390753,254174577958866477367,223766074346117158000,1.13589416404,198142801906529783461,223766074346117158000,0.885490807691,23139857445265710781,223766074346117158000,0.103410928189,110641329675897747121,111883037173058579000,0.988901735879,198142801906529783461,254174577958866477367,0.779553972304,4475321486922343160,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,6,7,5,3,31/25;69/50;1;34/25,68,69,0.985507246377,3389878762229756877,4475321486922343160,0.757460390753,1484282773659477121,2237660743461171580,0.663318949486,110641329675897747121,111883037173058579000,0.988901735879,151742852149349366077,223766074346117158000,0.678131627383,8660532745556212129,55941518586529289500,0.154814044459,186384983131574214593,223766074346117158000,0.832945671842,151742852149349366077,221282659351795494242,0.685742175161,4475321486922343160,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,7,8,4,3,31/25;69/50;1;34/25,68,69,0.985507246377,1484282773659477121,2237660743461171580,0.663318949486,2621691729726837943,4475321486922343160,0.585810815466,186384983131574214593,223766074346117158000,0.832945671842,24594466334304564311,44753214869223431600,0.549557532485,38061976182136331397,223766074346117158000,0.170097170866,20129288481707394119,27970759293264644750,0.719654703351,122972331671522821555,186384983131574214593,0.659775962663,4475321486922343160,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,8,9,3,3,31/25;69/50;1;34/25,68,69,0.985507246377,2621691729726837943,4475321486922343160,0.585810815466,214253970899150483,447532148692234316,0.478745429854,20129288481707394119,27970759293264644750,0.719654703351,48478755434985724437,111883037173058579000,0.43329852907,33699956699100316257,223766074346117158000,0.150603512161,130657467569071765131,223766074346117158000,0.583902041232,48478755434985724437,80517153926829576476,0.602092263209,4475321486922343160,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,9,10,2,3,31/25;69/50;1;34/25,68,69,0.985507246377,214253970899150483,447532148692234316,0.478745429854,1567905130497847149,4475321486922343160,0.350344692572,130657467569071765131,223766074346117158000,0.583902041232,71270826698593091631,223766074346117158000,0.318505952731,3053610190487313899,27970759293264644750,0.109171515813,95699708222491602823,223766074346117158000,0.427677468545,23756942232864363877,43552489189690588377,0.54547840261,4475321486922343160,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,10,11,1,3,31/25;69/50;1;34/25,68,69,0.985507246377,1567905130497847149,4475321486922343160,0.350344692572,457791376016747149,2237660743461171580,0.204584800155,95699708222491602823,223766074346117158000,0.427677468545,43206778001708780391,223766074346117158000,0.1930890468,12835652779093536917,223766074346117158000,0.0573619250219,14010607695200579327,55941518586529289500,0.250450971822,43206778001708780391,95699708222491602823,0.451482860337,4475321486922343160,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,11,12,0,3,31/25;69/50;1;34/25,68,69,0.985507246377,457791376016747149,2237660743461171580,0.204584800155,436295229270546149,4475321486922343160,0.0974891369359,14010607695200579327,55941518586529289500,0.250450971822,19972922044640693849,223766074346117158000,0.0892580437093,890928765031201461,27970759293264644750,0.0318521480125,27100352164890305537,223766074346117158000,0.121110191722,19972922044640693849,56042430780802317308,0.356389288729,4475321486922343160,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,14,3,4,9,3,31/25;69/50;1;34/25,68,69,0.985507246377,1,1,1,1,1,1,163796906096954208319,121634607091301259700,1.34663078226,80198614833040749237,60817303545650629850,1.31868087136,0,1,0,80198614833040749237,60817303545650629850,1.31868087136,160397229666081498474,163796906096954208319,0.9792445626,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,14,4,5,8,3,31/25;69/50;1;34/25,68,69,0.985507246377,1,1,1,13011423528034957643,14596152850956151164,0.891428286679,80198614833040749237,60817303545650629850,1.31868087136,854231769447095764807,729807642547807558200,1.17048893386,0,1,0,854231769447095764807,729807642547807558200,1.17048893386,854231769447095764807,962383377996488990844,0.887621075943,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,14,5,6,7,3,31/25;69/50;1;34/25,68,69,0.985507246377,13011423528034957643,14596152850956151164,0.891428286679,11304413644368704149,14596152850956151164,0.774478984963,854231769447095764807,729807642547807558200,1.17048893386,671686913124993661307,729807642547807558200,0.920361577443,5242410231646447909,60817303545650629850,0.0861993203581,146919167180950207243,145961528509561511640,1.0065608978,671686913124993661307,854231769447095764807,0.78630523606,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
