parent_threshold,child_threshold,coarsenings_from_finest_child,levels_present,levels_with_nonzero_parent_tail,minimum_k,maximum_k,max_retention_k,max_retention_parent_depth,max_retention_num,max_retention_den,max_retention_decimal,max_immigration_k,max_immigration_parent_depth,max_immigration_num,max_immigration_den,max_immigration_decimal,latest_k,latest_parent_depth,latest_retention_num,latest_retention_den,latest_retention_decimal,latest_closure_num,latest_closure_den,latest_closure_decimal,latest_immigration_num,latest_immigration_den,latest_immigration_decimal,latest_ancestry_num,latest_ancestry_den,latest_ancestry_decimal,latest_immigration_share_num,latest_immigration_share_den,latest_immigration_share_decimal,latest_parent_tail_num,latest_parent_tail_den,latest_parent_tail_decimal,latest_child_tail_num,latest_child_tail_den,latest_child_tail_decimal
1/20,1/20,0,8,8,12,19,12,10,249679653652655070,301731807497545721,0.827488675203,18,16,70013318405319309608,507852056399008035949,0.137861642034,19,17,1800324619438907116325,2931818573171425421308,0.614064129313,56000145062174573812,66632240299350577757,0.840436173399,221227254432258043801,1615060004462852519607,0.136977730747,1800324619438907116325,2464006382735681247728,0.730649332751,663681763296774131403,2464006382735681247728,0.269350667249,2931818573171425421308,4845180013388557558821,0.605100030354,2464006382735681247728,4845180013388557558821,0.508547954034
1/20,1/20,1,8,8,12,19,12,9,573253441256176841,647534297910063606,0.885286606603,19,16,563472153377010566884,4845180013388557558821,0.116295401166,19,16,789448806598138284808,1166184024931868654631,0.676950455263,2931818573171425421308,3498552074795605963893,0.838009127917,563472153377010566884,4845180013388557558821,0.116295401166,592086604948603713606,732954643292856355327,0.80780797334,140868038344252641721,732954643292856355327,0.19219202666,388728008310622884877,538353334820950839869,0.722068543404,2931818573171425421308,4845180013388557558821,0.605100030354
1/20,1/20,2,8,8,12,19,12,8,1257382389270186519,1327883836440609610,0.946906916678,19,15,525743993906108564257,4845180013388557558821,0.108508660659,19,15,1486404040444748699818,1945957008038580194149,0.763842178581,3498552074795605963893,3891914016077160388298,0.898928409092,525743993906108564257,4845180013388557558821,0.108508660659,2972808080889497399636,3498552074795605963893,0.849725262718,525743993906108564257,3498552074795605963893,0.150274737282,3891914016077160388298,4845180013388557558821,0.803254782139,388728008310622884877,538353334820950839869,0.722068543404
1/20,1/20,3,8,8,12,19,12,7,1296908611780936643,1337640625713465238,0.96954935941,19,14,459097267898182100659,4845180013388557558821,0.0947533975269,19,14,3432816748178978287639,4151420220142538540607,0.826901774849,3891914016077160388298,4151420220142538540607,0.937489776919,459097267898182100659,4845180013388557558821,0.0947533975269,3432816748178978287639,3891914016077160388298,0.88203817813,459097267898182100659,3891914016077160388298,0.11796182187,1383806740047512846869,1615060004462852519607,0.856814444184,3891914016077160388298,4845180013388557558821,0.803254782139
1/20,1/20,4,8,8,12,19,12,6,1324765317951612931,1355587949660424455,0.977262536365,19,13,362853973028983919596,4845180013388557558821,0.0748896784075,19,13,3788566247113554621011,4355955877341366349559,0.869743944566,4151420220142538540607,4355955877341366349559,0.953044598486,362853973028983919596,4845180013388557558821,0.0748896784075,3788566247113554621011,4151420220142538540607,0.912595219518,362853973028983919596,4151420220142538540607,0.0874047804817,4355955877341366349559,4845180013388557558821,0.899028697655,1383806740047512846869,1615060004462852519607,0.856814444184
1/20,1/20,5,8,8,12,19,12,5,1355587949660424455,1373960412522506741,0.98662809882,19,12,40006747326125008597,692168573341222508403,0.0577991386304,19,12,1018977161514622822345,1124385783919403286469,0.906252263314,4355955877341366349559,4497543135677613145876,0.968518977125,40006747326125008597,692168573341222508403,0.0577991386304,4075908646058491289380,4355955877341366349559,0.93570935079,280047231282875060179,4355955877341366349559,0.0642906492097,4497543135677613145876,4845180013388557558821,0.92825098825,4355955877341366349559,4845180013388557558821,0.899028697655
1/20,1/20,6,8,8,12,19,12,4,1,1,1,19,11,208483034876303969003,4845180013388557558821,0.0430289554362,19,11,4289060100801309176873,4600196106235916997889,0.932364621366,4497543135677613145876,4600196106235916997889,0.97768508816,208483034876303969003,4845180013388557558821,0.0430289554362,4289060100801309176873,4497543135677613145876,0.953645128332,208483034876303969003,4497543135677613145876,0.0463548716681,4600196106235916997889,4845180013388557558821,0.949437604697,4497543135677613145876,4845180013388557558821,0.92825098825
1/20,1/20,7,8,8,12,19,12,3,1,1,1,19,10,154054235969596050086,4845180013388557558821,0.0317953585922,19,10,4446141870266320947803,4670849652088387092092,0.951891454755,4600196106235916997889,4670849652088387092092,0.984873513147,154054235969596050086,4845180013388557558821,0.0317953585922,4446141870266320947803,4600196106235916997889,0.966511376382,154054235969596050086,4600196106235916997889,0.0334886236178,4670849652088387092092,4845180013388557558821,0.964019838103,4600196106235916997889,4845180013388557558821,0.949437604697
1/20,1/20,8,8,8,12,19,12,2,1,1,1,19,9,35390279560684457863,1615060004462852519607,0.0219126716425,19,9,4564678813406333718503,4728484939332731561817,0.965357587467,4670849652088387092092,4728484939332731561817,0.987811045613,35390279560684457863,1615060004462852519607,0.0219126716425,4564678813406333718503,4670849652088387092092,0.977269480589,106170838682053373589,4670849652088387092092,0.0227305194109,225165949492034836277,230722857780407502801,0.975915224257,4670849652088387092092,4845180013388557558821,0.964019838103
1/20,1/20,9,8,8,12,19,12,1,1,1,1,19,8,10214572898830961335,692168573341222508403,0.0147573485596,19,8,1164245732260228708118,1192163164832070890901,0.976582540549,1576161646444243853939,1589550886442761187868,0.991576715088,10214572898830961335,692168573341222508403,0.0147573485596,665283275577273547496,675497848476104508831,0.984878452356,10214572898830961335,675497848476104508831,0.0151215476435,529850295480920395956,538353334820950839869,0.98420546732,225165949492034836277,230722857780407502801,0.975915224257
1/20,1/20,10,7,7,13,19,13,1,1,1,1,19,7,66485363853610406230,4845180013388557558821,0.0137219594876,19,7,4702167295474673157374,4778694649534947152591,0.983985720019,4768652659328283563604,4778694649534947152591,0.997898591364,66485363853610406230,4845180013388557558821,0.0137219594876,2351083647737336578687,2384326329664141781802,0.98605783046,33242681926805203115,2384326329664141781802,0.01394216954,4778694649534947152591,4845180013388557558821,0.986278040512,529850295480920395956,538353334820950839869,0.98420546732
1/20,1/20,11,6,6,14,19,14,1,1,1,1,14,1,0,1,0,19,6,4778694649534947152591,4845180013388557558821,0.986278040512,4778694649534947152591,4845180013388557558821,0.986278040512,0,1,0,1,1,1,0,1,0,1,1,1,4778694649534947152591,4845180013388557558821,0.986278040512
1/20,1/20,12,5,5,15,19,15,1,1,1,1,15,1,0,1,0,19,5,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
1/20,1/20,13,4,4,16,19,16,1,1,1,1,16,1,0,1,0,19,4,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
1/20,1/20,14,3,3,17,19,17,1,1,1,1,17,1,0,1,0,19,3,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
1/20,1/20,15,2,2,18,19,18,1,1,1,1,18,1,0,1,0,19,2,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
1/20,1/20,16,1,1,19,19,19,1,1,1,1,19,1,0,1,0,19,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
1/20,1/10,0,8,8,12,19,12,10,318434663142227481,603463614995091442,0.527678314367,12,10,44297540908348540,1373960412522506741,0.0322407694608,19,17,359223340108184486937,1465909286585712710654,0.245051548138,799177755431458544159,2931818573171425421308,0.272587725156,11533010745012795755,692168573341222508403,0.0166621415493,718446680216368973874,799177755431458544159,0.898982329442,80731075215089570285,799177755431458544159,0.101017670558,2931818573171425421308,4845180013388557558821,0.605100030354,799177755431458544159,4845180013388557558821,0.164942840766
1/20,1/10,1,8,8,12,19,12,9,845792445946526555,1295068595820127212,0.65308698603,15,12,1172131029313561811,47049100452382107460,0.0249129317679,19,16,369058671853933151600,1166184024931868654631,0.316466924571,1187393647907941192864,3498552074795605963893,0.339395733584,80217632346141738064,4845180013388557558821,0.0165561717262,69198500972612465925,74212102994246324554,0.932442259155,5013602021633858629,74212102994246324554,0.0675577408448,388728008310622884877,538353334820950839869,0.722068543404,1187393647907941192864,4845180013388557558821,0.245066982987
1/20,1/10,2,8,8,12,19,12,8,519365284143556642,663941918220304805,0.782245057724,16,12,4336925856172613216,150018628595844245849,0.0289092487831,19,15,1609631154237034438013,3891914016077160388298,0.413583431594,1728608400572528815555,3891914016077160388298,0.444153800272,118977246335494377542,4845180013388557558821,0.0245557948325,1609631154237034438013,1728608400572528815555,0.931171660223,118977246335494377542,1728608400572528815555,0.0688283397767,3891914016077160388298,4845180013388557558821,0.803254782139,1728608400572528815555,4845180013388557558821,0.356768664074
1/20,1/10,3,8,8,12,19,12,7,1176353936585728227,1337640625713465238,0.879424498608,18,13,48989258785817053436,1523556169197024107847,0.0321545472207,19,14,2114976528539893463741,4151420220142538540607,0.509458550661,755192233770970837385,1383806740047512846869,0.545735334217,150600172773019048414,4845180013388557558821,0.0310824721387,2114976528539893463741,2265576701312912512155,0.933526782525,150600172773019048414,2265576701312912512155,0.0664732174752,1383806740047512846869,1615060004462852519607,0.856814444184,755192233770970837385,1615060004462852519607,0.467593917058
1/20,1/10,4,8,8,12,19,12,6,249907301631328834,271117589932084891,0.92176719959,19,13,17193066368406351917,538353334820950839869,0.0319363980055,19,13,2581733005932291767355,4355955877341366349559,0.592690348257,2736470603247948934608,4355955877341366349559,0.628213572475,17193066368406351917,538353334820950839869,0.0319363980055,860577668644097255785,912156867749316311536,0.943453586846,51579199105219055751,912156867749316311536,0.0565464131542,4355955877341366349559,4845180013388557558821,0.899028697655,912156867749316311536,1615060004462852519607,0.564782029911
1/20,1/10,5,8,8,12,19,12,5,1311085306954010467,1373960412522506741,0.954238051551,19,12,49691796763362360104,1615060004462852519607,0.0307677712444,19,12,3050477813218703405955,4497543135677613145876,0.678254264872,3199553203508790486267,4497543135677613145876,0.711400226076,49691796763362360104,1615060004462852519607,0.0307677712444,1016825937739567801985,1066517734502930162089,0.953407435099,49691796763362360104,1066517734502930162089,0.0465925649014,4497543135677613145876,4845180013388557558821,0.92825098825,152359676357561451727,230722857780407502801,0.660357962897
1/20,1/10,6,8,8,12,19,12,4,1366371944597240689,1373960412522506741,0.99447693845,19,11,131772829433844095830,4845180013388557558821,0.0271966839353,19,11,3468526365969102407786,4600196106235916997889,0.753995326692,3600299195402946503616,4600196106235916997889,0.782640372771,131772829433844095830,4845180013388557558821,0.0271966839353,1734263182984551203893,1800149597701473251808,0.963399478132,65886414716922047915,1800149597701473251808,0.0366005218683,4600196106235916997889,4845180013388557558821,0.949437604697,400033243933660722624,538353334820950839869,0.743068200862
