model,form,gamma_inf,rms,note
geom_free,ginf-a*r^k,0.98113,1.04e-04,"r=0.9202 a=0.3477 BEST clean fit"
geom_force1,1-a*r^k,1.00000,3.35e-04,"r=0.9322 a=0.3413"
pow2_free,ginf-a/k^2,0.93908,3.02e-03,"a=12.34 poor"
pow2_force1,1-a/k^2,1.00000,2.08e-02,"a=23.4 CATASTROPHIC"
pow1,ginf-a/k,1.00110,1.36e-03,"unstable"
aitken_rolling3pt,model-free geometric accel,0.93-1.08,,"UNSTABLE across windows - do not over-read"
geom_to_1,1-a*r^k,1.00000,3.35e-04,"lambda_inf=2 fully compatible - geometric approach to exactly 1"
shifted_crit,1-C/(k+a)^2 a=14,1.00000,5.46e-04,"marginal form NOT excluded"
