K,L,Lambda_bits,R=2^(K-L)-1_bits,Lambda_divides_W,size_bound(*)_holds,slack_bits
70,44,68,26,0,1,42
71,44,71,27,0,1,44
72,45,71,27,0,1,44
73,46,69,27,0,1,42
74,46,74,28,0,1,46
75,47,74,28,0,1,46
76,47,76,29,0,1,47
77,48,76,29,0,1,47
78,49,76,29,0,1,47
79,49,79,30,0,1,49
80,50,79,30,0,1,49
81,51,78,30,0,1,48
82,51,82,31,0,1,51
83,52,82,31,0,1,51
84,52,84,32,0,1,52
85,53,84,32,0,1,52
86,54,84,32,0,1,52
87,54,87,33,0,1,54
88,55,87,33,0,1,54
89,56,87,33,0,1,54
90,56,90,34,0,1,56
91,57,90,34,0,1,56
92,58,88,34,0,1,54
93,58,93,35,0,1,58
94,59,93,35,0,1,58
95,59,95,36,0,1,59
96,60,95,36,0,1,59
97,61,95,36,0,1,59
98,61,98,37,0,1,61
99,62,98,37,0,1,61
100,63,97,37,0,1,60
101,63,101,38,0,1,63
102,64,101,38,0,1,63
103,64,103,39,0,1,64
104,65,103,39,0,1,64
105,66,103,39,0,1,64
106,66,106,40,0,1,66
107,67,106,40,0,1,66
108,68,106,40,0,1,66
109,68,109,41,0,1,68
110,69,109,41,0,1,68
111,70,107,41,0,1,66
112,70,112,42,0,1,70
113,71,112,42,0,1,70
114,71,114,43,0,1,71
115,72,114,43,0,1,71
116,73,114,43,0,1,71
117,73,117,44,0,1,73
118,74,117,44,0,1,73
119,75,116,44,0,1,72
120,75,120,45,0,1,75
121,76,120,45,0,1,75
122,76,122,46,0,1,76
123,77,122,46,0,1,76
124,78,122,46,0,1,76
125,78,125,47,0,1,78
126,79,125,47,0,1,78
127,80,125,47,0,1,78
128,80,128,48,0,1,80
129,81,128,48,0,1,80
130,82,125,48,0,1,77
131,82,131,49,0,1,82
132,83,131,49,0,1,82
133,83,133,50,0,1,83
134,84,133,50,0,1,83
135,85,133,50,0,1,83
136,85,136,51,0,1,85
137,86,136,51,0,1,85
138,87,135,51,0,1,84
139,87,139,52,0,1,87
140,88,139,52,0,1,87
141,88,141,53,0,1,88
142,89,141,53,0,1,88
143,90,141,53,0,1,88
144,90,144,54,0,1,90
145,91,144,54,0,1,90
146,92,143,54,0,1,89
147,92,147,55,0,1,92
148,93,147,55,0,1,92
149,94,143,55,0,1,88
150,94,150,56,0,1,94
151,95,150,56,0,1,94
152,95,152,57,0,1,95
