K,L,p,p_exp_in_Lambda,N_p,N_p*p/C,N_p_positive
102,64,73,1,198456337863410322872514954,1.0000,1
103,64,89,1,429902968702981428595575246,1.0000,1
104,65,13,2,4709090980253805894799442864,1.0000,1
105,66,7,1,13913223350751067079465690920,1.0000,1
106,66,5,1,51618058845862566493006393851,1.0000,1
106,66,29,1,8899665281256273096124573966,1.0000,1
107,67,23,1,17920610881076468529862799769,1.0000,1
108,68,5,1,130925875240290162241247333337,1.0000,1
108,68,61,1,10731629081145865271649536673,1.0000,1
108,68,71,1,9220132027486724829356562084,1.0000,1
109,68,7,1,248622305785849487642415531228,1.0000,1
111,70,47,1,93607103103460481680988055093,1.0000,1
111,70,151,1,29135985734189653233540747528,1.0000,1
112,70,13,1,902468481202595620293194405112,1.0000,1
113,71,5,1,3734439992117753237236596759654,1.0000,1
113,71,19,1,982747367595706510436667255236,1.0000,1
113,71,211,1,88493838788291456591979210812,1.0000,1
118,74,5,3,106548128946265903547246178696183,1.0000,1
118,74,7,1,76105806354442126570661375292486,1.0000,1
118,74,29,1,18370367051072237663157855041024,1.0000,1
118,74,47,1,11334907329384997240361585344181,1.0000,1
120,75,11,1,204916805473132255424858091648504,1.0000,1
120,75,13,1,173391143092650398621849297762760,1.0000,1
120,75,191,1,11801491414683020695795685539824,1.0000,1
120,75,251,1,8980417769738865523028383024304,1.0000,1
122,76,7,1,1359709084109928158781408056126590,1.0000,1
122,76,17,1,559880211104088065019655159594776,1.0000,1
123,77,5,1,3040803951208709725560032931240801,1.0000,1
124,78,11,1,2197317540882032663623290235593642,1.0000,1
125,78,41,1,1567883559269743075249069553191750,1.0000,1
125,78,47,1,1367728211277860984809228864024250,1.0000,1
125,78,223,1,288265587130311541879678778699500,1.0000,1
126,79,23,1,4457725078253987168106830585551584,1.0000,1
127,80,7,1,23251812417106952495706151795079926,1.0000,1
128,80,5,1,86806766362773380206552922783106312,1.0000,1
128,80,13,1,33387217829692032941958305157245840,1.0000,1
128,80,17,1,25531401869764496853063680666407368,1.0000,1
128,80,97,1,4474575585422643860280181471760584,1.0000,1
128,80,113,1,3841007360938021657592058962660680,1.0000,1
129,81,43,1,16075327103185052344209043230341366,1.0000,1
129,81,53,1,13042246517678439691509745793577275,1.0000,1
130,82,5,1,219173362223380581502599038477941480,1.0000,1
130,82,19,1,57677200582031097088591219203397220,1.0000,1
130,82,29,1,37788510726158305118971484007589165,1.0000,1
131,82,7,1,418538053203135279956775872364465682,1.0000,1
133,83,5,1,2478794141350272703687003870074136224,1.0000,1
134,84,17,1,1163019660184961680407421938262068947,1.0000,1
135,85,5,2,6280306164875345820859092894940000980,1.0000,1
135,85,71,1,442275082042168801176475188493733580,1.0000,1
136,85,13,1,6441339656409018568394608478142746272,1.0000,1
138,87,37,1,5718732446422389439802176050614547264,1.0000,1
138,87,157,1,1347726754889352925359846274550760732,1.0000,1
140,88,5,1,179965110843660615307703528020801476960,1.0000,1
140,88,7,1,128546507744538238150578402963907464250,1.0000,1
140,88,17,1,52930914953633392179638022374205056540,1.0000,1
140,88,41,1,21946964736872382123024211090148337540,1.0000,1
140,88,163,1,5520402173078329246942477867757478910,1.0000,1
140,88,173,1,5201303781570911390766566430742167960,1.0000,1
142,89,11,1,347221987134118608317167105983668786158,1.0000,1
143,90,127,1,47784793155027871468443564362636840634,1.0000,1
144,90,7,2,2311873802167062733895619445031295426976,1.0000,1
144,90,13,1,1244855124243803010089663259852870720536,1.0000,1
144,90,19,1,851742979745759954587188251998448207968,1.0000,1
144,90,37,1,437381530139714571277649074643299269424,1.0000,1
144,90,67,1,241539053957752822944343065391041718432,1.0000,1
145,91,5,1,5157256943281911727038008199651326612310,1.0000,1
145,91,23,1,1121142813759946810837001791520292047075,1.0000,1
145,91,97,1,265837986767822439678793679200627227830,1.0000,1
146,92,11,1,3720155700203459872041288437331456189896,1.0000,1
146,92,17,1,2407159570719885799556690288277635867992,1.0000,1
146,92,83,1,493032683159494681840077671453746441912,1.0000,1
146,92,179,1,228612920124234964203726083445310011442,1.0000,1
148,93,167,1,1042247214134652926119857304193749816296,1.0000,1
149,94,7,3,39413734695003903890719582012242376902788,1.0000,1
150,94,5,1,147801505106411301321957331317099201954900,1.0000,1
152,95,13,1,240950361900631153344985065095063064827056,1.0000,1
153,96,7,1,713170044375528815466226112087196004394934,1.0000,1
153,96,73,1,68386168638749339321650442832389320571136,1.0000,1
155,97,5,1,4236174287759096715465375362006097578853210,1.0000,1
157,99,5,1,10693916785796981872282427774219889513277836,1.0000,1
158,99,83,1,1725177508838510143164322904524636354594802,1.0000,1
159,100,239,1,952601154148193236792614345839218748747679,1.0000,1
160,100,5,2,121424893782106172008637658244792781707902880,1.0000,1
160,100,11,1,55193133537313499052949403286195424799913640,1.0000,1
160,100,13,1,46701882223880653044787345576467354623241024,1.0000,1
160,100,191,1,3178662140892400469017325687863306825688440,1.0000,1
160,100,251,1,2418822585300591591961881127719179411041240,1.0000,1
