J,E_size,pi_E_lam2,theta_star_lam2,theta_star_uniform_lam18,rho_offE_lam2,first_return_sum_lam2
3,3,0.5134411370892997,0.5169714978132093,0.6143364442925171,0.6392851628204025,1.0000000031643015
4,4,0.2799854403078733,0.2841815433716078,0.40519490451967505,0.8358178139991358,1.0000000058027463
5,5,0.15263639310587812,0.15571482943470244,0.2667915473038534,0.9126381316241555,1.0000000106441422
6,6,0.07494326235613596,0.07694568809883118,0.17451264732795133,0.9644211895292608,1.0000000216788487
7,7,0.03929180370571564,0.040439953251501286,0.12203560765252179,0.9811413519508863,1.0000000413491825
8,8,0.019997600209802124,0.020629591786098873,0.09147692841194426,0.9910244560817896,1.0000000812439465
9,9,0.009270103480472278,0.009586594441774399,0.07366446791329301,0.9961441461116387,
10,10,0.004625050538261162,0.00478621896834034,0.06546372766695353,0.9980809771090355,
