L,phase,K,n_cells,n_tuples,covered_cells,covered_fraction,tau_max_covered,delta_max_covered,C_row_max
3,2,2,64,18,0,0.0,0.0,0.0,1.7938009866847326
3,5,2,64,12,0,0.0,0.0,0.0,2.010804203926261
3,8,2,64,6,0,0.0,0.0,0.0,1.7449226525751143
3,2,4,64,18,0,0.0,0.0,0.0,3.170724997117845
3,5,4,64,12,0,0.0,0.0,0.0,3.3870884613842427
3,8,4,64,6,0,0.0,0.0,0.0,3.098262028474557
6,2,2,4096,108,840,0.205078125,0.9993434638704326,16.04270338145071,1.814673625993489
6,5,2,4096,72,672,0.1640625,0.9952773581944648,12.092339997481455,2.075088799692003
6,8,2,4096,36,0,0.0,0.0,0.0,1.762742957747568
6,2,4,4096,108,840,0.205078125,0.9993434638704326,16.04270338145071,3.2654704532542387
6,5,4,4096,72,672,0.1640625,0.9964778327639766,12.680126662383573,3.730859147869337
6,8,4,4096,36,0,0.0,0.0,0.0,3.1722547566787407
9,2,2,262144,648,139168,0.5308837890625,0.9999897466457589,24.36209543349407,1.8150618174823439
9,5,2,262144,432,128000,0.48828125,0.9999272680630675,20.44368157251907,2.075493617216358
9,8,2,262144,216,98732,0.3766326904296875,0.9999863744765467,23.793412334679672,1.7631385966762596
9,2,4,262144,648,139168,0.5308837890625,0.9999897466457589,24.36209543349407,3.2670965425500462
9,5,4,262144,432,128000,0.48828125,0.9999457883129407,21.031468237421187,3.7358211439275997
9,8,4,262144,216,98732,0.3766326904296875,0.9999902674643015,24.46635680757125,3.1736388039898107
