J,range,z,R_exact,R_float,theta_req,best
4,"uniform[lam18,2]",3/2,14006108000000000000/11622370945895551017,1.2050990340268108,0.4601178886892989,True
4,"uniform[lam18,2]",2,22089802000000000000/15758764505793625833,1.401747071724995,0.4872260559913213,False
4,"uniform[lam18,2]",3,9211948000000000000/5000733931808727299,1.8421192020244335,0.5560802982171689,False
4,"uniform[lam18,2]",5,87469804000000000000/31379773292691127821,2.787458124191521,0.6369491522735631,False
4,"uniform[lam18,2]",8,33219803000000000000/7813484786351226807,4.251598858684554,0.6960018280025008,False
4,"uniform[lam18,2]",16,60111112960000000000/7315266326280392623,8.217214559099288,0.7596623593407179,False
4,"uniform[lam18,2]",64,80555553600000000000/2502660951156112769,32.18796120296962,0.8347415489624183,False
4,lam=2,11/10,499067/484970,1.0290677773882921,0.30063233518147436,True
4,lam=2,5/4,4332199/4024752,1.0763890545305648,0.3298861687741129,False
4,lam=2,3/2,8037815/6907768,1.1635907575355744,0.3736713753822231,False
4,lam=2,2,2840195/2088418,1.3599743920996659,0.44357948622661236,False
4,lam=2,3,14632497/8137384,1.7981819464338908,0.5341066459676684,False
4,lam=2,5,14754230371063725854/5385221140654785603,2.739763137985039,0.6262257542747647,False
4,lam=2,8,38502011/9164320,4.201294913315991,0.6902780201772156,False
4,lam=2,16,36698943/4494589,8.165138792445761,0.7573693522939987,False
4,lam=2,64,2219864431/69078496,32.13539031017699,0.8343485150101035,False
5,"uniform[lam18,2]",11/10,743060320000000000/702099411584642577,1.0583406106592632,0.5949230185358257,False
5,"uniform[lam18,2]",5/4,2113820000000000000/1948199041090513321,1.0850123398155354,0.3656451622692706,False
5,"uniform[lam18,2]",3/2,2049152000000000000/1798880890261310383,1.1391260038914164,0.32126390782297626,True
5,"uniform[lam18,2]",2,9894928000000000000/7718839821128943243,1.281919074536876,0.3583051898432407,False
5,"uniform[lam18,2]",3,2588638000000000000/1556441397081199101,1.6631772997393177,0.4630658278362178,False
5,"uniform[lam18,2]",5,161541800000000000/62700190591521681,2.576416410795467,0.5880310374323929,False
5,"uniform[lam18,2]",8,1927844000000000000/477380585228954517,4.038379564756273,0.6712588383473367,False
5,"uniform[lam18,2]",16,38331816000000000000/4782445415857128943,8.015107892900021,0.7506804852260894,False
5,"uniform[lam18,2]",64,272361276800000000000/8510486280185625153,32.003021664475256,0.8333560371590985,False
5,lam=2,11/10,215447/212019,1.0161683622694193,0.16828261530702027,True
5,lam=2,5/4,6696319/6414384,1.043953558128107,0.19276830392821262,False
5,lam=2,3/2,356806/324345,1.1000817031247592,0.23524700573877488,False
5,lam=2,2,2867073/2298880,1.2471607913418707,0.31864747793200576,False
5,lam=2,3,20228495236692650467/12360077798244833280,1.6365993456420764,0.44840252049305074,False
5,lam=2,5,7854757/3067466,2.5606663610941407,0.5842210592021857,False
5,lam=2,8,6162238/1529303,4.029442170714371,0.6701933760899972,False
5,lam=2,16,36317263/4533312,8.011198655640733,0.7505045296089169,False
5,lam=2,64,435850749/13619416,32.00216139957837,0.8333495736205679,False
6,"uniform[lam18,2]",11/10,3082702000000000000/2934632910666438663,1.0504557448379244,0.51646227930731,False
6,"uniform[lam18,2]",5/4,11946962000000000000/11223502025341675311,1.0644593793474457,0.27994107327956547,False
6,"uniform[lam18,2]",3/2,906732000000000000/826747309635292463,1.0967462360415683,0.22775777074634349,True
6,"uniform[lam18,2]",2,8660534000000000000/7191408224575312749,1.2042890251180876,0.26818167537359244,False
6,"uniform[lam18,2]",3,4466876000000000000/2840438813436704909,1.5726006766522935,0.41209327032033455,False
6,"uniform[lam18,2]",5,20086670000000000000/7978763664116693019,2.517516603523027,0.5736617322721042,False
6,"uniform[lam18,2]",8,3601744000000000000/899281086616047069,4.005137051812349,0.667283870356732,False
6,"uniform[lam18,2]",16,13180496000000000000/1647361259854691821,8.000974844559964,0.7500439474290692,False
6,"uniform[lam18,2]",64,49150083250000000000/1535937786440692569,32.00004823365796,0.833333695762535,False
6,lam=2,11/10,1855999/1840952,1.0081734884994284,0.08540815328395811,True
6,lam=2,5/4,2021589/1975507,1.0233266700649504,0.10333599800133153,False
6,lam=2,3/2,463521/438022,1.0582139709877587,0.13954974883382826,False
6,lam=2,2,6053121/5158040,1.1735312250389682,0.23085622925737614,False
6,lam=2,3,9771135/6272632,1.5577408335129497,0.403451329059702,False
6,lam=2,5,1525805/607062,2.513425317348146,0.5726511622324969,False
6,lam=2,8,8142353/2033624,4.003863546063579,0.6671309357159841,False
6,lam=2,16,63447919/7930280,8.000716115950508,0.7500322840841529,False
6,lam=2,64,147367867/4605240,32.00004060591848,0.8333336384475004,False
