metric,bin_log2_lo,count,ccdf
tau,0,149999,0.49997
tau,1,75000,0.24995333
tau,2,28127,0.15619041
tau,3,23054,0.079338623
tau,4,11957,0.039479299
tau,5,6688,0.017184479
tau,6,3488,0.0055570371
tau,7,1372,0.00098339889
tau,8,265,0.00010000667
tau,9,30,0
tc,0,150000,0.49337503
tc,1,37500,0.36671879
tc,2,30480,0.2637726
tc,3,23009,0.18605971
tc,4,16810,0.12928394
tc,5,12578,0.086801744
tc,6,11362,0.048426592
tc,7,10527,0.012871652
tc,8,3286,0.0017731874
tc,9,460,0.00021953749
tc,10,65,0
h,0,244911,0.18363
h,1,32600,0.074963333
h,2,12331,0.03386
h,3,5176,0.016606667
h,4,2497,0.0082833333
h,5,1212,0.0042433333
h,6,587,0.0022866667
h,7,423,0.00087666667
h,8,161,0.00034
h,9,55,0.00015666667
h,10,31,5.3333333e-05
h,11,11,1.6666667e-05
h,12,5,0
