metric,bin_log2_lo,count,ccdf
tau,0,149999,0.49811625
tau,1,46875,0.34127653
tau,2,38158,0.21360315
tau,3,21253,0.14249244
tau,4,14752,0.093133515
tau,5,9216,0.062297572
tau,6,6615,0.040164351
tau,7,4740,0.024304719
tau,8,3171,0.013694826
tau,9,2099,0.0066717525
tau,10,1460,0.0017867181
tau,11,452,0.00027436495
tau,12,82,0
tc,0,150000,0.48079819
tc,1,37500,0.35099773
tc,2,30470,0.24553054
tc,3,23388,0.16457659
tc,4,20454,0.093778232
tc,5,14845,0.042394559
tc,6,6398,0.020248871
tc,7,3268,0.0089371939
tc,8,1586,0.0034475
tc,9,883,0.00039113203
tc,10,95,6.2304218e-05
tc,11,11,2.4229418e-05
tc,12,7,0
h,0,125443,0.58185667
h,1,54670,0.39962333
h,2,25118,0.31589667
h,3,18869,0.253
h,4,11944,0.21318667
h,5,9360,0.18198667
h,6,7181,0.15805
h,7,5971,0.13814667
h,8,5084,0.1212
h,9,3723,0.10879
h,10,3066,0.09857
h,11,2294,0.090923333
h,12,2139,0.083793333
h,13,1991,0.077156667
h,14,1985,0.07054
h,15,1547,0.065383333
h,16,1398,0.060723333
h,17,1058,0.057196667
h,18,1036,0.053743333
h,19,1063,0.0502
h,20,1091,0.046563333
h,21,988,0.04327
h,22,873,0.04036
h,23,776,0.037773333
h,24,914,0.034726667
h,25,873,0.031816667
h,26,636,0.029696667
h,27,537,0.027906667
h,28,415,0.026523333
h,29,365,0.025306667
h,30,403,0.023963333
h,31,400,0.02263
h,32,339,0.0215
h,33,315,0.02045
h,34,289,0.019486667
h,35,247,0.018663333
h,36,248,0.017836667
h,37,215,0.01712
h,38,201,0.01645
h,39,189,0.01582
h,40,230,0.015053333
h,41,169,0.01449
h,42,167,0.013933333
h,43,184,0.01332
h,44,147,0.01283
h,45,165,0.01228
h,46,139,0.011816667
h,47,134,0.01137
h,48,144,0.01089
h,49,138,0.01043
h,50,121,0.010026667
h,51,94,0.0097133333
h,52,78,0.0094533333
h,53,71,0.0092166667
h,54,101,0.00888
h,55,86,0.0085933333
h,56,71,0.0083566667
h,57,76,0.0081033333
h,58,82,0.00783
h,59,82,0.0075566667
h,60,73,0.0073133333
h,61,76,0.00706
h,62,66,0.00684
h,63,69,0.00661
h,64,77,0.0063533333
h,65,63,0.0061433333
h,66,78,0.0058833333
h,67,62,0.0056766667
h,68,44,0.00553
h,69,31,0.0054266667
h,70,27,0.0053366667
h,71,25,0.0052533333
h,72,26,0.0051666667
h,73,38,0.00504
h,74,45,0.00489
h,75,41,0.0047533333
h,76,49,0.00459
h,77,55,0.0044066667
h,78,54,0.0042266667
h,79,37,0.0041033333
h,80,31,0.004
h,81,57,0.00381
h,82,429,0.00238
h,83,405,0.00103
h,84,167,0.00047333333
h,85,72,0.00023333333
h,86,43,9e-05
h,87,15,4e-05
h,88,8,1.3333333e-05
h,89,4,0
