metric,bin_log2_lo,count,ccdf
tau,0,49998,0.47739649
tau,1,12502,0.34671949
tau,2,10154,0.24058492
tau,3,7544,0.16173135
tau,4,5688,0.1022776
tau,5,3562,0.065045834
tau,6,2555,0.038339727
tau,7,1707,0.020497329
tau,8,1155,0.0084247055
tau,9,610,0.0020486877
tau,10,183,0.00013588235
tau,11,13,0
tc,0,50000,0.49585594
tc,1,12500,0.36981992
tc,2,10170,0.26727702
tc,3,7831,0.18831797
tc,4,6454,0.12324306
tc,5,6310,0.059620077
tc,6,3440,0.024934965
tc,7,1274,0.012089375
tc,8,816,0.0038617435
tc,9,353,0.00030248644
tc,10,29,1.0082881e-05
tc,11,1,0
h,0,37347,0.62653
h,1,76,0.62577
h,2,18831,0.43746
h,3,250,0.43496
h,4,9355,0.34141
h,5,336,0.33805
h,6,6022,0.27783
h,7,638,0.27145
h,8,3571,0.23574
h,9,796,0.22778
h,10,2405,0.20373
h,11,958,0.19415
h,12,1179,0.18236
h,13,909,0.17327
h,14,744,0.16583
h,15,940,0.15643
h,16,541,0.15102
h,17,820,0.14282
h,18,413,0.13869
h,19,673,0.13196
h,20,362,0.12834
h,21,564,0.1227
h,22,369,0.11901
h,23,427,0.11474
h,24,390,0.11084
h,25,286,0.10798
h,26,392,0.10406
h,27,247,0.10159
h,28,328,0.09831
h,29,210,0.09621
h,30,227,0.09394
h,31,198,0.09196
h,32,211,0.08985
h,33,157,0.08828
h,34,145,0.08683
h,35,189,0.08494
h,36,208,0.08286
h,37,183,0.08103
h,38,163,0.0794
h,39,113,0.07827
h,40,113,0.07714
h,41,118,0.07596
h,42,124,0.07472
h,43,68,0.07404
h,44,69,0.07335
h,45,103,0.07232
h,46,83,0.07149
h,47,77,0.07072
h,48,93,0.06979
h,49,90,0.06889
h,50,66,0.06823
h,51,73,0.0675
h,52,68,0.06682
h,53,37,0.06645
h,54,66,0.06579
h,55,75,0.06504
h,56,66,0.06438
h,57,73,0.06365
h,58,64,0.06301
h,59,76,0.06225
h,60,58,0.06167
h,61,38,0.06129
h,62,69,0.0606
h,63,52,0.06008
h,64,51,0.05957
h,65,61,0.05896
h,66,40,0.05856
h,67,44,0.05812
h,68,60,0.05752
h,69,78,0.05674
h,70,42,0.05632
h,71,58,0.05574
h,72,31,0.05543
h,73,68,0.05475
h,74,107,0.05368
h,75,46,0.05322
h,76,48,0.05274
h,77,54,0.0522
h,78,35,0.05185
h,79,29,0.05156
h,80,32,0.05124
h,81,41,0.05083
h,82,22,0.05061
h,83,366,0.04695
h,84,1385,0.0331
h,85,1561,0.01749
h,86,863,0.00886
h,87,423,0.00463
h,88,245,0.00218
h,89,127,0.00091
h,90,50,0.00041
h,91,25,0.00016
h,92,8,8e-05
h,93,1,7e-05
h,94,7,0
