metric,bin_log2_lo,count,ccdf
tau,0,100000,0
tc,0,100000,0.5
tc,1,50000,0.25
tc,2,37500,0.0625
tc,3,11719,0.003905
tc,4,778,1.5e-05
tc,5,3,0
h,0,100001,0.499995
h,1,0,0.499995
h,2,0,0.499995
h,3,0,0.499995
h,4,0,0.499995
h,5,0,0.499995
h,6,0,0.499995
h,7,0,0.499995
h,8,0,0.499995
h,9,0,0.499995
h,10,0,0.499995
h,11,0,0.499995
h,12,0,0.499995
h,13,0,0.499995
h,14,0,0.499995
h,15,0,0.499995
h,16,0,0.499995
h,17,0,0.499995
h,18,0,0.499995
h,19,0,0.499995
h,20,0,0.499995
h,21,0,0.499995
h,22,0,0.499995
h,23,0,0.499995
h,24,0,0.499995
h,25,0,0.499995
h,26,0,0.499995
h,27,0,0.499995
h,28,0,0.499995
h,29,0,0.499995
h,30,0,0.499995
h,31,0,0.499995
h,32,0,0.499995
h,33,0,0.499995
h,34,0,0.499995
h,35,0,0.499995
h,36,0,0.499995
h,37,0,0.499995
h,38,0,0.499995
h,39,0,0.499995
h,40,0,0.499995
h,41,0,0.499995
h,42,0,0.499995
h,43,0,0.499995
h,44,0,0.499995
h,45,0,0.499995
h,46,0,0.499995
h,47,0,0.499995
h,48,0,0.499995
h,49,0,0.499995
h,50,0,0.499995
h,51,0,0.499995
h,52,0,0.499995
h,53,0,0.499995
h,54,0,0.499995
h,55,0,0.499995
h,56,0,0.499995
h,57,0,0.499995
h,58,0,0.499995
h,59,0,0.499995
h,60,0,0.499995
h,61,0,0.499995
h,62,0,0.499995
h,63,0,0.499995
h,64,0,0.499995
h,65,0,0.499995
h,66,0,0.499995
h,67,0,0.499995
h,68,0,0.499995
h,69,0,0.499995
h,70,0,0.499995
h,71,0,0.499995
h,72,0,0.499995
h,73,0,0.499995
h,74,0,0.499995
h,75,0,0.499995
h,76,0,0.499995
h,77,0,0.499995
h,78,0,0.499995
h,79,0,0.499995
h,80,0,0.499995
h,81,0,0.499995
h,82,34464,0.327675
h,83,32768,0.163835
h,84,16384,0.081915
h,85,8192,0.040955
h,86,4096,0.020475
h,87,2048,0.010235
h,88,1024,0.005115
h,89,512,0.002555
h,90,256,0.001275
h,91,128,0.000635
h,92,64,0.000315
h,93,32,0.000155
h,94,16,7.5e-05
h,95,8,3.5e-05
h,96,4,1.5e-05
h,97,2,5e-06
h,98,1,0
