# arctic search: dmax=5 K=1 timeout=300000ms
semiring,dim,K,strict_rule,result,time_ms
AN,1,1,R1,unsat,2
AN,1,1,R2,unsat,1
AN,1,1,R3,unsat,1
AN,1,1,R4,unsat,1
AN,1,1,R5,unsat,1
AN,1,1,R6,unsat,1
AN,1,1,R7,unsat,1
AN,2,1,R1,unsat,155
AN,2,1,R2,unsat,557
AN,2,1,R3,unsat,12
AN,2,1,R4,unsat,551
AN,2,1,R5,unsat,228
AN,2,1,R6,unsat,28
AN,2,1,R7,unsat,216
AN,3,1,R1,unsat,13007
AN,3,1,R2,unsat,176636
AN,3,1,R3,unsat,185
AN,3,1,R4,unsat,135009
AN,3,1,R5,unsat,149839
AN,3,1,R6,unsat,698
AN,3,1,R7,unsat,53411
