tag,phase,K,covered,total,cov_frac,X_max,tau_upper,tau_float,C_row_max,C_row_float,no_zero_rows
lam2,2,2,840,4096,0.205078125,7448256,1334784073716871/1335762600856060,0.9992674393349822,4681/2809,1.6664293342826628,True
lam2,5,2,672,4096,0.1640625,123840,162858407485665/163786616056799,0.9943328179464181,1171/703,1.6657183499288764,True
lam2,8,2,0,4096,0.0,0,,nan,3218/1931,1.6664940445365095,True
lam2,2,4,840,4096,0.205078125,7448256,1334784073716871/1335762600856060,0.9992674393349822,4681/1561,2.9987187700192184,True
lam2,5,4,672,4096,0.1640625,222912,42133188048823/42312046069301,0.9957728817891468,1171/391,2.9948849104859336,True
lam2,8,4,0,4096,0.0,0,,nan,3218/1073,2.999068033550792,True
lam2,2,8,840,4096,0.205078125,7448256,1334784073716871/1335762600856060,0.9992674393349822,79577/14057,5.661022977875791,True
lam2,5,8,672,4096,0.1640625,421056,1134176933543/1137678083258,0.9969225479803798,19907/3527,5.644173518571024,True
lam2,8,8,0,4096,0.0,0,,nan,54706/9661,5.662560811510196,True
lam2,2,16,840,4096,0.205078125,7448256,1334784073716871/1335762600856060,0.9992674393349822,51491/4691,10.976550842037945,True
lam2,5,16,672,4096,0.1640625,817344,66564400598833/66711818500207,0.9977902281081793,12881/1181,10.906858594411515,True
lam2,8,16,0,4096,0.0,0,,nan,3218/293,10.982935153583618,True
"uniform[lam18,2]",2,2,840,4096,0.205078125,4268815123561739161998845231743059295696419505413346488926471807285598528976669375145817660827837198865257507144371982529081650499951788032000000000000/460309346384532022799471293296750368019359005477487706149398190854559094974411091295618273165954568356593352321071334766998959829287800573375769,846865078595767/847421441389009,0.9993434638704326,19567837364685241753521933521726410717353307012569666872070664330903737265199978691533048523824494130712056241599840573914624/10783116635627705982625797874613478040453541430419320125958356160314931647251651599008308544266417187818289718796463588647625,1.814673625993489,True
"uniform[lam18,2]",5,2,672,4096,0.1640625,5996527445084570634881548360698183127747898372660103642100605426114054982419773852052592913314075285600042062277384176926720000000000000000000000000/33594121725316911235309050105539041316840224093000086370882562525904815471646644104345341403821826654583227071194772355518977409410373264130683,372274222462429/374040682627175,0.9952773581944648,5600033033055910435686648873199521957176377127236036511539187204933488621095019580044977838582480948029457463296000000000000/2698695609502157893870978652731999655381161992185237161536415418992513566420083617177222552389351775242965833358603959164297,2.075088799692003,True
"uniform[lam18,2]",8,2,0,4096,0.0,0,,nan,3185700536029234493973500188001634176288584371515426666581639009975236122227415542680478932107213917199478027884253376276736/1807240540674132580263029776509555674140361484994872063045336847358005821088163721854289749216565570312526765040534166047865,1.762742957747568,True
