phase,K,aligned_total,clean_face,mixed_A,X_face_max,tau_face,mu_lo,mu_hi,marginal_1_in_mu
2,2,64,32,32,9740641/876096,0.5385753019472517,0.6000854518265328,1.6664293342826628,True
5,2,64,32,32,609961/54756,0.5389162561576355,0.6003415883859948,1.6657183499288764,True
8,2,64,32,32,9734400/3481,0.9628814092481912,0.6000621504039776,1.6664940445365095,True
