phase,L,N_unc,N_core,frac_unc,frac_core
2,1,4,4,1.0,1.0
2,2,16,16,1.0,1.0
2,3,64,64,1.0,1.0
2,4,256,256,1.0,1.0
2,5,856,856,0.8359375,0.8359375
2,6,3256,2920,0.794921875,0.712890625
2,7,12856,10168,0.78466796875,0.62060546875
2,8,33536,28080,0.51171875,0.428466796875
2,9,122976,91984,0.4691162109375,0.35089111328125
2,10,480736,306928,0.458465576171875,0.2927093505859375
2,11,1199080,814104,0.28588294982910156,0.19409751892089844
2,12,4287496,2612680,0.2555546760559082,0.15572786331176758
2,13,16641160,8519512,0.24797260761260986,0.12695062160491943
2,14,41257400,22277560,0.15369579195976257,0.0829903781414032
2,15,145051320,70580776,0.13508956879377365,0.06573347002267838
2,16,560227000,226734712,0.13043801300227642,0.05279078893363476
2,17,1391941312,588135680,0.08102164790034294,0.034234002232551575
2,18,4839651040,1846865152,0.07042619166895747,0.02687542513012886
2,19,18630489952,5870427904,0.0677773276111111,0.021356492303311825
2,20,46431044360,15138576296,0.0422287888432038,0.01376845493359724
2,21,160269551592,47229807352,0.036441077007111744,0.010738814888100023
2,22,615623580520,148945735912,0.03499414904808873,0.00846658485397711
2,23,1537908320776,382339592296,0.021854991711848015,0.005433372397988023
2,24,5283491626120,1186928503096,0.018770732971944426,0.004216817128707362
5,1,4,4,1.0,1.0
5,2,16,16,1.0,1.0
5,3,64,64,1.0,1.0
5,4,256,256,1.0,1.0
5,5,1024,1024,1.0,1.0
5,6,3424,3424,0.8359375,0.8359375
5,7,13024,11680,0.794921875,0.712890625
5,8,51424,40672,0.78466796875,0.62060546875
5,9,134144,112320,0.51171875,0.428466796875
5,10,491904,367936,0.4691162109375,0.35089111328125
5,11,1922944,1227712,0.458465576171875,0.2927093505859375
5,12,4796320,3256416,0.28588294982910156,0.19409751892089844
5,13,17149984,10450720,0.2555546760559082,0.15572786331176758
5,14,66564640,34078048,0.24797260761260986,0.12695062160491943
5,15,165029600,89110240,0.15369579195976257,0.0829903781414032
5,16,580205280,282323104,0.13508956879377365,0.06573347002267838
5,17,2240908000,906938848,0.13043801300227642,0.05279078893363476
5,18,5567765248,2352542720,0.08102164790034294,0.034234002232551575
5,19,19358604160,7387460608,0.07042619166895747,0.02687542513012886
5,20,74521959808,23481711616,0.0677773276111111,0.021356492303311825
5,21,185724177440,60554305184,0.0422287888432038,0.01376845493359724
5,22,641078206368,188919229408,0.036441077007111744,0.010738814888100023
5,23,2462494322080,595782943648,0.03499414904808873,0.00846658485397711
5,24,6151633283104,1529358369184,0.021854991711848015,0.005433372397988023
8,1,4,4,1.0,1.0
8,2,16,16,1.0,1.0
8,3,64,64,1.0,1.0
8,4,256,256,1.0,1.0
8,5,1024,1024,1.0,1.0
8,6,4096,4096,1.0,1.0
8,7,11092,11092,0.677001953125,0.677001953125
8,8,41556,38028,0.63409423828125,0.58026123046875
8,9,163412,133092,0.6233673095703125,0.5077056884765625
8,10,403036,341388,0.3843650817871094,0.3255729675292969
8,11,1459372,1119028,0.34794139862060547,0.2667970657348633
8,12,5684716,3736540,0.3388354778289795,0.22271513938903809
8,13,13860928,9555496,0.2065439224243164,0.1423879861831665
8,14,49123776,30647016,0.1830003261566162,0.11416903138160706
8,15,190175168,99863160,0.17711442708969116,0.09300481528043747
8,16,466075012,255744732,0.10851654503494501,0.05954521056264639
8,17,1628929348,809634532,0.09481616714037955,0.04712693230248988
8,18,6280346692,2598504940,0.09139107266673818,0.03781322360737249
8,19,15499257316,6653906884,0.056385969641269185,0.024206772228353657
8,20,53680160532,20881643964,0.04882182159417425,0.018991744549566647
8,21,206403773396,66324625140,0.04693078458240052,0.01508047379047639
8,22,512219598832,169598808240,0.029116313205122424,0.009640576095080178
8,23,1763563347856,528893012704,0.02506174251743687,0.007516021763422032
8,24,6768938343952,1667065390048,0.02404809984551548,0.005922606014678422
