k,parent_depth,scope,sigma_num,sigma_den,sigma_decimal,margin_50num_minus_21den,ball_residue_q,phase_mod9,parent_window_index,parent_window_base4,child_digit,child_mass,parent_mass,child_coordinate_count,parent_coordinate_count,parent_window_covered,transport_target_q,transport_target_window_base4,transport_target_uncovered,eligible_transition_count,violations_above_21_over_50,eligible_child_mass,violation_child_mass,violation_mass_fraction,source,source_sha256,source_sha256_verified
17,6,all,8210968928395617,28632076112030593,0.286775185155,-190725151932861603,26,8,1792,130000,0,8210968928395617,28632076112030593,292,1168,False,23,300000,True,147456,0,479475287827487078427,0,0,cert_k17_C.npy,72da89e5733d56855d7514107b690c9127ca243ac65f6ad2873c9eeff0a770d2,True
17,6,uncovered_T_uncovered,8210968928395617,28632076112030593,0.286775185155,-190725151932861603,26,8,1792,130000,0,8210968928395617,28632076112030593,292,1168,False,23,300000,True,115200,0,386442383666787999817,0,0,cert_k17_C.npy,72da89e5733d56855d7514107b690c9127ca243ac65f6ad2873c9eeff0a770d2,True
18,9,all,474743891511154,692554601030953,0.685496697018,9193547953907687,26,8,227328,313200000,0,1898975566044616,2770218404123812,14,55,False,23,132000000,True,9437184,10585,1523556169197024107847,5704890598330608123,0.00374445702342,cert_k18_C.npy,e3d998ff0e34ae16ec7f2a53be4f48bcedc3b106f5b7316f3b558e97c34522ef,True
18,9,uncovered_T_uncovered,474743891511154,692554601030953,0.685496697018,9193547953907687,26,8,227328,313200000,0,1898975566044616,2770218404123812,14,55,False,23,132000000,True,3918396,4292,634345061504661043776,2343049280874805278,0.00369365101593,cert_k18_C.npy,e3d998ff0e34ae16ec7f2a53be4f48bcedc3b106f5b7316f3b558e97c34522ef,True
18,8,all,1665794982828988,3552453981599805,0.468913880787,8688215527853495,26,8,14563,03203203,2,3331589965657976,7104907963199610,55,219,True,23,32032032,False,2359296,13,1523556169197024107847,39361410229703273,2.58352209295e-05,cert_k18_C.npy,e3d998ff0e34ae16ec7f2a53be4f48bcedc3b106f5b7316f3b558e97c34522ef,True
18,8,uncovered_T_uncovered,1315627584574273,2937592190798215,0.447859164623,4091943221951135,17,8,57344,32000000,0,2631255169148546,5875184381596430,55,219,False,14,20000000,True,1183860,6,767672497482306282786,17956217362937483,2.33904658846e-05,cert_k18_C.npy,e3d998ff0e34ae16ec7f2a53be4f48bcedc3b106f5b7316f3b558e97c34522ef,True
18,7,all,3772666379215549,11786638585007547,0.320079923721,-58886091324381037,26,8,2427,0211323,1,7545332758431098,23573277170015094,219,876,False,23,2113231,True,589824,0,1523556169197024107847,0,0,cert_k18_C.npy,e3d998ff0e34ae16ec7f2a53be4f48bcedc3b106f5b7316f3b558e97c34522ef,True
18,7,uncovered_T_uncovered,3772666379215549,11786638585007547,0.320079923721,-58886091324381037,26,8,2427,0211323,1,7545332758431098,23573277170015094,219,876,False,23,2113231,True,357252,0,886087856767369310906,0,0,cert_k18_C.npy,e3d998ff0e34ae16ec7f2a53be4f48bcedc3b106f5b7316f3b558e97c34522ef,True
18,6,all,24326723418137083,89369736920846616,0.272203144558,-660428304430924786,26,8,2545,213301,1,24326723418137083,89369736920846616,876,3503,False,23,133011,False,147456,0,1523556169197024107847,0,0,cert_k18_C.npy,e3d998ff0e34ae16ec7f2a53be4f48bcedc3b106f5b7316f3b558e97c34522ef,True
18,6,uncovered_T_uncovered,24170528716255117,89480698019593123,0.270120028690,-670568222598699733,26,8,1769,123221,3,24170528716255117,89480698019593123,876,3503,False,23,232213,True,115200,0,1228190239481041139461,0,0,cert_k18_C.npy,e3d998ff0e34ae16ec7f2a53be4f48bcedc3b106f5b7316f3b558e97c34522ef,True
19,9,all,4192175546080434,7602691656501617,0.551406756382,49952252517487743,26,8,212520,303320220,0,4192175546080434,7602691656501617,41,164,False,23,033202200,False,9437184,519,4845180013388557558821,1042811657215619927,0.000215226607543,cert_k19_C.npy,052c7e75907c99ec4c05dca550adcf23e4dad264175d3f559f4b5a9da5b4d517,True
19,9,uncovered_T_uncovered,1892575973641960,3487969866821777,0.542601010302,21381431478840683,26,8,7072,001232200,0,3785151947283920,6975939733643554,41,164,False,23,012322000,True,3918396,233,2017441952614628566033,474599632504565719,0.000235248222081,cert_k19_C.npy,052c7e75907c99ec4c05dca550adcf23e4dad264175d3f559f4b5a9da5b4d517,True
19,8,all,7384752656850973,20108261850740820,0.367249676360,-53035866023008570,26,8,4854,01023312,2,7384752656850973,20108261850740820,165,657,False,23,10233122,False,2359296,0,4845180013388557558821,0,0,cert_k19_C.npy,052c7e75907c99ec4c05dca550adcf23e4dad264175d3f559f4b5a9da5b4d517,True
19,8,uncovered_T_uncovered,7602691656501617,20885199279495493,0.364022940589,-58454602044324503,26,8,53130,30332022,0,7602691656501617,20885199279495493,164,657,False,23,03320220,True,1183860,0,2441941912552686219765,0,0,cert_k19_C.npy,052c7e75907c99ec4c05dca550adcf23e4dad264175d3f559f4b5a9da5b4d517,True
19,7,all,20885199279495493,73162893675384953,0.285461635404,-492160803208309363,26,8,13282,3033202,2,20885199279495493,73162893675384953,657,2628,True,23,0332022,True,589824,0,4845180013388557558821,0,0,cert_k19_C.npy,052c7e75907c99ec4c05dca550adcf23e4dad264175d3f559f4b5a9da5b4d517,True
19,7,uncovered_T_uncovered,6927739578503490,24306907087774181,0.285011151501,-164058069918083301,26,8,11731,2313103,3,20783218735510470,72920721263322543,657,2627,False,23,3131033,True,357252,0,2817568031069952556034,0,0,cert_k19_C.npy,052c7e75907c99ec4c05dca550adcf23e4dad264175d3f559f4b5a9da5b4d517,True
19,6,all,12276433150567234,47332235246823547,0.259367280809,-380155282654932787,26,8,1697,122201,1,73658598903403404,283993411480941282,2628,10509,False,23,222011,True,147456,0,4845180013388557558821,0,0,cert_k19_C.npy,052c7e75907c99ec4c05dca550adcf23e4dad264175d3f559f4b5a9da5b4d517,True
19,6,uncovered_T_uncovered,12276433150567234,47332235246823547,0.259367280809,-380155282654932787,26,8,1697,122201,1,73658598903403404,283993411480941282,2628,10509,False,23,222011,True,115200,0,3906675147607052100183,0,0,cert_k19_C.npy,052c7e75907c99ec4c05dca550adcf23e4dad264175d3f559f4b5a9da5b4d517,True
