lam,K,D,perron,eig2,eig3,norm_osc_radius
lam=2,1,D=1,1.142822265625,1.142822265625,0.3811035156249999,1.0
lam=2,1,D_skew0,1.142822265625,1.142822265625,0.3811035156249999,1.0
lam=2,1,D_skew_all_lo,1.142822265625,1.142822265625,0.3811035156249999,1.0
lam=2,2,D=1,1.142822265625,1.142822265625,0.3811035156249999,1.0
lam=2,2,D_skew0,1.142822265625,0.685791015625,0.3811035156249999,0.6000854518265328
lam=2,2,D_skew_all_lo,0.685791015625,0.685791015625,0.22875976562500003,1.0
lam=2,4,D=1,1.142822265625,1.142822265625,0.3811035156249999,1.0
lam=2,4,D_skew0,1.142822265625,0.381103515625,0.3811035156249999,0.33347575304422133
lam=2,4,D_skew_all_lo,0.381103515625,0.381103515625,0.127197265625,1.0
lam18,1,D=1,1.2116661464692786,1.2116661464692786,0.36777522537322455,1.0
lam18,1,D_skew0,1.2116661464692786,1.2116661464692786,0.36777522537322455,1.0
lam18,1,D_skew_all_lo,1.2116661464692786,1.2116661464692786,0.36777522537322455,1.0
lam18,2,D=1,1.2116661464692786,1.2116661464692786,0.36777522537322455,1.0
lam18,2,D_skew0,1.2116661464692786,0.7272179892393643,0.36777522537322455,0.6001801662598507
lam18,2,D_skew_all_lo,0.7272179892393643,0.7272179892393643,0.22088343658173193,1.0
lam18,4,D=1,1.2116661464692786,1.2116661464692786,0.36777522537322455,1.0
lam18,4,D_skew0,1.2116661464692786,0.40425255108608826,0.36777522537322455,0.3336336104330847
lam18,4,D_skew_all_lo,0.40425255108608826,0.40425255108608826,0.12295557738740359,1.0
